MicrotypeID,ActivityID,DensityKmSq,TripPurposeID
1,schools,1.38361,school
1,snap,5.37524,other
1,urgentcare,0.04688,medical
1,parks,0.60207,leisure
1,pharm,1.60538,medical
1,creditunion,0.38859,other
1,banks,1.36878,other
1,childcare,2.19872,other
1,hosp,0.08439,medical
2,urgentcare,0.0213,medical
2,creditunion,0.11742,other
2,schools,0.43826,school
2,childcare,0.58872,other
2,snap,0.9915,other
2,banks,0.41861,other
2,parks,0.3228,leisure
2,pharm,0.36458,medical
2,hosp,0.02642,medical
3,parks,0.1112,leisure
3,urgentcare,0.01038,medical
3,pharm,0.12993,medical
3,banks,0.14958,other
3,schools,0.14424,school
3,hosp,0.01215,medical
3,childcare,0.18809,other
3,snap,0.35386,other
3,creditunion,0.06812,other
4,banks,0.09604,other
4,pharm,0.06667,medical
4,creditunion,0.02806,other
4,snap,0.14514,other
4,parks,0.06086,leisure
4,schools,0.0787,school
4,hosp,0.0045,medical
4,urgentcare,0.00413,medical
4,childcare,0.11312,other
5,schools,0.03671,school
5,pharm,0.02352,medical
5,parks,0.02694,leisure
5,urgentcare,0.00145,medical
5,creditunion,0.00875,other
5,childcare,0.04257,other
5,hosp,0.00163,medical
5,banks,0.02971,other
5,snap,0.06185,other
6,urgentcare,0.00016,medical
6,snap,0.01046,other
6,creditunion,0.00153,other
6,childcare,0.00404,other
6,hosp,0.00027,medical
6,schools,0.00741,school
6,banks,0.00351,other
6,parks,0.00429,leisure
6,pharm,0.00227,medical
