TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,Portion
home,1,1,short,0.475041171842042
home,2,4,xlong,0.203318026660424
home,2,4,medium,0.262513572944989
home,2,4,long,0.449588087941562
home,5,4,short,0.0953275230920961
home,5,4,xlong,0.294877505124426
home,5,4,long,0.224027672134533
home,5,4,medium,0.385767299648945
home,2,5,xlong,0.302277601902792
home,2,4,short,0.0845803124530244
home,2,5,long,0.3078077639408
home,2,5,short,0.152962829556806
home,4,5,medium,0.155786292385113
home,2,6,long,0.255096358691946
home,2,6,xlong,0.744903641308054
home,3,1,long,0.286410715868728
home,3,1,short,0.143432389356618
home,3,1,medium,0.204958137408886
home,3,1,xlong,0.365198757365769
home,2,5,medium,0.236951804599602
home,2,3,short,0.130636372693539
home,2,3,xlong,0.278267751730784
home,2,3,long,0.330533720720241
home,1,5,long,0.184784060023979
home,1,5,short,0.0447925414856308
home,5,6,long,0.011542732121429
home,5,6,xlong,0.988457267878571
home,1,6,long,0.316623415354449
home,1,6,medium,0.683376584645551
home,2,1,xlong,0.273874210564131
home,2,1,long,0.321519768053807
home,2,1,medium,0.216900168820845
home,2,1,short,0.187705852561218
home,2,2,short,0.404364663296187
home,2,2,medium,0.271187951932502
home,2,2,long,0.188893950520801
home,2,2,xlong,0.13555343425051
home,5,5,xlong,0.116711904435939
home,5,5,medium,0.288289271119522
home,5,5,long,0.201775683318414
home,5,5,short,0.393223141126125
home,2,3,medium,0.260562154855436
home,5,3,medium,0.130739602092022
home,5,3,short,0.0856847719914985
home,5,3,xlong,0.389213510109157
home,3,2,short,0.102550808109466
home,4,1,short,0.0296859105795741
home,5,1,long,0.160608475434672
home,5,1,short,0.0760006004198737
home,5,1,medium,0.156041331216045
home,5,1,xlong,0.607349592929409
home,4,2,xlong,0.27380106545346
home,4,2,medium,0.304714318683082
home,4,2,long,0.175345894408176
home,4,2,short,0.246138721455282
home,4,3,xlong,0.32246681465598
home,4,3,long,0.352859029362454
home,4,3,medium,0.254023435939724
home,4,3,short,0.0706507200418426
home,4,5,short,0.0503927262236027
home,4,5,long,0.480966219502861
home,4,4,short,0.580526918144755
home,4,4,medium,0.313139956814396
home,4,4,xlong,0.0086803422714993
home,4,4,long,0.0976527827693507
home,4,1,long,0.300071323107622
home,1,5,medium,0.068660537939162
home,4,1,medium,0.25347532616293
home,3,5,short,0.0982518709025265
home,3,2,long,0.339958374556531
home,3,2,medium,0.218728658695336
home,3,2,xlong,0.338762158638668
home,5,3,long,0.394362115807322
home,3,3,long,0.225172300774538
home,3,3,short,0.371029773172429
home,3,3,medium,0.193608902920836
home,3,3,xlong,0.210189023132197
home,3,4,xlong,0.298537752290591
home,3,4,long,0.435844530923045
home,3,4,medium,0.142783088906011
home,3,4,short,0.122834627880353
home,5,2,short,0.163950886939868
home,5,2,medium,0.222592916351612
home,5,2,long,0.330883072949403
home,5,2,xlong,0.282573123759116
home,3,5,xlong,0.4434603576236
home,3,5,long,0.309361959422372
home,3,5,medium,0.148925812051501
home,4,1,xlong,0.416767440149873
home,1,5,xlong,0.701762860551229
home,4,5,xlong,0.312854761888423
home,6,3,xlong,1.0
home,6,2,xlong,0.94961761500378
home,6,4,medium,1.0
home,6,5,xlong,0.973432151119324
home,6,5,long,0.026567848880676
home,6,6,short,0.774259399893353
home,1,4,xlong,0.547306675708359
home,1,4,short,0.0813614093067983
home,1,3,medium,0.245535013422365
home,1,3,xlong,0.33818753384358
home,1,3,short,0.171183129080918
home,1,2,xlong,0.37491586223865
home,6,2,long,0.0503823849962196
home,1,2,medium,0.198525622972691
home,1,3,long,0.245094323653137
home,1,2,long,0.260900217428258
home,6,1,long,0.192589521527381
home,6,1,xlong,0.581648600368753
home,1,4,long,0.17309163768828
home,1,4,medium,0.198240277296563
home,6,1,medium,0.225761878103865
home,1,1,xlong,0.1332478434982
home,1,1,medium,0.203770352041696
home,6,6,long,0.225740600106647
home,1,1,long,0.187940632618062
home,1,2,short,0.1656582973604
leisure,3,3,medium,0.185838720543113
leisure,3,3,xlong,0.161621552353778
leisure,3,2,xlong,0.239415259967765
leisure,6,5,long,0.113161035843786
leisure,3,3,long,0.168815558523574
leisure,3,3,short,0.483724168579535
leisure,3,2,long,0.330023519405008
leisure,6,4,xlong,1.0
leisure,5,2,xlong,0.2077023264491
leisure,3,2,short,0.168740124761224
leisure,3,2,medium,0.261821095866002
leisure,5,3,long,0.413173861521826
leisure,5,6,xlong,0.978325529893378
leisure,5,4,long,0.357419168980939
leisure,1,3,medium,0.231605036058213
leisure,1,3,short,0.224645582286
leisure,2,5,xlong,0.290152351099736
leisure,2,5,medium,0.260078272909267
leisure,2,5,long,0.330399618876104
leisure,2,5,short,0.119369757114892
leisure,1,3,long,0.280134945636176
leisure,1,3,xlong,0.26361443601961
leisure,6,3,long,1.0
leisure,2,6,long,0.431092377651303
leisure,2,6,medium,0.0372214440081469
leisure,3,1,short,0.240733942209608
leisure,3,1,xlong,0.227970730906137
leisure,3,1,long,0.252082598216366
leisure,3,1,medium,0.279212728667889
leisure,5,3,medium,0.172324999264229
leisure,5,3,short,0.112725397604994
leisure,5,2,long,0.346159187716767
leisure,5,3,xlong,0.30177574160895
leisure,2,6,xlong,0.53168617834055
leisure,5,2,short,0.15643639973489
leisure,5,2,medium,0.289702086099243
leisure,3,4,medium,0.256756359685391
leisure,4,2,xlong,0.250676173926038
leisure,4,2,short,0.141355935357455
leisure,4,2,medium,0.203291522860592
leisure,4,6,medium,1.0
leisure,1,1,long,0.153918222612813
leisure,4,3,xlong,0.171273262407397
leisure,4,3,medium,0.348363643232073
leisure,4,3,long,0.359275688916325
leisure,4,3,short,0.121087405444205
leisure,4,2,long,0.404676367855915
leisure,4,5,short,0.0796650967704588
leisure,4,5,xlong,0.0987420793140361
leisure,4,5,long,0.652785502959324
leisure,1,1,xlong,0.0788011813427299
leisure,1,1,medium,0.207457336477727
leisure,1,1,short,0.55982325956673
leisure,4,4,short,0.794270261287097
leisure,4,4,medium,0.102443410628859
leisure,4,4,long,0.095598847977645
leisure,4,4,xlong,0.0076874801063988
leisure,4,5,medium,0.168807320956181
leisure,6,6,long,1.0
leisure,5,1,xlong,0.597900619609597
leisure,5,1,long,0.21838394730667
leisure,3,4,xlong,0.240646342903003
leisure,3,4,long,0.47209424421268
leisure,3,4,short,0.0305030531989264
leisure,5,4,medium,0.179631015348577
leisure,1,2,short,0.211465041825183
leisure,1,2,xlong,0.24463924491154
leisure,1,2,medium,0.248713270450139
leisure,6,5,xlong,0.876291434112061
leisure,3,5,xlong,0.434249068808224
leisure,3,5,long,0.313244857046187
leisure,3,5,short,0.0978302410455012
leisure,3,5,medium,0.154675833100088
leisure,5,1,short,0.0538358759338729
leisure,3,6,long,0.191502843308249
leisure,3,6,xlong,0.808497156691751
leisure,5,1,medium,0.129879557149861
leisure,6,5,medium,0.010547530044153
leisure,4,1,long,0.238959328829166
leisure,4,1,medium,0.161411519535777
leisure,4,1,short,0.19323106310745
leisure,4,1,xlong,0.406398088527606
leisure,1,2,long,0.295182442813138
leisure,5,4,short,0.242611819151984
leisure,5,6,long,0.0216744701066218
leisure,2,2,xlong,0.101781731496553
leisure,5,5,xlong,0.100476483883338
leisure,1,6,short,0.137316075469724
leisure,6,1,medium,0.138634391459535
leisure,1,4,long,0.142063047670807
leisure,1,4,short,0.305541269882334
leisure,2,1,medium,0.3107837626662
leisure,2,1,short,0.211197740283371
leisure,2,1,xlong,0.259956319239703
leisure,2,3,medium,0.279342326705086
leisure,2,1,long,0.218062177810727
leisure,2,3,short,0.136079109346542
leisure,2,3,long,0.334816767197663
leisure,2,3,xlong,0.249761796750708
leisure,2,2,long,0.160385446387339
leisure,2,2,medium,0.247177383216435
