Mode,MicrotypeID,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile,CostPerMeter
auto,1,682365.619370722,9328176.46617008,0.058082656480017245
auto,2,676942.027301986,9267549.9634209,0.05762100274765798
auto,3,740800.737196743,9986682.08126881,0.06305662758686774
auto,4,541079.886883729,6021080.42377925,0.04605647809028913
auto,5,666387.99620586,9160735.48393685,0.05672264833876935
auto,6,665177.003725106,9166279.32850031,0.056619569200162714
bike,5,481000.0,6769000.0,0.040942504976514665
bike,3,481000.0,6769000.0,0.040942504976514665
bike,1,481000.0,6769000.0,0.040942504976514665
bike,4,385000.0,4161000.0,0.03277102789180488
bike,6,481000.0,6769000.0,0.040942504976514665
bike,2,481000.0,6769000.0,0.040942504976514665
bus,6,665177.003725106,9166279.32850031,0.056619569200162714
bus,4,541079.886883729,6021080.42377925,0.04605647809028913
bus,2,676942.027301986,9267549.9634209,0.05762100274765798
bus,1,682365.619370722,9328176.46617008,0.058082656480017245
bus,5,666387.99620586,9160735.48393685,0.05672264833876935
bus,3,740800.737196743,9986682.08126881,0.06305662758686774
