MicrotypeID,Population,PopulationGroupTypeID
1,114633,LowIncNoVehSenior
1,2862512,HighIncVeh
1,313426,HighIncVehSenior
1,1650852,LowIncVeh
1,10026,HighIncNoVehSenior
1,115819,HighIncNoVeh
1,308326,LowIncNoVeh
1,293421,LowIncVehSenior
2,21516,LowIncNoVehSenior
2,7674,HighIncNoVehSenior
2,86912,LowIncNoVeh
2,436957,HighIncVehSenior
2,1174162,LowIncVeh
2,4033494,HighIncVeh
2,14630,HighIncNoVeh
2,218747,LowIncVehSenior
3,150269,LowIncVehSenior
3,25972,LowIncNoVeh
3,2628493,HighIncVeh
3,2866,HighIncNoVehSenior
3,29080,LowIncNoVehSenior
3,13548,HighIncNoVeh
3,276318,HighIncVehSenior
3,759511,LowIncVeh
4,1283,LowIncNoVehSenior
4,22541,LowIncVehSenior
4,63424,LowIncVeh
4,494245,HighIncVeh
4,51470,HighIncVehSenior
5,528,HighIncNoVehSenior
5,3840,LowIncNoVehSenior
5,1283454,HighIncVeh
5,220921,LowIncVeh
5,171060,HighIncVehSenior
5,12060,HighIncNoVeh
5,45872,LowIncVehSenior
5,18800,LowIncNoVeh
6,681,HighIncVehSenior
6,7710,LowIncVehSenior
6,6227,HighIncVeh
6,1577,LowIncVeh
