SubnetworkID,Dedicated,Length,MFD,MicrotypeID,ModesAllowed,Type,a,avgLinkLength,b,capacityFlow,k_jam,smoothingFactor,vMax,waveSpeed
0,False,19339524.845815323,modified-quadratic,1,Auto-Bus-Bike,Road,-97.3,50.0,0.12,,0.5,,11.6,
1,True,3867904.969163065,fixed,1,Walk,Sidewalk,,,,,,,1.35,
2,True,0.0,bottleneck,1,Bus,Road,,50.0,,0.4,,,17.0,
3,True,0.0,fixed,1,Bike,Road,,,,,0.15,,5.0,
4,True,8901484.618653312,fixed,1,Rail,Rail,,,,,,,20.0,
5,False,23452879.01696762,modified-quadratic,2,Auto-Bus-Bike,Road,-183.0,50.0,0.0849,,0.0849,,,
6,True,4690575.803393524,fixed,2,Walk,Sidewalk,,,,,,,1.35,
7,True,0.0,bottleneck,2,Bus,Road,,50.0,,0.4,,,17.0,
8,True,0.0,fixed,2,Bike,Road,,,,,0.15,,5.0,
9,True,9411920.367258308,fixed,2,Rail,Rail,,,,,,,20.0,
10,False,33242730.84570716,modified-quadratic,3,Auto-Bus-Bike,Road,-357.0,50.0,0.0632,,0.0632,,,
11,True,6648546.169141431,fixed,3,Walk,Sidewalk,,,,,,,1.35,
12,True,0.0,bottleneck,3,Bus,Road,,50.0,,0.4,,,17.0,
13,True,0.0,fixed,3,Bike,Road,,,,,0.15,,5.0,
14,True,6101884.827030814,fixed,3,Rail,Rail,,,,,,,20.0,
15,False,2967523.2042055405,modified-quadratic,4,Auto-Bus-Bike,Road,-243.0,50.0,0.0784,,0.0784,,,
16,True,593504.640841108,fixed,4,Walk,Sidewalk,,,,,,,1.35,
17,True,0.0,bottleneck,4,Bus,Road,,50.0,,0.4,,,17.0,
18,True,0.0,fixed,4,Bike,Road,,,,,0.15,,5.0,
19,True,993878.1973017644,fixed,4,Rail,Rail,,,,,,,20.0,
20,False,16566040.4248317,modified-quadratic,5,Auto-Bus-Bike,Road,-240.0,50.0,0.0791,,0.0791,,,
21,True,3313208.08496634,fixed,5,Walk,Sidewalk,,,,,,,1.35,
22,True,0.0,bottleneck,5,Bus,Road,,50.0,,0.4,,,17.0,
23,True,0.0,fixed,5,Bike,Road,,,,,0.15,,5.0,
24,True,2758110.40976716,fixed,5,Rail,Rail,,,,,,,20.0,
25,False,1514138.68119264,rural,6,Auto-Bus-Bike,Road,-515.56,50.0,0.0376,,0.0376,,,
26,True,302827.736238528,fixed,6,Walk,Sidewalk,,,,,,,1.35,
27,True,0.0,bottleneck,6,Bus,Road,,50.0,,0.4,,,17.0,
28,True,0.0,fixed,6,Bike,Road,,,,,0.15,,5.0,
29,True,25429.381188635085,fixed,6,Rail,Rail,,,,,,,20.0,
