origin microtype,mode,fraction
1,auto,0.673528338
1,bike,0.014784594
1,bus,0.051638307
1,rail,0.024245475
1,walk,0.211866834
2,auto,0.83614472
2,bike,0.014285876
2,bus,0.018228259
2,rail,0.007462841
2,walk,0.115531321
3,auto,0.838438379
3,bike,0.009560914
3,bus,0.025596448
3,rail,0.010286149
3,walk,0.104074321
4,auto,0.849613772
4,bike,0.014795991
4,bus,0.013538277
4,rail,0.010498579
4,walk,0.106995674
5,auto,0.865887512
5,bike,0.009046277
5,bus,0.010603247
5,rail,0.004969545
5,walk,0.103473905
6,auto,0.948732596
6,bike,0.005418553
6,bus,0.0
6,rail,0.0
6,walk,0.024536553
