Unnamed: 0,origin microtype,mode,trip count,total_travel_time,total_distance,trip_travel_time (h),trip_length (mile),avg_speed (mph),source
0,1,auto,15175531.989570484,5531292.879452064,106781328.92249206,0.3644875766631109,7.036414209128118,19.304949358073035,NHTS
1,1,bike,335229.5947942236,106284.60082327297,591085.8074938589,0.3170501724005436,1.763226805368092,5.561349460931783,NHTS
2,1,bus,1144102.705777013,917390.6820035276,7272873.291950428,0.8018429441441494,6.356836021125467,7.927781952250593,NHTS
4,1,rail,531463.8817032117,517369.87791036855,7779037.591511751,0.9734807871653004,14.63700142064563,15.035737339272435,NHTS
7,1,walk,4811911.605008123,1184792.984776717,2351972.5235555773,0.2462208540039706,0.4887813236443704,1.9851337354084893,NHTS
8,2,auto,19319391.805119127,6318613.512461506,142297021.96221158,0.3270606847358021,7.365502154395287,22.520292099140867,NHTS
9,2,bike,331362.77539402223,100832.66679731692,687647.3815000154,0.3042969044347759,2.0752101097727,6.819688532906215,NHTS
10,2,bus,411109.43204686337,310630.0591193759,3643288.298085016,0.7555897162777,8.862088811598243,11.72870490516467,NHTS
12,2,rail,160583.12443297484,179928.99113041797,3393545.293970872,1.1204726011263892,21.13263959680452,18.86046974781917,NHTS
15,2,walk,2683070.296072125,755190.9824612055,1736928.9981606852,0.2814652242122637,0.6473661911517781,2.2999864120463225,NHTS
16,3,auto,14759554.497642187,5222799.019897616,123010565.10434076,0.3538588526321677,8.334300681229333,23.55261319374916,NHTS
17,3,bike,168292.58090281073,56985.72963557632,380894.4926578618,0.3386110625309483,2.263287487865131,6.684032916550892,NHTS
18,3,bus,423765.5039767924,328310.7638917565,3691764.035047741,0.7747463179771624,8.711808772546812,11.24472433156322,NHTS
20,3,rail,175014.21920833123,181295.66609189915,3274931.602557157,1.0358910659487082,18.71237444232337,18.064036902553905,NHTS
23,3,walk,1840996.532435453,495679.25715496857,1613375.4308584356,0.2692450791850405,0.8763598423100245,3.2548778420115165,NHTS
24,4,auto,1919227.6593127744,639723.9411317653,15503788.064263104,0.3333236356966811,8.07813913530957,24.235122476164698,NHTS
25,4,bike,33649.576050605,7913.789784049418,43160.258835133645,0.235182451396951,1.282639007701782,5.45380405758629,NHTS
26,4,bus,29152.036596998794,26418.02653075404,389785.764907482,0.9062154694699368,13.370790188552744,14.754537567509836,NHTS
28,4,rail,21161.919057542967,21963.92018228836,530000.5716457198,1.0378983173768226,25.04501459459113,24.13050890947558,NHTS
30,4,walk,240058.67433499437,49729.441797633466,111995.80757407496,0.2071553628936465,0.4665351413954253,2.2521026483632203,NHTS
31,5,auto,5714110.724886749,2126135.4090289488,57929239.67311097,0.3720850909956925,10.137927398013291,27.2462607165592,NHTS
32,5,bike,60705.85887837874,28249.56189556312,182603.71600499316,0.4653514902434665,3.008008112871458,6.463948597860305,NHTS
33,5,bus,65438.6107064204,53817.20458264173,895832.5624217794,0.8224075053195093,13.689663529697862,16.645839734134434,NHTS
35,5,rail,30230.172520308657,35262.818726982405,853306.4048808687,1.1664775880221263,28.226977676280768,24.198474077965177,NHTS
38,5,walk,693032.8221409899,221260.51666028236,592131.2033109484,0.3192641237059178,0.8544057141214098,2.6761720177129087,NHTS
39,6,auto,161204.4630961596,113821.3394028123,4456368.342709535,0.7060681647189698,27.6441995284664,39.15230980491719,NHTS
40,6,bike,994.559612020384,563.583780144884,4284.562808583814,0.5666666666666664,4.308,7.602352941176474,NHTS
42,6,walk,4503.612485406687,1539.683000028862,7659.21190963594,0.3418773273717454,1.700681826967689,4.974538206560939,NHTS
