microtype,hour,speed (mph),source
1,0,25.627607495231054,HERE mean speed
1,1,25.64851938948764,HERE mean speed
1,2,25.39481608251187,HERE mean speed
1,3,25.281389410335684,HERE mean speed
1,4,24.839011580146803,HERE mean speed
1,5,23.90902746976276,HERE mean speed
1,6,21.98950094055681,HERE mean speed
1,7,19.331134379295637,HERE mean speed
1,8,17.553442682047585,HERE mean speed
1,9,17.914709604498835,HERE mean speed
1,10,18.118260929858454,HERE mean speed
1,11,18.15732150822348,HERE mean speed
1,12,18.02566217712512,HERE mean speed
1,13,18.029348211055467,HERE mean speed
1,14,18.01692311374036,HERE mean speed
1,15,17.771896656534953,HERE mean speed
1,16,18.000933118933904,HERE mean speed
1,17,18.169088207196687,HERE mean speed
1,18,19.108192086112798,HERE mean speed
1,19,20.33382003235881,HERE mean speed
1,20,21.20147694726793,HERE mean speed
1,21,21.7413002482774,HERE mean speed
1,22,22.643554837387768,HERE mean speed
1,23,25.36313882440338,HERE mean speed
2,0,31.70278940549377,HERE mean speed
2,1,31.571273053809488,HERE mean speed
2,2,31.424482264045334,HERE mean speed
2,3,31.363180454842183,HERE mean speed
2,4,30.992883108010933,HERE mean speed
2,5,29.99959003178825,HERE mean speed
2,6,27.67770079058279,HERE mean speed
2,7,24.48325375960584,HERE mean speed
2,8,22.739434542045817,HERE mean speed
2,9,23.43734823869442,HERE mean speed
2,10,23.6697096589967,HERE mean speed
2,11,23.484463095919235,HERE mean speed
2,12,23.300449815808182,HERE mean speed
2,13,23.33926746182763,HERE mean speed
2,14,23.2196006672631,HERE mean speed
2,15,23.032220825535163,HERE mean speed
2,16,23.410730050933783,HERE mean speed
2,17,23.547700096477172,HERE mean speed
2,18,24.746547590439395,HERE mean speed
2,19,25.99052704206953,HERE mean speed
2,20,26.88656605979775,HERE mean speed
2,21,27.459461147421933,HERE mean speed
2,22,28.461918156708823,HERE mean speed
2,23,31.46644864840224,HERE mean speed
3,0,42.30364174504903,HERE mean speed
3,1,42.16640468459468,HERE mean speed
3,2,41.98105447861891,HERE mean speed
3,3,42.963759964594914,HERE mean speed
3,4,44.48844367679483,HERE mean speed
3,5,42.10368946646902,HERE mean speed
3,6,35.90083393837062,HERE mean speed
3,7,29.68668869994203,HERE mean speed
3,8,27.451586971509283,HERE mean speed
3,9,30.58267646511837,HERE mean speed
3,10,32.32352537504895,HERE mean speed
3,11,32.53467138557206,HERE mean speed
3,12,32.23500840824749,HERE mean speed
3,13,32.17793212393569,HERE mean speed
3,14,31.498580266451818,HERE mean speed
3,15,29.43976820559156,HERE mean speed
3,16,28.15131520500477,HERE mean speed
3,17,27.36917941937338,HERE mean speed
3,18,30.43759891280142,HERE mean speed
3,19,34.63100767879038,HERE mean speed
3,20,37.72517906171336,HERE mean speed
3,21,38.70149987149546,HERE mean speed
3,22,40.27159434813108,HERE mean speed
3,23,42.79793625334384,HERE mean speed
4,0,36.77004429792934,HERE mean speed
4,1,36.43300077790743,HERE mean speed
4,2,36.54009881422924,HERE mean speed
4,3,36.86405717889426,HERE mean speed
4,4,37.07764534558083,HERE mean speed
4,5,36.394017200407376,HERE mean speed
4,6,34.11939130434782,HERE mean speed
4,7,30.313504705072297,HERE mean speed
4,8,28.69512716763005,HERE mean speed
4,9,29.33966244239631,HERE mean speed
4,10,29.599295774647885,HERE mean speed
4,11,29.1097324491196,HERE mean speed
4,12,28.80833044482958,HERE mean speed
4,13,28.940156594362605,HERE mean speed
4,14,28.99038237351364,HERE mean speed
4,15,28.922339018447616,HERE mean speed
4,16,29.38910041103934,HERE mean speed
4,17,29.643059613572103,HERE mean speed
4,18,30.573439329583284,HERE mean speed
4,19,31.71131009341536,HERE mean speed
4,20,32.47664466196221,HERE mean speed
4,21,32.96216638749301,HERE mean speed
4,22,33.73269247985676,HERE mean speed
4,23,36.82085652862639,HERE mean speed
5,0,37.5964271441445,HERE mean speed
5,1,37.45500588951274,HERE mean speed
5,2,37.48685682832373,HERE mean speed
5,3,37.90500521007412,HERE mean speed
5,4,37.66947403116261,HERE mean speed
5,5,36.34273180199288,HERE mean speed
5,6,33.63527414724247,HERE mean speed
5,7,30.40477512290853,HERE mean speed
5,8,29.161381135124216,HERE mean speed
5,9,29.905835522909037,HERE mean speed
5,10,30.251986573392735,HERE mean speed
5,11,30.15123831822861,HERE mean speed
5,12,30.11140367585969,HERE mean speed
5,13,30.16091146677472,HERE mean speed
5,14,30.10462580185317,HERE mean speed
5,15,30.003992961224995,HERE mean speed
5,16,30.41056530214425,HERE mean speed
5,17,30.472826904217065,HERE mean speed
5,18,31.543750605229175,HERE mean speed
5,19,33.02672830468703,HERE mean speed
5,20,34.01696950292163,HERE mean speed
5,21,34.59030169742288,HERE mean speed
5,22,35.265083323821486,HERE mean speed
5,23,37.50792623966116,HERE mean speed
6,0,42.87751436475845,HERE mean speed
6,1,42.80624349400317,HERE mean speed
6,2,43.30155117026159,HERE mean speed
6,3,43.80110550458716,HERE mean speed
6,4,43.85433356274375,HERE mean speed
6,5,43.087572413793104,HERE mean speed
6,6,41.330078322967054,HERE mean speed
6,7,39.87340046296297,HERE mean speed
