ModesAllowed,SubnetworkID,Mode
Auto-Bus-Bike-Freight,0,auto
Auto-Bus-Bike-Freight,30,bike
Auto-Bus-Bike-Freight,30,bus
Auto-Bus-Bike-Freight,30,auto
Auto-Bus-Bike-Freight,50,freight_combo
Auto-Bus-Bike-Freight,25,freight_single
Auto-Bus-Bike-Freight,25,freight_combo
Auto-Bus-Bike-Freight,30,freight_combo
Auto-Bus-Bike-Freight,25,bike
Auto-Bus-Bike-Freight,25,auto
Auto-Bus-Bike-Freight,50,freight_single
Auto-Bus-Bike-Freight,45,freight_combo
Auto-Bus-Bike-Freight,20,freight_single
Auto-Bus-Bike-Freight,20,freight_combo
Auto-Bus-Bike-Freight,20,bike
Auto-Bus-Bike-Freight,25,bus
Auto-Bus-Bike-Freight,20,bus
Auto-Bus-Bike-Freight,30,freight_single
Auto-Bus-Bike-Freight,50,bus
Auto-Bus-Bike-Freight,45,bike
Auto-Bus-Bike-Freight,45,bus
Auto-Bus-Bike-Freight,45,auto
Auto-Bus-Bike-Freight,40,freight_single
Auto-Bus-Bike-Freight,40,freight_combo
Auto-Bus-Bike-Freight,40,bike
Auto-Bus-Bike-Freight,50,bike
Auto-Bus-Bike-Freight,40,bus
Auto-Bus-Bike-Freight,50,auto
Auto-Bus-Bike-Freight,35,freight_single
Auto-Bus-Bike-Freight,35,freight_combo
Auto-Bus-Bike-Freight,35,bike
Auto-Bus-Bike-Freight,35,bus
Auto-Bus-Bike-Freight,35,auto
Auto-Bus-Bike-Freight,40,auto
Auto-Bus-Bike-Freight,20,auto
Auto-Bus-Bike-Freight,45,freight_single
Auto-Bus-Bike-Freight,10,bike
Auto-Bus-Bike-Freight,5,freight_combo
Auto-Bus-Bike-Freight,55,bike
Auto-Bus-Bike-Freight,10,auto
Auto-Bus-Bike-Freight,10,bus
Auto-Bus-Bike-Freight,5,bike
Auto-Bus-Bike-Freight,10,freight_combo
Auto-Bus-Bike-Freight,5,bus
Auto-Bus-Bike-Freight,5,auto
Auto-Bus-Bike-Freight,10,freight_single
Auto-Bus-Bike-Freight,55,bus
Auto-Bus-Bike-Freight,5,freight_single
Auto-Bus-Bike-Freight,55,freight_combo
Auto-Bus-Bike-Freight,55,auto
Auto-Bus-Bike-Freight,15,auto
Auto-Bus-Bike-Freight,15,bus
Auto-Bus-Bike-Freight,55,freight_single
Auto-Bus-Bike-Freight,15,bike
Auto-Bus-Bike-Freight,0,freight_combo
Auto-Bus-Bike-Freight,15,freight_combo
Auto-Bus-Bike-Freight,15,freight_single
Auto-Bus-Bike-Freight,0,bike
Auto-Bus-Bike-Freight,0,bus
Auto-Bus-Bike-Freight,0,freight_single
Bike,48,bike
Bike,38,bike
Bike,18,bike
Bike,33,bike
Bike,53,bike
Bike,8,bike
Bike,3,bike
Bike,58,bike
Bike,28,bike
Bike,43,bike
Bike,13,bike
Bike,23,bike
Bus,47,bus
Bus,42,bus
Bus,57,bus
Bus,32,bus
Bus,37,bus
Bus,7,bus
Bus,27,bus
Bus,12,bus
Bus,52,bus
Bus,17,bus
Bus,2,bus
Bus,22,bus
Rail,49,rail
Rail,54,rail
Rail,29,rail
Rail,44,rail
Rail,4,rail
Rail,9,rail
Rail,14,rail
Rail,24,rail
Rail,19,rail
Rail,34,rail
Rail,39,rail
Rail,59,rail
Walk,26,walk
Walk,51,walk
Walk,21,walk
Walk,46,walk
Walk,16,walk
Walk,36,walk
Walk,11,walk
Walk,6,walk
Walk,41,walk
Walk,56,walk
Walk,1,walk
Walk,31,walk
