TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,Portion
home,A_1,A_1,short,0.475041171842042
home,A_5,B_5,medium,0.001726339037028
home,C_3,A_2,xlong,1.0
home,A_5,B_6,xlong,1.0
home,A_5,C_1,xlong,1.0
home,A_5,C_2,xlong,1.0
home,A_5,C_3,xlong,1.0
home,A_5,C_5,xlong,1.0
home,A_5,C_6,xlong,1.0
home,A_6,A_1,xlong,0.581648600368753
home,A_5,B_5,xlong,0.998273660962972
home,A_6,A_1,long,0.192589521527381
home,A_6,A_2,long,0.0503823849962196
home,A_6,A_2,xlong,0.94961761500378
home,C_2,C_6,medium,0.113402392102713
home,C_2,C_6,xlong,0.56811227770482
home,A_6,A_3,xlong,1.0
home,C_2,C_6,short,0.0203715044341699
home,A_6,A_4,medium,1.0
home,A_6,A_5,xlong,0.973432151119324
home,A_6,A_5,long,0.026567848880676
home,A_6,A_1,medium,0.225761878103865
home,C_2,C_6,long,0.298113825758298
home,A_5,B_4,xlong,1.0
home,A_5,B_3,xlong,1.0
home,A_5,A_4,long,0.224027672134533
home,A_5,A_4,xlong,0.294877505124426
home,A_5,A_4,short,0.0953275230920961
home,C_3,C_2,xlong,0.264093117222155
home,A_5,A_5,short,0.393223141126125
home,A_5,A_5,long,0.201775683318414
home,A_5,A_5,medium,0.288289271119522
home,A_5,A_5,xlong,0.116711904435939
home,C_3,C_1,long,1.0
home,C_3,A_3,xlong,1.0
home,C_3,B_6,xlong,1.0
home,C_3,B_3,xlong,1.0
home,A_5,A_6,xlong,0.988457267878571
home,A_5,A_6,long,0.011542732121429
home,C_3,B_2,long,0.616794556308298
home,C_3,B_2,xlong,0.383205443691702
home,A_5,B_1,xlong,1.0
home,C_3,B_1,xlong,1.0
home,A_5,B_2,xlong,1.0
home,C_3,A_5,xlong,1.0
home,C_3,B_5,xlong,1.0
home,A_5,A_4,medium,0.385767299648945
home,A_6,A_6,long,0.225740600106647
home,A_6,B_3,xlong,1.0
home,B_1,B_3,short,0.143371285593785
home,C_2,C_3,medium,0.34408694845407
home,C_2,C_3,short,0.0586267217466649
home,C_2,C_3,long,0.459808850257394
home,C_2,C_3,xlong,0.137477479541871
home,B_1,B_4,medium,0.24558065659742
home,B_1,B_4,long,0.446190773664579
home,B_1,B_4,short,0.0191560200878573
home,B_1,B_4,xlong,0.289072549650144
home,B_1,B_3,long,0.389618794598825
home,B_1,B_5,xlong,0.587697415931438
home,B_1,B_5,medium,0.140431253173295
home,B_1,B_5,short,0.0190393547103148
home,C_2,C_2,xlong,0.0678095131842787
home,C_2,C_2,short,0.479952351073812
home,C_2,C_2,long,0.200960820860944
home,C_2,C_2,medium,0.251277314880966
home,B_1,B_6,xlong,0.614937836877134
home,B_1,B_6,long,0.352214842568375
home,B_1,B_6,medium,0.0328473205544915
home,B_1,B_5,long,0.252831976184952
home,A_6,A_6,short,0.774259399893353
home,B_1,B_3,medium,0.243685420852036
home,C_2,C_4,long,0.297959937050512
home,A_6,B_5,xlong,1.0
home,B_1,A_1,xlong,1.0
home,B_1,A_2,xlong,1.0
home,B_1,A_3,xlong,1.0
home,B_1,A_5,xlong,1.0
home,B_1,B_1,medium,0.149796633094295
home,B_1,B_1,short,0.6187089491618
home,B_1,B_1,long,0.223166135839281
home,B_1,B_1,xlong,0.0083282819046236
home,B_1,B_3,xlong,0.223324498955354
home,C_2,C_5,long,0.299760531545724
home,C_2,C_5,short,0.107844585468039
home,C_2,C_5,xlong,0.32004948646938
home,B_1,B_2,medium,0.279902595290806
home,B_1,B_2,long,0.342966141232199
home,B_1,B_2,xlong,0.203623459060946
home,B_1,B_2,short,0.173507804416048
home,C_2,C_4,short,0.0668647807822519
home,C_2,C_4,medium,0.416750921479113
home,C_2,C_4,xlong,0.218424360688123
home,C_2,C_5,medium,0.272345396516857
home,C_2,C_1,xlong,0.0061468793635081
home,C_3,C_2,medium,0.341992904823572
home,C_3,C_2,long,0.357377050064153
home,A_3,B_5,long,0.0018063602863519
