ModesAllowed,SubnetworkID,Mode
Auto-Bike-Freight,105,auto
Auto-Bike-Freight,110,freight_single
Auto-Bike-Freight,100,freight_combo
Auto-Bike-Freight,100,bike
Auto-Bike-Freight,100,freight_single
Auto-Bike-Freight,105,freight_single
Auto-Bike-Freight,110,bike
Auto-Bike-Freight,100,auto
Auto-Bike-Freight,110,auto
Auto-Bike-Freight,115,auto
Auto-Bike-Freight,95,freight_single
Auto-Bike-Freight,95,freight_combo
Auto-Bike-Freight,115,bike
Auto-Bike-Freight,90,freight_single
Auto-Bike-Freight,110,freight_combo
Auto-Bike-Freight,115,freight_single
Auto-Bike-Freight,90,freight_combo
Auto-Bike-Freight,90,bike
Auto-Bike-Freight,95,bike
Auto-Bike-Freight,95,auto
Auto-Bike-Freight,90,auto
Auto-Bike-Freight,105,bike
Auto-Bike-Freight,105,freight_combo
Auto-Bike-Freight,115,freight_combo
Auto-Bus-Bike-Freight,60,auto
Auto-Bus-Bike-Freight,40,bike
Auto-Bus-Bike-Freight,40,freight_combo
Auto-Bus-Bike-Freight,55,freight_single
Auto-Bus-Bike-Freight,55,freight_combo
Auto-Bus-Bike-Freight,40,freight_single
Auto-Bus-Bike-Freight,55,bike
Auto-Bus-Bike-Freight,45,bus
Auto-Bus-Bike-Freight,55,auto
Auto-Bus-Bike-Freight,50,freight_single
Auto-Bus-Bike-Freight,50,freight_combo
Auto-Bus-Bike-Freight,50,bike
Auto-Bus-Bike-Freight,50,bus
Auto-Bus-Bike-Freight,50,auto
Auto-Bus-Bike-Freight,60,bus
Auto-Bus-Bike-Freight,45,freight_single
Auto-Bus-Bike-Freight,45,auto
Auto-Bus-Bike-Freight,45,freight_combo
Auto-Bus-Bike-Freight,55,bus
Auto-Bus-Bike-Freight,0,auto
Auto-Bus-Bike-Freight,65,bus
Auto-Bus-Bike-Freight,60,freight_combo
Auto-Bus-Bike-Freight,85,freight_single
Auto-Bus-Bike-Freight,85,freight_combo
Auto-Bus-Bike-Freight,85,bike
Auto-Bus-Bike-Freight,85,bus
Auto-Bus-Bike-Freight,85,auto
Auto-Bus-Bike-Freight,80,freight_single
Auto-Bus-Bike-Freight,80,freight_combo
Auto-Bus-Bike-Freight,80,bike
Auto-Bus-Bike-Freight,80,bus
Auto-Bus-Bike-Freight,80,auto
Auto-Bus-Bike-Freight,75,freight_single
Auto-Bus-Bike-Freight,75,freight_combo
Auto-Bus-Bike-Freight,75,bike
Auto-Bus-Bike-Freight,75,bus
Auto-Bus-Bike-Freight,75,auto
Auto-Bus-Bike-Freight,70,freight_single
Auto-Bus-Bike-Freight,70,freight_combo
Auto-Bus-Bike-Freight,70,bike
Auto-Bus-Bike-Freight,70,bus
Auto-Bus-Bike-Freight,70,auto
Auto-Bus-Bike-Freight,65,freight_single
Auto-Bus-Bike-Freight,65,freight_combo
Auto-Bus-Bike-Freight,65,bike
Auto-Bus-Bike-Freight,65,auto
Auto-Bus-Bike-Freight,60,freight_single
Auto-Bus-Bike-Freight,60,bike
Auto-Bus-Bike-Freight,40,bus
Auto-Bus-Bike-Freight,45,bike
Auto-Bus-Bike-Freight,10,auto
Auto-Bus-Bike-Freight,30,auto
Auto-Bus-Bike-Freight,10,bus
Auto-Bus-Bike-Freight,25,freight_single
Auto-Bus-Bike-Freight,25,freight_combo
Auto-Bus-Bike-Freight,10,bike
Auto-Bus-Bike-Freight,10,freight_combo
Auto-Bus-Bike-Freight,10,freight_single
Auto-Bus-Bike-Freight,25,bike
Auto-Bus-Bike-Freight,25,bus
Auto-Bus-Bike-Freight,25,auto
Auto-Bus-Bike-Freight,20,freight_single
Auto-Bus-Bike-Freight,20,freight_combo
Auto-Bus-Bike-Freight,15,auto
Auto-Bus-Bike-Freight,20,bike
Auto-Bus-Bike-Freight,20,bus
Auto-Bus-Bike-Freight,20,auto
Auto-Bus-Bike-Freight,15,bus
Auto-Bus-Bike-Freight,40,auto
Auto-Bus-Bike-Freight,15,bike
Auto-Bus-Bike-Freight,15,freight_combo
Auto-Bus-Bike-Freight,5,freight_single
Auto-Bus-Bike-Freight,15,freight_single
Auto-Bus-Bike-Freight,5,auto
Auto-Bus-Bike-Freight,35,bus
Auto-Bus-Bike-Freight,35,auto
Auto-Bus-Bike-Freight,5,freight_combo
Auto-Bus-Bike-Freight,0,freight_combo
Auto-Bus-Bike-Freight,0,freight_single
Auto-Bus-Bike-Freight,35,freight_single
Auto-Bus-Bike-Freight,35,freight_combo
Auto-Bus-Bike-Freight,35,bike
Auto-Bus-Bike-Freight,0,bike
Auto-Bus-Bike-Freight,5,bike
Auto-Bus-Bike-Freight,30,freight_single
Auto-Bus-Bike-Freight,0,bus
Auto-Bus-Bike-Freight,30,freight_combo
Auto-Bus-Bike-Freight,30,bike
Auto-Bus-Bike-Freight,30,bus
Auto-Bus-Bike-Freight,5,bus
Bike,93,bike
Bike,8,bike
Bike,13,bike
Bike,73,bike
Bike,88,bike
Bike,3,bike
Bike,83,bike
Bike,78,bike
Bike,98,bike
Bike,38,bike
Bike,18,bike
Bike,53,bike
Bike,28,bike
Bike,48,bike
Bike,118,bike
Bike,58,bike
Bike,23,bike
Bike,68,bike
Bike,33,bike
Bike,103,bike
Bike,108,bike
Bike,43,bike
Bike,63,bike
Bike,113,bike
Bus,2,bus
Bus,42,bus
Bus,32,bus
Bus,107,bus
Bus,47,bus
Bus,37,bus
Bus,82,bus
Bus,87,bus
Bus,117,bus
Bus,92,bus
Bus,7,bus
Bus,67,bus
Bus,17,bus
Bus,112,bus
Bus,62,bus
Bus,72,bus
Bus,22,bus
Bus,52,bus
Bus,97,bus
Bus,12,bus
Bus,57,bus
Bus,77,bus
Bus,27,bus
Bus,102,bus
Rail,94,rail
Rail,104,rail
Rail,109,rail
Rail,114,rail
Rail,99,rail
Rail,119,rail
Rail,89,rail
