Mode,MicrotypeID,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile,CostPerMeter
auto,A_1,682365.619370722,9328176.46617008,0.058082656480017245
auto,D_3,680887.678366242,8273369.94606658,0.05795685480240619
auto,D_4,403008.071113168,2016670.24252729,0.03430386685473276
auto,D_5,264891.322849964,1342588.96718776,0.022547430985488993
auto,D_6,392765.335450202,1969462.04857035,0.03343200977395498
auto,E_1,637390.072337514,7831155.53862925,0.05425435802216156
auto,E_2,536206.983083343,5955848.48099308,0.04564169869715527
auto,E_3,580862.768404934,6530659.5088861,0.04944277918106257
auto,E_4,478105.416057934,4495720.12077636,0.04069611928534423
auto,E_5,265182.846041235,1344342.96768209,0.02257224530920912
auto,E_6,260610.406411581,1320991.61516873,0.0221830412919702
auto,F_1,532206.539819095,5912792.86850707,0.045301182754837736
auto,F_2,525588.536719055,5833396.77106041,0.04473786128943653
auto,F_3,581528.156954439,6529773.17347647,0.049499416756944956
auto,F_4,536421.17435357,5962257.30816434,0.04565993056232616
auto,F_6,516746.471707388,5753369.06175813,0.043985228668349544
auto,D_2,469221.4923136,4387631.16664089,0.03993992366764492
auto,D_1,649567.993856707,8968989.02329202,0.05529093725792698
auto,F_5,529603.486745363,5882348.93465735,0.0450796120408556
auto,C_5,463115.603646004,4334584.78705145,0.03942019315380065
auto,C_6,460791.899472257,4327070.5501616,0.03922240049330671
auto,A_3,740800.737196743,9986682.08126881,0.06305662758686774
auto,A_4,541079.886883729,6021080.42377925,0.04605647809028913
auto,A_5,666387.99620586,9160735.48393685,0.05672264833876935
auto,A_6,665177.003725106,9166279.32850031,0.056619569200162714
auto,B_1,472609.260602248,4422806.34801608,0.0402282889899261
auto,B_2,535952.690189199,5949589.59104888,0.04562005339968338
auto,A_2,676942.027301986,9267549.9634209,0.05762100274765798
auto,B_4,678481.312854209,9294542.06218109,0.057752026045749805
auto,B_5,464669.616355291,4348265.77136342,0.03955247002091821
auto,B_6,264922.350010615,1338833.69996549,0.0225500720035334
auto,C_1,535872.773980551,5953383.77128554,0.04561325096772855
auto,C_2,532729.340430835,5914794.21882682,0.045345683309199254
auto,C_3,513308.661681844,4928226.90468457,0.043692603815794144
auto,B_3,582430.848589635,6539707.28149337,0.049576253465398734
auto,C_4,471403.334707969,4424585.53162321,0.04012564111689528
bike,E_2,385000.0,4161000.0,0.03277102789180488
bike,F_4,385000.0,4161000.0,0.03277102789180488
bike,C_4,341000.0,3003000.0,0.029025767561312893
bike,C_6,341000.0,3003000.0,0.029025767561312893
bike,B_5,341000.0,3003000.0,0.029025767561312893
bike,D_2,341000.0,3003000.0,0.029025767561312893
bike,B_1,341000.0,3003000.0,0.029025767561312893
bike,C_3,341000.0,3003000.0,0.029025767561312893
bike,E_4,341000.0,3003000.0,0.029025767561312893
bike,D_6,285000.0,1546000.0,0.024259072595232183
bike,D_4,285000.0,1546000.0,0.024259072595232183
bike,E_5,192000.0,1043000.0,0.016342954169419575
bike,C_2,385000.0,4161000.0,0.03277102789180488
bike,E_6,192000.0,1043000.0,0.016342954169419575
bike,C_5,341000.0,3003000.0,0.029025767561312893
bike,F_6,385000.0,4161000.0,0.03277102789180488
bike,E_3,385000.0,4161000.0,0.03277102789180488
bike,A_4,385000.0,4161000.0,0.03277102789180488
bike,B_6,192000.0,1043000.0,0.016342954169419575
bike,D_1,481000.0,6769000.0,0.040942504976514665
bike,A_2,481000.0,6769000.0,0.040942504976514665
bike,A_5,481000.0,6769000.0,0.040942504976514665
bike,A_3,481000.0,6769000.0,0.040942504976514665
bike,A_1,481000.0,6769000.0,0.040942504976514665
bike,F_2,385000.0,4161000.0,0.03277102789180488
bike,E_1,453000.0,5743000.0,0.038559157493474314
bike,F_3,385000.0,4161000.0,0.03277102789180488
bike,B_3,385000.0,4161000.0,0.03277102789180488
bike,B_2,385000.0,4161000.0,0.03277102789180488
bike,F_1,385000.0,4161000.0,0.03277102789180488
bike,F_5,385000.0,4161000.0,0.03277102789180488
bike,C_1,385000.0,4161000.0,0.03277102789180488
bike,D_3,453000.0,5743000.0,0.038559157493474314
bike,D_5,192000.0,1043000.0,0.016342954169419575
bike,B_4,481000.0,6769000.0,0.040942504976514665
bike,A_6,481000.0,6769000.0,0.040942504976514665
bus,C_3,513308.661681844,4928226.90468457,0.043692603815794144
bus,C_2,532729.340430835,5914794.21882682,0.045345683309199254
bus,C_1,535872.773980551,5953383.77128554,0.04561325096772855
bus,B_6,264922.350010615,1338833.69996549,0.0225500720035334
bus,B_5,464669.616355291,4348265.77136342,0.03955247002091821
bus,B_4,678481.312854209,9294542.06218109,0.057752026045749805
bus,B_3,582430.848589635,6539707.28149337,0.049576253465398734
bus,F_6,516746.471707388,5753369.06175813,0.043985228668349544
bus,B_1,472609.260602248,4422806.34801608,0.0402282889899261
bus,A_6,665177.003725106,9166279.32850031,0.056619569200162714
bus,A_5,666387.99620586,9160735.48393685,0.05672264833876935
bus,A_4,541079.886883729,6021080.42377925,0.04605647809028913
bus,A_3,740800.737196743,9986682.08126881,0.06305662758686774
bus,A_2,676942.027301986,9267549.9634209,0.05762100274765798
bus,A_1,682365.619370722,9328176.46617008,0.058082656480017245
bus,C_4,471403.334707969,4424585.53162321,0.04012564111689528
bus,B_2,535952.690189199,5949589.59104888,0.04562005339968338
bus,C_5,463115.603646004,4334584.78705145,0.03942019315380065
bus,D_1,649567.993856707,8968989.02329202,0.05529093725792698
bus,F_4,536421.17435357,5962257.30816434,0.04565993056232616
bus,F_3,581528.156954439,6529773.17347647,0.049499416756944956
bus,F_2,525588.536719055,5833396.77106041,0.04473786128943653
bus,F_1,532206.539819095,5912792.86850707,0.045301182754837736
bus,E_6,260610.406411581,1320991.61516873,0.0221830412919702
bus,E_5,265182.846041235,1344342.96768209,0.02257224530920912
bus,E_4,478105.416057934,4495720.12077636,0.04069611928534423
bus,E_3,580862.768404934,6530659.5088861,0.04944277918106257
bus,E_2,536206.983083343,5955848.48099308,0.04564169869715527
bus,E_1,637390.072337514,7831155.53862925,0.05425435802216156
bus,D_6,392765.335450202,1969462.04857035,0.03343200977395498
bus,D_5,264891.322849964,1342588.96718776,0.022547430985488993
bus,D_4,403008.071113168,2016670.24252729,0.03430386685473276
bus,D_3,680887.678366242,8273369.94606658,0.05795685480240619
bus,D_2,469221.4923136,4387631.16664089,0.03993992366764492
bus,F_5,529603.486745363,5882348.93465735,0.0450796120408556
bus,C_6,460791.899472257,4327070.5501616,0.03922240049330671
