MicrotypeID,ActivityID,DensityKmSq,TripPurposeID
1,schools,0.82219,school
1,snap,3.02311,other
1,hosp,0.08637,medical
1,creditunion,0.45584,other
1,banks,0.94254,other
1,childcare,1.11589,other
1,parks,0.4892,leisure
1,pharm,0.61703,medical
1,urgentcare,0.03399,medical
2,snap,0.85644,other
2,creditunion,0.12715,other
2,parks,0.20822,leisure
2,childcare,0.45682,other
2,pharm,0.24552,medical
2,schools,0.36346,school
2,hosp,0.02651,medical
2,urgentcare,0.02111,medical
2,banks,0.29079,other
3,urgentcare,0.00533,medical
3,creditunion,0.04322,other
3,schools,0.06953,school
3,snap,0.19092,other
3,childcare,0.08924,other
3,hosp,0.00637,medical
3,pharm,0.05517,medical
3,banks,0.06864,other
3,parks,0.04373,leisure
4,childcare,0.06529,other
4,hosp,0.00303,medical
4,schools,0.04759,school
4,banks,0.04986,other
4,creditunion,0.02604,other
4,snap,0.08981,other
4,parks,0.02786,leisure
4,urgentcare,0.00307,medical
4,pharm,0.03542,medical
5,pharm,0.01024,medical
5,schools,0.0195,school
5,creditunion,0.00491,other
5,urgentcare,0.00064,medical
5,childcare,0.01826,other
5,hosp,0.00097,medical
5,banks,0.01343,other
5,parks,0.00905,leisure
5,snap,0.03531,other
6,snap,0.00538,other
6,urgentcare,4e-05,medical
6,schools,0.00439,school
6,creditunion,0.00053,other
6,childcare,0.00203,other
6,hosp,0.00011,medical
6,pharm,0.00085,medical
6,banks,0.00194,other
6,parks,0.00133,leisure
