Mode,MicrotypeID,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile,CostPerMeter
auto,1,472609.260602248,4422806.34801608,0.0402282889899261
auto,2,535952.690189199,5949589.59104888,0.04562005339968338
auto,3,582430.848589635,6539707.28149337,0.049576253465398734
auto,4,678481.312854209,9294542.06218109,0.057752026045749805
auto,5,464669.616355291,4348265.77136342,0.03955247002091821
auto,6,264922.350010615,1338833.69996549,0.0225500720035334
bike,2,385000.0,4161000.0,0.03277102789180488
bike,5,341000.0,3003000.0,0.029025767561312893
bike,1,341000.0,3003000.0,0.029025767561312893
bike,6,192000.0,1043000.0,0.016342954169419575
bike,4,481000.0,6769000.0,0.040942504976514665
bike,3,385000.0,4161000.0,0.03277102789180488
bus,6,264922.350010615,1338833.69996549,0.0225500720035334
bus,4,678481.312854209,9294542.06218109,0.057752026045749805
bus,2,535952.690189199,5949589.59104888,0.04562005339968338
bus,1,472609.260602248,4422806.34801608,0.0402282889899261
bus,5,464669.616355291,4348265.77136342,0.03955247002091821
bus,3,582430.848589635,6539707.28149337,0.049576253465398734
