HomeMicrotypeID,TimePeriodID,PopulationGroupTypeID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
1,7,HighIncVeh,school,2,2,0.0304836971467208
1,11,LowIncVeh,leisure,1,1,0.143162617356326
1,11,LowIncVeh,home,1,1,0.333788395122418
1,6,LowIncVeh,home,1,1,0.189086212584567
1,7,LowIncVeh,leisure,1,1,0.177106606957227
1,13,LowIncNoVeh,home,1,1,0.332089067597738
1,10,LowIncVeh,leisure,1,3,0.262696962836361
1,17,LowIncVeh,leisure,2,1,0.0169817375245486
1,17,LowIncVeh,home,2,1,0.32764068658687
1,19,LowIncVeh,leisure,1,3,0.0116893275448317
1,5,LowIncVeh,leisure,1,2,1.0
1,8,LowIncVeh,work,2,2,0.0586165236404927
1,10,LowIncNoVehSenior,leisure,2,2,0.747341437745082
1,12,LowIncVeh,leisure,1,1,0.188174018390818
1,11,LowIncVeh,home,2,1,0.492680435946959
1,7,LowIncVeh,work,1,6,0.0168757496525428
1,15,LowIncNoVeh,leisure,1,1,0.73436393041896
1,9,LowIncNoVeh,school,1,1,0.201111643499037
1,20,LowIncNoVehSenior,leisure,1,1,1.0
1,15,LowIncVeh,home,1,1,0.518236387945792
1,6,LowIncVeh,work,1,2,0.29749332577256
1,12,LowIncVeh,work,2,1,0.0689300919592597
1,13,LowIncNoVeh,home,2,1,0.656958782299245
1,11,LowIncVeh,work,1,2,0.0131595004895354
1,17,LowIncVeh,leisure,1,1,0.247472458459652
1,15,LowIncVeh,home,2,1,0.346225344546094
1,14,LowIncVehSenior,leisure,3,1,0.0976976691602967
1,15,LowIncNoVehSenior,leisure,1,1,0.548853618585012
1,11,LowIncVeh,work,1,1,0.19284372440092
1,14,LowIncVehSenior,leisure,1,3,0.144579919237766
1,11,LowIncVehSenior,leisure,3,1,0.178146423851453
1,21,LowIncVeh,leisure,2,3,0.140891886144113
1,6,LowIncVeh,school,1,2,0.293930331912986
1,21,LowIncVeh,home,3,1,0.327536236372416
1,10,LowIncVeh,home,1,1,0.337718033792221
1,10,HighIncVeh,home,1,1,0.271713543992786
1,12,HighIncVeh,work,1,2,0.0389268957820549
1,18,HighIncVeh,home,1,1,0.318328523014018
