MicrotypeID,Population,PopulationGroupTypeID
1,158492,HighIncVeh
1,15473,LowIncNoVehSenior
1,116752,LowIncNoVeh
1,62080,LowIncVehSenior
1,542768,LowIncVeh
1,23757,HighIncVehSenior
2,59225,LowIncNoVeh
2,16259,LowIncNoVehSenior
2,130736,LowIncVehSenior
2,1357,HighIncNoVehSenior
2,1407483,HighIncVeh
2,1027865,LowIncVeh
2,4642,HighIncNoVeh
2,160218,HighIncVehSenior
3,5989,LowIncNoVehSenior
3,248,HighIncNoVehSenior
3,782,HighIncNoVeh
3,54946,LowIncNoVeh
3,36369,LowIncVehSenior
3,454043,HighIncVeh
3,436962,LowIncVeh
3,51276,HighIncVehSenior
4,334,LowIncNoVehSenior
4,746,HighIncNoVehSenior
4,1118,HighIncNoVeh
4,60113,LowIncVeh
4,58809,HighIncVeh
4,11697,HighIncVehSenior
4,6356,LowIncVehSenior
5,853826,HighIncVeh
5,54903,LowIncVehSenior
5,609,HighIncNoVehSenior
5,6664,LowIncNoVehSenior
5,382747,LowIncVeh
5,93000,HighIncVehSenior
5,10107,LowIncNoVeh
5,109,HighIncNoVeh
6,2066,LowIncNoVehSenior
6,188789,HighIncVeh
6,2302,LowIncNoVeh
6,21890,LowIncVehSenior
6,13110,HighIncVehSenior
6,172124,LowIncVeh
