Mode,MicrotypeID,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile
auto,1,472609.260602248,4422806.34801608
auto,2,535952.690189199,5949589.59104888
auto,3,582430.848589635,6539707.28149337
auto,4,678481.312854209,9294542.06218109
auto,5,464669.616355291,4348265.77136342
auto,6,264922.350010615,1338833.69996549
bike,2,385000.0,4161000.0
bike,5,341000.0,3003000.0
bike,1,341000.0,3003000.0
bike,6,192000.0,1043000.0
bike,4,481000.0,6769000.0
bike,3,385000.0,4161000.0
bus,6,264922.350010615,1338833.69996549
bus,4,678481.312854209,9294542.06218109
bus,2,535952.690189199,5949589.59104888
bus,1,472609.260602248,4422806.34801608
bus,5,464669.616355291,4348265.77136342
bus,3,582430.848589635,6539707.28149337
