SubnetworkID,Dedicated,Length,MFD,MicrotypeID,ModesAllowed,Type,a,avgLinkLength,capacityFlow,criticalDensity,densityMax,smoothingFactor,vMax,waveSpeed
30,False,3614127.636992936,modified-quadratic,1,Auto-Bus-Bike,Road,-100.0,50.0,,0.118,0.15,,,
31,True,722825.5273985872,fixed,1,Walk,Sidewalk,,,,,,,1.35,
32,True,0.0,bottleneck,1,Bus,Road,,50.0,0.4,,,,17.0,
33,True,0.0,fixed,1,Bike,Road,,,,,0.15,,5.0,
34,True,1022314.3872373349,fixed,1,Rail,Rail,,,,,,,20.0,
35,False,12939891.624970766,modified-quadratic,2,Auto-Bus-Bike,Road,-182.0,50.0,,0.085,0.15,,,
36,True,2587978.3249941533,fixed,2,Walk,Sidewalk,,,,,,,1.35,
37,True,0.0,bottleneck,2,Bus,Road,,50.0,0.4,,,,17.0,
38,True,0.0,fixed,2,Bike,Road,,,,,0.15,,5.0,
39,True,3122343.424577225,fixed,2,Rail,Rail,,,,,,,20.0,
40,False,10402717.797840817,bottleneck,3,Auto-Bus-Bike,Road,,50.0,0.344,,,,14.8,
41,True,2080543.5595681637,fixed,3,Walk,Sidewalk,,,,,,,1.35,
42,True,0.0,bottleneck,3,Bus,Road,,50.0,0.4,,,,17.0,
43,True,0.0,fixed,3,Bike,Road,,,,,0.15,,5.0,
44,True,1157195.940133032,fixed,3,Rail,Rail,,,,,,,20.0,
45,False,1242163.5115622997,bottleneck,4,Auto-Bus-Bike,Road,,50.0,0.305,,,,14.5,
46,True,248432.70231245997,fixed,4,Walk,Sidewalk,,,,,,,1.35,
47,True,0.0,bottleneck,4,Bus,Road,,50.0,0.4,,,,17.0,
48,True,0.0,fixed,4,Bike,Road,,,,,0.15,,5.0,
49,True,154764.66375761887,fixed,4,Rail,Rail,,,,,,,20.0,
50,False,22058147.045023337,bottleneck,5,Auto-Bus-Bike,Road,,50.0,0.292,,,,15.5,
51,True,4411629.409004668,fixed,5,Walk,Sidewalk,,,,,,,1.35,
52,True,0.0,bottleneck,5,Bus,Road,,50.0,0.4,,,,17.0,
53,True,0.0,fixed,5,Bike,Road,,,,,0.15,,5.0,
54,True,1559028.272904587,fixed,5,Rail,Rail,,,,,,,20.0,
55,False,21084934.342514936,bottleneck,6,Auto-Bus-Bike,Road,,50.0,0.325,,,,19.4,
56,True,4216986.868502988,fixed,6,Walk,Sidewalk,,,,,,,1.35,
57,True,0.0,bottleneck,6,Bus,Road,,50.0,0.4,,,,17.0,
58,True,0.0,fixed,6,Bike,Road,,,,,0.15,,5.0,
59,True,445124.8041902049,fixed,6,Rail,Rail,,,,,,,20.0,
