MicrotypeID,ActivityID,DensityKmSq,TripPurposeID
1,pharm,0.69998,medical
1,childcare,1.42617,other
1,parks,0.39304,leisure
1,schools,0.66255,school
1,urgentcare,0.04866,medical
1,hosp,0.17219,medical
1,banks,1.8192,other
1,creditunion,0.89089,other
1,snap,2.30208,other
2,creditunion,0.1256,other
2,pharm,0.24336,medical
2,urgentcare,0.02052,medical
2,childcare,0.45224,other
2,hosp,0.03345,medical
2,snap,0.80657,other
2,banks,0.31281,other
2,schools,0.28337,school
2,parks,0.1313,leisure
3,schools,0.0254,school
3,childcare,0.03682,other
3,snap,0.08307,other
3,banks,0.02836,other
3,pharm,0.02327,medical
3,creditunion,0.01341,other
3,parks,0.01082,leisure
3,hosp,0.00296,medical
3,urgentcare,0.00199,medical
4,schools,0.01884,school
4,snap,0.05097,other
4,pharm,0.01756,medical
4,urgentcare,0.00166,medical
4,creditunion,0.00763,other
4,parks,0.00817,leisure
4,banks,0.02417,other
4,childcare,0.02607,other
4,hosp,0.00156,medical
5,schools,0.01292,school
5,pharm,0.00904,medical
5,banks,0.01067,other
5,hosp,0.00106,medical
5,urgentcare,0.00053,medical
5,parks,0.00434,leisure
5,childcare,0.01417,other
5,snap,0.03217,other
5,creditunion,0.00321,other
6,snap,0.00552,other
6,banks,0.00179,other
6,schools,0.00353,school
6,childcare,0.00191,other
6,parks,0.0011,leisure
6,urgentcare,4e-05,medical
6,pharm,0.00093,medical
6,hosp,0.00016,medical
6,creditunion,0.00035,other
