Mode,MicrotypeID,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile,CostPerMeter
auto,1,535872.773980551,5953383.77128554,0.04561325096772855
auto,2,532729.340430835,5914794.21882682,0.045345683309199254
auto,3,513308.661681844,4928226.90468457,0.043692603815794144
auto,4,471403.334707969,4424585.53162321,0.04012564111689528
auto,5,463115.603646004,4334584.78705145,0.03942019315380065
auto,6,460791.899472257,4327070.5501616,0.03922240049330671
bike,4,341000.0,3003000.0,0.029025767561312893
bike,6,341000.0,3003000.0,0.029025767561312893
bike,5,341000.0,3003000.0,0.029025767561312893
bike,3,341000.0,3003000.0,0.029025767561312893
bike,1,385000.0,4161000.0,0.03277102789180488
bike,2,385000.0,4161000.0,0.03277102789180488
bus,6,460791.899472257,4327070.5501616,0.03922240049330671
bus,4,471403.334707969,4424585.53162321,0.04012564111689528
bus,2,532729.340430835,5914794.21882682,0.045345683309199254
bus,1,535872.773980551,5953383.77128554,0.04561325096772855
bus,5,463115.603646004,4334584.78705145,0.03942019315380065
bus,3,513308.661681844,4928226.90468457,0.043692603815794144
