HomeMicrotypeID,TimePeriodID,PopulationGroupTypeID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
1,11,HighIncVeh,other,1,1,1.0
1,12,HighIncVeh,leisure,5,2,0.156832545917743
1,18,HighIncVeh,home,1,1,0.889199331219787
1,18,HighIncVehSenior,leisure,2,2,1.0
1,7,HighIncVeh,leisure,1,2,0.614144521004806
1,10,HighIncVeh,work,1,1,0.675547083102955
1,12,HighIncVeh,home,2,1,0.408680135377283
1,6,HighIncVeh,work,1,5,0.431552725361556
1,17,HighIncVeh,home,2,1,0.121391362556395
1,17,LowIncVeh,leisure,1,1,0.360330478583412
1,12,HighIncVeh,work,1,2,0.106942752394339
1,10,HighIncVeh,other,2,2,0.310927571825886
1,17,HighIncVeh,home,1,1,0.588863012865122
1,11,HighIncVehSenior,work,1,2,1.0
1,6,HighIncVeh,other,1,5,1.0
1,7,HighIncVeh,other,1,2,0.707769414023418
1,19,HighIncVeh,home,2,1,1.0
1,12,HighIncVehSenior,home,2,1,1.0
1,9,HighIncVehSenior,work,1,2,1.0
1,17,HighIncVeh,leisure,2,2,0.311909581645034
1,7,HighIncVeh,work,2,1,0.574870914086826
1,16,HighIncVeh,leisure,1,2,0.343070987285083
1,15,HighIncVeh,other,1,2,1.0
1,17,HighIncVeh,leisure,5,2,0.222823533930337
1,21,LowIncVehSenior,home,5,1,1.0
1,10,LowIncVehSenior,home,1,1,1.0
1,20,LowIncNoVeh,home,1,1,1.0
1,21,HighIncVeh,home,1,1,0.274616084552749
1,16,LowIncVeh,work,6,2,1.0
1,16,LowIncVeh,home,5,1,0.399813226393689
1,14,HighIncVeh,leisure,2,6,1.0
1,10,HighIncVeh,work,5,5,0.324452916897045
1,17,LowIncVeh,other,2,2,1.0
1,20,LowIncVeh,leisure,1,2,1.0
1,16,HighIncVeh,leisure,1,1,0.256697693678395
1,15,HighIncVeh,leisure,1,1,0.768073810537085
1,10,HighIncVeh,school,1,2,1.0
1,19,LowIncVehSenior,home,2,1,1.0
1,7,LowIncVeh,other,1,5,1.0
1,14,LowIncVehSenior,home,1,1,0.375713974074417
1,15,HighIncVeh,leisure,1,2,0.231926189462915
1,6,HighIncVeh,work,1,1,0.322288520291859
1,15,HighIncVeh,home,2,1,0.824179924346452
1,7,HighIncVeh,other,2,2,0.292230585976582
1,9,HighIncVeh,work,6,2,1.0
1,19,HighIncVehSenior,home,2,1,1.0
1,17,HighIncVeh,other,2,5,1.0
1,17,LowIncVehSenior,home,1,1,1.0
1,7,LowIncNoVehSenior,home,2,1,1.0
1,9,LowIncVeh,home,1,1,1.0
1,15,LowIncVehSenior,leisure,1,2,1.0
1,13,LowIncVeh,medical,1,1,1.0
1,14,LowIncVehSenior,home,2,1,0.624286025925584
1,10,LowIncVehSenior,other,1,1,0.5
1,12,LowIncVeh,home,2,1,1.0
1,14,LowIncVeh,leisure,1,1,0.817743798014833
1,14,LowIncVeh,home,1,1,1.0
1,21,HighIncVeh,home,2,1,0.725383915447251
1,12,HighIncVeh,work,1,5,0.267487026622378
1,7,HighIncVeh,school,1,2,0.5
1,12,HighIncVeh,other,5,2,0.16800079881742
1,15,HighIncVehSenior,work,1,2,1.0
1,13,LowIncVeh,home,1,1,1.0
1,16,LowIncVeh,home,2,1,0.519750272064117
1,16,HighIncVeh,home,1,1,0.73813414324786
1,7,HighIncVeh,school,2,2,0.282455888079614
1,10,LowIncVeh,medical,1,2,1.0
1,7,LowIncVeh,work,1,1,0.786676497131212
1,15,LowIncVehSenior,home,1,1,0.283388036558102
1,14,HighIncVehSenior,leisure,1,1,1.0
1,18,LowIncVeh,home,2,1,0.720043116916401
1,12,HighIncVeh,work,1,1,0.358083194360904
1,9,HighIncVeh,other,2,5,1.0
1,16,HighIncVeh,home,2,1,0.261865856752141
1,8,HighIncVeh,work,1,1,0.185990888366149
1,6,HighIncVeh,work,2,1,0.246158754346585
1,17,HighIncVeh,leisure,1,2,0.2982924585767
1,11,LowIncVeh,leisure,1,1,1.0
1,17,HighIncVehSenior,other,2,2,1.0
1,18,HighIncVeh,leisure,2,2,0.154254488008613
1,6,HighIncVeh,leisure,5,2,1.0
1,12,HighIncVeh,work,2,1,0.267487026622378
1,15,LowIncVeh,home,2,1,0.490320152796015
1,15,LowIncVehSenior,home,2,1,0.716611963441898
1,10,HighIncVeh,leisure,1,1,0.518471574081626
1,19,LowIncVeh,leisure,1,2,0.842625682046093
1,20,HighIncVeh,leisure,1,2,1.0
1,6,LowIncVeh,work,1,2,1.0
1,17,LowIncVeh,leisure,1,2,0.639669521416588
1,6,LowIncNoVehSenior,leisure,1,2,1.0
1,10,LowIncVeh,leisure,1,2,1.0
1,8,HighIncVehSenior,leisure,5,2,1.0
1,21,HighIncVeh,leisure,1,1,1.0
1,7,HighIncVeh,school,1,1,0.217544111920386
1,11,HighIncVeh,leisure,5,1,0.332580918316791
1,7,HighIncVeh,home,2,1,1.0
1,7,LowIncVeh,work,1,2,0.213323502868788
1,11,HighIncVeh,leisure,1,2,0.332580918316791
1,10,HighIncVeh,other,1,2,0.378144856348228
1,15,HighIncVeh,home,1,1,0.175820075653548
1,13,LowIncVeh,work,5,6,1.0
1,18,LowIncVehSenior,leisure,1,2,1.0
1,8,LowIncVeh,leisure,5,5,1.0
1,13,LowIncVeh,leisure,1,2,0.456628955798242
1,19,LowIncVeh,leisure,1,1,0.157374317953907
1,7,HighIncVeh,work,1,1,0.23200172923984
1,8,LowIncVeh,work,2,6,0.486137218242405
1,11,HighIncVeh,work,2,5,1.0
1,20,LowIncVeh,home,2,1,1.0
1,20,LowIncVeh,work,1,2,1.0
1,18,LowIncVehSenior,home,2,1,1.0
1,18,HighIncVeh,home,2,1,0.110800668780213
1,10,LowIncVeh,work,6,5,0.424685230768302
1,17,HighIncVeh,leisure,5,1,0.166974425847929
1,10,LowIncNoVehSenior,leisure,1,2,0.5
1,12,LowIncNoVehSenior,home,2,1,1.0
1,11,HighIncVeh,home,1,1,0.88778241765391
1,10,LowIncNoVehSenior,leisure,1,1,0.5
1,13,HighIncVeh,leisure,1,2,1.0
1,12,HighIncVeh,other,5,5,0.696398408433377
1,12,HighIncVeh,home,5,1,0.591319864622717
1,10,HighIncVeh,other,5,2,0.310927571825886
1,11,HighIncVeh,home,2,1,0.11221758234609
1,16,HighIncVeh,leisure,2,2,0.245799871720806
1,11,HighIncVeh,leisure,2,2,0.334838163366419
1,8,LowIncVeh,work,1,1,0.273255006179242
1,15,LowIncVeh,home,1,1,0.509679847203985
1,11,LowIncVeh,home,2,1,1.0
1,10,LowIncVehSenior,other,1,2,0.5
1,15,LowIncVeh,leisure,1,1,0.13042548485934
1,14,HighIncVeh,other,2,2,1.0
1,8,HighIncVeh,work,1,2,0.103329865242824
1,17,LowIncVehSenior,other,2,2,1.0
1,14,LowIncVeh,other,1,1,1.0
1,15,LowIncVeh,leisure,1,2,0.427865873975865
1,19,HighIncVeh,leisure,1,1,1.0
1,14,LowIncNoVeh,leisure,1,2,1.0
1,14,HighIncVeh,home,2,1,1.0
1,15,LowIncNoVeh,home,2,1,1.0
1,17,LowIncVehSenior,leisure,1,2,1.0
1,12,HighIncVeh,other,1,1,0.0678003963746011
1,12,LowIncNoVeh,leisure,1,1,1.0
1,14,LowIncVeh,leisure,2,2,0.114268577277641
1,10,HighIncVeh,leisure,2,2,0.481528425918374
1,11,LowIncVehSenior,other,1,5,1.0
1,5,LowIncNoVeh,home,1,1,1.0
1,12,LowIncNoVeh,home,1,1,1.0
1,9,HighIncVeh,medical,1,1,1.0
1,14,LowIncVehSenior,other,5,1,1.0
1,12,HighIncVeh,other,1,2,0.0678003963746011
1,10,HighIncVehSenior,home,2,1,1.0
1,19,LowIncVehSenior,leisure,2,2,1.0
1,8,HighIncVeh,work,1,5,0.644823895730205
1,12,HighIncVeh,leisure,1,1,0.190599399306713
1,10,HighIncVeh,medical,2,1,1.0
1,13,LowIncVehSenior,leisure,2,2,0.5
1,13,HighIncVeh,home,2,1,1.0
1,10,LowIncVehSenior,work,1,1,1.0
1,18,LowIncVeh,home,5,1,0.279956883083599
1,15,LowIncVeh,leisure,2,2,0.30239447459536
1,20,LowIncNoVeh,leisure,1,1,1.0
1,13,LowIncVehSenior,leisure,5,2,0.5
1,20,HighIncVeh,work,1,1,1.0
1,8,LowIncVeh,work,1,2,0.240607775578354
1,17,LowIncVeh,home,2,1,1.0
1,7,HighIncVeh,work,1,2,0.193127356673334
1,13,LowIncVehSenior,other,2,5,0.5
1,18,HighIncVeh,leisure,1,1,0.845745511991387
1,10,LowIncVeh,home,2,1,1.0
1,17,HighIncVeh,home,5,1,0.145826083435193
1,13,LowIncVehSenior,other,2,2,0.5
1,7,LowIncVeh,leisure,1,5,1.0
1,23,LowIncVeh,home,2,1,0.879909423444841
1,11,LowIncVeh,work,1,2,1.0
1,23,LowIncVeh,home,1,1,0.120090576555159
1,10,LowIncVeh,work,1,1,0.575314769231698
2,20,LowIncVehSenior,leisure,2,5,0.12058483812117
2,18,HighIncVeh,school,2,2,0.538790422043551
2,13,LowIncVehSenior,leisure,6,6,0.0170995474683763
2,17,HighIncVeh,home,3,2,0.0815391683263725
2,16,HighIncNoVeh,home,2,2,1.0
2,12,LowIncVehSenior,leisure,2,6,0.0066236391430245
2,17,HighIncVehSenior,home,6,2,0.0051066679082415
2,17,LowIncVehSenior,school,5,2,1.0
2,11,HighIncVehSenior,other,3,5,0.137277973949305
2,15,HighIncNoVeh,leisure,2,2,1.0
2,6,HighIncVehSenior,leisure,2,6,0.109940763344692
2,7,HighIncVehSenior,other,2,2,0.677141773005819
2,11,LowIncVeh,other,6,5,0.139186914236778
2,12,LowIncNoVeh,home,5,2,0.333887747031137
2,19,LowIncNoVeh,other,2,2,1.0
2,11,LowIncNoVeh,other,2,5,0.618323486018622
2,6,HighIncVehSenior,school,2,2,0.741072585990244
2,8,HighIncVehSenior,leisure,6,5,0.0410763960162802
2,8,HighIncVeh,leisure,2,3,0.313341850158672
2,9,LowIncVeh,home,5,2,0.0606383300765711
2,22,HighIncVeh,work,2,5,0.11217516309894
2,15,HighIncVeh,home,6,2,0.0156102393711191
2,16,LowIncVehSenior,school,2,5,1.0
2,7,LowIncVehSenior,school,2,5,0.0185912601436448
2,22,LowIncVeh,leisure,5,5,0.0583518485895512
2,20,LowIncVeh,leisure,5,5,0.0774110334475952
2,16,HighIncVehSenior,home,6,2,0.0440211377529604
2,15,HighIncVehSenior,leisure,3,5,0.0176420768207954
2,19,LowIncVeh,leisure,4,2,0.0352053962777542
2,19,LowIncVeh,leisure,5,3,0.0422940416299129
2,14,LowIncVeh,medical,2,2,0.79427496529433
2,19,LowIncVeh,leisure,5,5,0.0203931811858458
2,9,LowIncNoVehSenior,medical,2,2,1.0
2,19,LowIncNoVeh,medical,2,2,1.0
2,13,LowIncVeh,leisure,5,6,0.009996267686153
2,14,LowIncVeh,leisure,6,5,0.0085658339341004
2,17,HighIncVeh,leisure,6,2,0.0035829150308408
2,19,HighIncNoVeh,leisure,2,2,1.0
2,16,HighIncVeh,leisure,3,3,0.0398386860304567
2,20,HighIncNoVeh,leisure,2,2,1.0
2,17,LowIncVehSenior,other,2,5,0.218184279214311
2,13,HighIncNoVeh,home,2,2,1.0
2,13,LowIncVehSenior,leisure,6,2,0.0085497737341881
2,20,HighIncVehSenior,home,1,2,0.0223767233391175
2,10,LowIncVehSenior,leisure,5,2,0.0440594315175594
2,17,HighIncVehSenior,work,5,2,0.131246023869838
2,6,HighIncVehSenior,school,2,5,0.258927414009756
2,11,LowIncVeh,other,2,5,0.0796332581337145
2,17,HighIncVehSenior,leisure,5,2,0.0355146528213319
2,14,LowIncVeh,leisure,5,1,0.0017048427170928
2,9,LowIncVehSenior,leisure,2,5,0.102162685187596
2,17,HighIncVehSenior,work,2,5,0.271649135919719
2,7,HighIncVehSenior,home,5,2,0.0756580572780104
2,15,LowIncVeh,leisure,1,2,0.0106237069571267
2,7,LowIncNoVeh,school,2,2,0.739933371235712
2,10,LowIncVeh,leisure,6,6,0.0247462456553991
2,8,LowIncNoVehSenior,leisure,2,2,1.0
2,11,HighIncVehSenior,home,5,2,0.193180644761574
2,7,LowIncNoVeh,other,2,2,1.0
2,21,HighIncNoVeh,home,2,2,1.0
2,8,HighIncVeh,home,1,2,0.0114336198170076
2,10,LowIncNoVehSenior,medical,2,2,1.0
2,11,HighIncVeh,leisure,5,3,0.029845444905364
2,13,LowIncVehSenior,other,4,5,0.0541894040504644
2,14,HighIncVeh,work,6,5,0.0120145955607936
2,7,HighIncVeh,work,5,6,0.0024588672971152
2,18,LowIncVehSenior,other,2,4,0.0907196970275077
2,10,LowIncVehSenior,school,2,5,0.242918141140175
2,10,LowIncVeh,leisure,2,3,0.0348348562051369
2,15,LowIncVehSenior,school,5,2,0.101782380413864
2,7,LowIncVeh,school,2,5,0.189234538011751
2,23,LowIncVeh,other,2,5,1.0
2,14,HighIncVeh,other,5,2,0.0125416692555493
2,13,LowIncVehSenior,other,2,4,0.0541894040504644
