MicrotypeID,Population,PopulationGroupTypeID
1,101,HighIncVehSenior
1,3984,LowIncVeh
1,290,LowIncVehSenior
1,1976,HighIncVeh
1,761,LowIncNoVeh
1,687,LowIncNoVehSenior
2,24842,LowIncVehSenior
2,160860,LowIncVeh
2,26008,HighIncVehSenior
2,246643,HighIncVeh
2,3701,LowIncNoVehSenior
2,14170,LowIncNoVeh
2,1729,HighIncNoVehSenior
2,1292,HighIncNoVeh
3,13714,LowIncVehSenior
3,2219,HighIncNoVeh
3,76528,HighIncVeh
3,16769,HighIncVehSenior
3,76794,LowIncVeh
3,4072,LowIncNoVeh
3,2380,LowIncNoVehSenior
4,5788,LowIncVeh
4,40113,HighIncVeh
4,6273,HighIncVehSenior
4,1161,LowIncVehSenior
5,139,HighIncNoVeh
5,225681,HighIncVeh
5,834,HighIncNoVehSenior
5,2071,LowIncNoVehSenior
5,3214,LowIncNoVeh
5,27828,LowIncVehSenior
5,133295,LowIncVeh
5,46051,HighIncVehSenior
6,739,LowIncNoVeh
6,7143,LowIncVehSenior
6,8114,HighIncVehSenior
6,38534,HighIncVeh
6,12255,LowIncVeh
6,58,LowIncNoVehSenior
