MicrotypeID,ActivityID,DensityKmSq,TripPurposeID
1,pharm,0.44378,medical
1,creditunion,0.35502,other
1,hosp,0.02959,medical
1,schools,0.56212,school
1,parks,0.71005,leisure
1,snap,2.21889,other
1,urgentcare,0.02959,medical
1,childcare,1.03548,other
1,banks,1.30175,other
2,creditunion,0.08728,other
2,hosp,0.03223,medical
2,urgentcare,0.01847,medical
2,snap,0.71348,other
2,banks,0.26982,other
2,schools,0.23396,school
2,parks,0.11336,leisure
2,pharm,0.27018,medical
2,childcare,0.33935,other
3,schools,0.02743,school
3,urgentcare,0.0018,medical
3,pharm,0.02605,medical
3,snap,0.08373,other
3,creditunion,0.01216,other
3,childcare,0.03498,other
3,banks,0.0315,other
3,parks,0.01294,leisure
3,hosp,0.00335,medical
4,parks,0.00543,leisure
4,snap,0.01769,other
4,banks,0.01031,other
4,childcare,0.01024,other
4,hosp,0.00086,medical
4,urgentcare,0.00046,medical
4,creditunion,0.00339,other
4,pharm,0.00688,medical
4,schools,0.00886,school
5,pharm,0.00658,medical
5,banks,0.00793,other
5,hosp,0.00113,medical
5,snap,0.02,other
5,childcare,0.00824,other
5,creditunion,0.00209,other
5,parks,0.00286,leisure
5,schools,0.00894,school
5,urgentcare,0.00038,medical
6,pharm,0.0006,medical
6,hosp,0.00016,medical
6,schools,0.00231,school
6,snap,0.00293,other
6,urgentcare,1e-05,medical
6,childcare,0.00095,other
6,creditunion,0.00019,other
6,banks,0.00135,other
6,parks,0.00069,leisure
