TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,Portion
home,4,4,long,0.0293687458290212
home,2,5,long,0.360607587422189
home,2,5,xlong,0.0066705016767281
home,2,5,medium,0.499819464237262
home,2,5,short,0.132902446663821
home,5,2,xlong,0.16142075843298
home,5,6,long,0.547886184818085
home,5,6,xlong,0.331338928890286
home,5,6,medium,0.120774886291629
home,4,5,xlong,0.865869826007945
home,5,5,medium,0.390451091982141
home,3,3,medium,1.0
home,5,5,xlong,0.0816112504943554
home,5,5,short,0.255056224244582
home,6,6,xlong,0.198594678508317
home,4,2,long,0.611485065454562
home,4,2,xlong,0.388514934545439
home,2,6,long,0.746074584716483
home,2,6,xlong,0.253925415283517
home,5,4,xlong,0.338454912806559
home,5,4,long,0.661545087193441
home,6,6,long,0.0986444556160135
home,6,6,short,0.584358146412326
home,5,5,long,0.272881433278922
home,4,4,medium,0.869630053929726
home,6,6,medium,0.118402719463344
home,6,2,long,0.453087914471717
home,2,2,medium,0.232743247702392
home,2,2,long,0.0489214407413094
home,4,6,xlong,0.344459735288907
home,6,5,long,0.359513683650026
home,6,5,xlong,0.640486316349974
home,4,6,long,0.587445941770533
home,4,6,short,0.06809432294056
home,4,4,short,0.101001200241253
home,2,2,xlong,0.110323703845915
home,6,4,xlong,0.279031017431654
home,4,5,long,0.134130173992055
home,6,4,long,0.720968982568346
home,6,3,long,0.714489071607567
home,6,3,xlong,0.285510928392433
home,5,2,long,0.33150514309478
home,5,2,short,0.233073249330124
home,5,2,medium,0.274000849142115
home,6,2,xlong,0.546912085528283
home,2,4,xlong,1.0
home,1,6,xlong,1.0
home,2,2,short,0.608011607710384
leisure,6,6,short,0.756677178591812
leisure,6,5,short,0.0749985420068268
leisure,5,2,long,0.427667144976057
leisure,5,2,short,0.191240553285632
leisure,5,2,medium,0.375584802746946
leisure,1,1,short,1.0
leisure,5,5,short,0.289158487355833
leisure,5,4,xlong,0.557692688117757
leisure,6,5,xlong,0.2890088552367
leisure,6,5,medium,0.027359818962692
leisure,6,5,long,0.608632783793781
leisure,6,4,short,0.129960746847739
leisure,6,4,xlong,0.0379759823245368
leisure,6,4,long,0.832063270827724
leisure,6,2,short,0.0371783626306292
leisure,6,2,long,0.723756613699725
leisure,6,2,xlong,0.239065023669646
leisure,5,6,long,0.520176092839796
leisure,5,6,medium,0.0214927844842065
leisure,5,6,xlong,0.366611602882281
leisure,5,6,short,0.0917195197937167
leisure,5,5,medium,0.236947821227003
leisure,5,5,long,0.303580414414522
leisure,5,5,xlong,0.170313277002643
leisure,5,4,long,0.442307311882244
leisure,5,2,xlong,0.0055074989913645
leisure,6,6,medium,0.0730424711642619
leisure,4,6,long,1.0
leisure,2,6,long,0.316703101532018
leisure,2,5,medium,0.28597185067313
leisure,2,5,short,0.410213168966171
leisure,2,4,long,0.574876755399791
leisure,4,5,long,0.159485685220051
leisure,2,4,short,0.425123244600209
leisure,2,6,xlong,0.683296898467982
leisure,2,5,xlong,0.0670060385643946
leisure,2,2,xlong,0.0096930358880608
leisure,3,3,medium,1.0
leisure,4,2,medium,0.0503400654468772
leisure,4,2,xlong,0.949659934553123
leisure,6,6,long,0.0099702738230419
leisure,2,5,long,0.236808941796304
leisure,4,4,long,0.236142112533782
leisure,4,4,short,0.661689301175098
leisure,4,4,medium,0.0077522840968371
leisure,1,3,long,1.0
leisure,2,2,short,0.839030002220337
leisure,4,5,xlong,0.840514314779949
