Mode,MicrotypeID,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile,CostPerMeter
auto,1,649567.993856707,8968989.02329202,0.05529093725792698
auto,2,469221.4923136,4387631.16664089,0.03993992366764492
auto,3,680887.678366242,8273369.94606658,0.05795685480240619
auto,4,403008.071113168,2016670.24252729,0.03430386685473276
auto,5,264891.322849964,1342588.96718776,0.022547430985488993
auto,6,392765.335450202,1969462.04857035,0.03343200977395498
bike,2,341000.0,3003000.0,0.029025767561312893
bike,6,285000.0,1546000.0,0.024259072595232183
bike,4,285000.0,1546000.0,0.024259072595232183
bike,5,192000.0,1043000.0,0.016342954169419575
bike,1,481000.0,6769000.0,0.040942504976514665
bike,3,453000.0,5743000.0,0.038559157493474314
bus,6,392765.335450202,1969462.04857035,0.03343200977395498
bus,4,403008.071113168,2016670.24252729,0.03430386685473276
bus,2,469221.4923136,4387631.16664089,0.03993992366764492
bus,1,649567.993856707,8968989.02329202,0.05529093725792698
bus,5,264891.322849964,1342588.96718776,0.022547430985488993
bus,3,680887.678366242,8273369.94606658,0.05795685480240619
