HomeMicrotypeID,TimePeriodID,PopulationGroupTypeID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
2,11,HighIncVehSenior,leisure,2,5,0.353173618372723
2,10,HighIncVehSenior,leisure,5,5,0.130118735645659
2,10,HighIncVehSenior,leisure,2,5,0.347011152969189
2,14,LowIncVehSenior,work,5,2,1.0
2,19,LowIncVehSenior,home,5,2,1.0
2,11,HighIncVehSenior,other,2,5,1.0
2,14,HighIncVeh,home,5,2,0.600294904913919
2,13,LowIncVehSenior,work,2,2,1.0
2,18,LowIncVehSenior,leisure,2,5,0.354484154986207
2,10,LowIncVehSenior,leisure,2,5,1.0
2,12,LowIncVehSenior,home,2,2,0.66655699189411
2,16,LowIncVeh,other,2,5,1.0
2,17,HighIncVeh,home,2,2,0.67750225326637
2,8,LowIncNoVeh,medical,2,5,0.467164782568864
2,13,LowIncVeh,home,5,5,0.854529523472937
2,17,LowIncVeh,work,2,5,1.0
2,16,HighIncVeh,leisure,2,6,1.0
2,10,HighIncVeh,home,5,2,1.0
2,10,HighIncVehSenior,school,2,5,1.0
2,19,HighIncVeh,other,2,2,1.0
2,12,HighIncVehSenior,leisure,5,5,0.659527640473659
2,12,LowIncVeh,home,2,2,1.0
2,10,HighIncVeh,school,2,5,1.0
2,8,LowIncVeh,other,2,5,0.745870219641008
2,15,HighIncVehSenior,leisure,5,5,0.490744006885422
2,20,HighIncVeh,leisure,2,5,1.0
2,15,HighIncVeh,work,5,2,0.333333333333333
2,10,HighIncVeh,leisure,5,5,0.115850913691368
2,7,HighIncVehSenior,leisure,2,2,1.0
2,12,HighIncVeh,school,2,2,1.0
2,12,HighIncVeh,other,2,5,0.319446270905548
2,8,LowIncVeh,home,2,2,1.0
2,14,LowIncVehSenior,leisure,2,5,0.486660406997422
2,18,LowIncVehSenior,leisure,2,6,0.645515845013793
2,8,LowIncVeh,leisure,2,5,0.61317190015018
2,17,HighIncVeh,other,2,5,1.0
2,13,HighIncVeh,leisure,2,5,0.52473949220373
2,21,HighIncVeh,home,2,2,0.310584102938075
2,9,HighIncVehSenior,home,2,2,1.0
2,8,HighIncVehSenior,leisure,2,2,0.232217207850277
2,5,LowIncVeh,work,2,5,1.0
2,15,HighIncVeh,work,2,5,0.333333333333333
2,16,LowIncVeh,home,5,2,1.0
2,17,LowIncVeh,home,5,2,0.458969950174208
2,10,HighIncVehSenior,leisure,2,2,0.136319992658733
2,9,LowIncNoVeh,home,5,2,1.0
2,7,LowIncVeh,work,2,5,1.0
2,9,LowIncVehSenior,leisure,2,2,0.557478967748469
2,17,HighIncVeh,leisure,2,2,0.408071128120938
2,8,LowIncVeh,leisure,5,2,0.38682809984982
2,9,LowIncVeh,leisure,5,6,0.0127910284731213
2,13,LowIncVeh,leisure,5,5,0.70245908703052
2,11,LowIncVehSenior,leisure,5,2,0.266163184614014
2,12,HighIncVeh,other,2,2,0.361107458188905
2,17,HighIncVehSenior,home,2,2,0.327841780244925
2,15,HighIncVehSenior,work,5,5,1.0
2,15,HighIncVehSenior,leisure,2,5,0.236717921466049
2,10,HighIncVeh,leisure,2,5,0.680308672050438
2,6,HighIncVehSenior,work,2,5,0.363907554524087
2,11,HighIncVehSenior,leisure,5,5,0.113899240840839
2,13,LowIncVehSenior,home,2,2,1.0
2,22,LowIncVehSenior,home,6,2,1.0
2,9,LowIncNoVeh,leisure,2,2,1.0
2,12,HighIncVehSenior,home,5,2,0.778330406015198
2,13,LowIncVeh,other,2,5,1.0
2,9,HighIncVehSenior,leisure,2,5,0.205207889745882
2,11,HighIncVehSenior,home,5,2,0.743388669866114
2,12,HighIncVeh,home,5,2,0.713290572507906
2,12,HighIncVeh,leisure,2,5,0.162105914072636
2,19,HighIncVeh,home,2,2,0.071188493693106
2,14,HighIncVehSenior,home,5,2,0.747899814087656
2,17,LowIncVeh,leisure,5,2,1.0
2,18,HighIncVehSenior,home,5,2,0.079605973905999
2,6,HighIncVehSenior,other,2,5,1.0
2,13,LowIncVeh,leisure,6,5,0.0220670312345888
2,23,HighIncVeh,home,5,2,1.0
2,17,HighIncVehSenior,home,5,2,0.582039420524374
2,16,HighIncVeh,work,5,5,0.696293707413321
2,17,HighIncVeh,home,5,2,0.193112859978217
2,8,LowIncVeh,work,5,2,1.0
2,16,HighIncVehSenior,leisure,5,5,0.727719215587235
2,17,HighIncVehSenior,leisure,5,2,0.242924344946494
2,15,LowIncVehSenior,home,2,2,0.789909471709721
2,7,HighIncVeh,work,2,2,0.683398414698435
2,9,HighIncVehSenior,leisure,2,2,0.402867839875033
2,12,HighIncVeh,leisure,2,2,0.0871779112094963
2,21,HighIncVeh,home,5,2,0.689415897061925
2,13,HighIncVeh,work,5,5,0.281771666503595
2,13,HighIncVeh,work,2,2,0.0634695259039877
2,15,HighIncVeh,work,5,5,0.333333333333333
2,10,LowIncNoVeh,home,2,2,1.0
2,8,LowIncNoVeh,medical,2,2,0.532835217431136
2,23,LowIncVeh,home,5,2,1.0
2,10,LowIncVeh,home,2,2,1.0
2,20,HighIncVeh,home,6,2,1.0
2,14,LowIncVeh,home,5,2,1.0
2,12,HighIncVeh,home,2,2,0.233897181871641
2,13,LowIncVeh,work,2,5,1.0
2,13,HighIncVeh,work,2,5,0.654758807592417
2,11,LowIncNoVeh,home,2,2,1.0
2,22,HighIncVeh,home,5,2,0.406806794646185
2,12,HighIncVeh,leisure,5,5,0.136730965311617
2,11,HighIncVehSenior,home,6,2,0.256611330133886
2,7,HighIncVehSenior,home,2,2,1.0
2,5,HighIncVeh,work,2,5,0.424592668061503
2,9,LowIncVeh,leisure,5,5,0.0132474503387523
2,9,HighIncVeh,work,2,5,0.60822792900215
2,11,LowIncVeh,home,5,2,1.0
2,15,HighIncVeh,home,5,2,0.540997767223053
2,16,HighIncVeh,home,2,2,0.296770125199693
2,21,HighIncVehSenior,home,5,2,1.0
2,13,HighIncVehSenior,home,5,2,1.0
2,7,LowIncVeh,school,2,5,1.0
2,13,LowIncVeh,leisure,2,6,0.0460962606514331
2,14,HighIncVehSenior,leisure,2,2,0.0868488236261579
2,16,HighIncVehSenior,leisure,5,2,0.136140392206382
2,9,LowIncVeh,medical,2,2,1.0
2,8,LowIncVeh,other,2,2,0.254129780358992
2,15,LowIncVeh,leisure,2,5,1.0
2,12,HighIncVehSenior,home,2,2,0.107865014196492
2,9,HighIncVeh,school,2,2,0.562641058711238
2,9,HighIncVehSenior,leisure,5,5,0.391924270379085
2,19,LowIncVeh,school,2,4,1.0
2,18,HighIncVeh,home,6,2,0.490159571692835
2,20,LowIncVeh,home,4,2,1.0
2,9,LowIncVehSenior,medical,2,2,1.0
2,18,HighIncVehSenior,home,6,2,0.151315676816337
2,14,HighIncVeh,leisure,2,6,0.557354246305956
2,11,LowIncVeh,leisure,2,2,0.482176221518223
