SubnetworkID,Dedicated,Length,MFD,MicrotypeID,ModesAllowed,Type,a,avgLinkLength,b,capacityFlow,k_jam,smoothingFactor,vMax,waveSpeed
90,False,0.0,modified-quadratic,1,Auto-Bike,Road,-80.4,50.0,0.13,,0.5,,11.6,
91,True,0.0,fixed,1,Walk,Sidewalk,,,,,,,1.35,
93,True,0.0,fixed,1,Bike,Road,,,,,0.15,,5.0,
94,True,,fixed,1,Rail,Rail,,,,,,,20.0,
95,False,80978.13925872,modified-quadratic,2,Auto-Bike,Road,-148.79,50.0,0.1,,0.5,,,
96,True,16195.627851744,fixed,2,Walk,Sidewalk,,,,,,,1.35,
98,True,0.0,fixed,2,Bike,Road,,,,,0.15,,5.0,
99,True,,fixed,2,Rail,Rail,,,,,,,20.0,
100,False,0.0,rural,3,Auto-Bike,Road,-302.29,50.0,0.07,,0.5,,,
101,True,0.0,fixed,3,Walk,Sidewalk,,,,,,,1.35,
103,True,0.0,fixed,3,Bike,Road,,,,,0.15,,5.0,
104,True,,fixed,3,Rail,Rail,,,,,,,20.0,
105,False,210523.5107438,rural,4,Auto-Bike,Road,-195.76,50.0,0.09,,0.5,,,
106,True,42104.70214876,fixed,4,Walk,Sidewalk,,,,,,,1.35,
108,True,0.0,fixed,4,Bike,Road,,,,,0.15,,5.0,
109,True,,fixed,4,Rail,Rail,,,,,,,20.0,
110,False,3559281.094830905,rural,5,Auto-Bike,Road,-147.41,50.0,0.11,,0.5,,,
111,True,711856.218966181,fixed,5,Walk,Sidewalk,,,,,,,1.35,
113,True,0.0,fixed,5,Bike,Road,,,,,0.15,,5.0,
114,True,,fixed,5,Rail,Rail,,,,,,,20.0,
115,False,6428750.014906599,rural,6,Auto-Bike,Road,-226.65,50.0,0.1,,,,,
116,True,1285750.0029813198,fixed,6,Walk,Sidewalk,,,,,,,1.35,
118,True,0.0,fixed,6,Bike,Road,,,,,0.15,,5.0,
119,True,,fixed,6,Rail,Rail,,,,,,,20.0,
