MicrotypeID,ActivityID,DensityKmSq,TripPurposeID
1,pharm,0.61368,medical
1,hosp,0.05939,medical
1,creditunion,0.37613,other
1,snap,2.29635,other
1,childcare,0.95022,other
1,banks,0.98981,other
1,urgentcare,0.0198,medical
1,parks,0.63348,leisure
1,schools,0.63348,school
2,schools,0.30632,school
2,urgentcare,0.02194,medical
2,parks,0.10445,leisure
2,pharm,0.24488,medical
2,snap,0.88911,other
2,hosp,0.01755,medical
2,creditunion,0.19573,other
2,childcare,0.44236,other
2,banks,0.24137,other
3,urgentcare,0.00272,medical
3,childcare,0.04012,other
3,creditunion,0.01498,other
3,hosp,0.00335,medical
3,snap,0.08998,other
3,banks,0.02598,other
3,schools,0.03373,school
3,parks,0.01613,leisure
3,pharm,0.02734,medical
4,schools,0.0238,school
4,pharm,0.0227,medical
4,snap,0.06256,other
4,urgentcare,0.00295,medical
4,creditunion,0.00793,other
4,childcare,0.03949,other
4,parks,0.01033,leisure
4,hosp,0.00258,medical
4,banks,0.02159,other
5,creditunion,0.00191,other
5,parks,0.00261,leisure
5,snap,0.01893,other
5,childcare,0.00794,other
5,pharm,0.00542,medical
5,hosp,0.00128,medical
5,urgentcare,0.00034,medical
5,schools,0.009,school
5,banks,0.00682,other
6,urgentcare,1e-05,medical
6,pharm,0.00034,medical
6,schools,0.00158,school
6,hosp,0.0001,medical
6,childcare,0.00052,other
6,snap,0.00171,other
6,creditunion,0.00013,other
6,banks,0.00086,other
6,parks,0.00054,leisure
