TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,Portion
home,5,5,short,0.340260491931698
home,2,5,xlong,0.412211753019968
home,2,5,medium,0.135733130662613
home,3,5,xlong,0.194648567434545
home,2,5,short,0.0079453230448711
home,5,2,xlong,0.521024870737855
home,5,2,medium,0.184816340761715
home,5,2,long,0.29415878850043
home,3,6,xlong,1.0
home,5,6,xlong,1.0
home,3,3,xlong,0.390425618386099
home,3,3,short,0.12876673422119
home,3,3,medium,0.223308036760485
home,3,3,long,0.257499610632226
home,3,5,medium,0.225871626886937
home,3,5,long,0.579479805678518
home,2,3,xlong,1.0
home,6,5,short,0.291106328591938
home,2,5,long,0.444109793272548
home,6,5,xlong,0.366190490396216
home,5,5,xlong,0.190350595284389
home,2,1,long,1.0
home,2,2,long,0.26823542991131
home,2,2,short,0.50017575030053
home,2,2,medium,0.23158881978816
home,6,5,long,0.342703181011845
home,5,3,xlong,0.205681945596783
home,5,3,long,0.502642031486724
home,5,3,medium,0.291676022916493
home,5,5,medium,0.301131446399686
home,6,6,short,1.0
home,5,5,long,0.168257466384226
leisure,5,2,medium,0.297817687908643
leisure,5,3,xlong,0.130420448314031
leisure,3,5,long,0.665293240530153
leisure,3,5,short,0.0414061529521802
leisure,5,5,long,0.0576844767071508
leisure,5,3,medium,0.178340671730072
leisure,5,5,medium,0.164671960605703
leisure,5,5,short,0.673420106849764
leisure,3,5,medium,0.0805962542377621
leisure,3,5,xlong,0.212704352279905
leisure,6,6,short,1.0
leisure,5,5,xlong,0.104223455837382
leisure,5,2,short,0.0072780506307487
leisure,5,2,xlong,0.301539868720178
leisure,5,2,long,0.39336439274043
leisure,5,3,long,0.691238879955898
leisure,1,1,medium,1.0
leisure,2,2,long,0.0773340643621156
leisure,2,5,medium,0.307889305758209
leisure,2,5,xlong,0.380003813443306
leisure,2,5,short,0.0321737496555107
leisure,6,3,xlong,1.0
leisure,5,6,xlong,0.366190490396216
leisure,5,6,medium,0.291106328591938
leisure,2,2,medium,0.325726863009643
leisure,5,6,long,0.342703181011845
leisure,3,2,xlong,1.0
leisure,3,3,medium,0.424153062441458
leisure,3,3,short,0.290508134419309
leisure,3,3,long,0.121999930976796
leisure,2,5,long,0.279933131142974
leisure,2,2,short,0.596939072628241
leisure,2,1,xlong,1.0
leisure,1,3,xlong,1.0
leisure,1,2,xlong,1.0
leisure,3,3,xlong,0.163338872162438
medical,3,3,long,0.186636285653749
medical,5,2,short,0.138055037323547
medical,5,2,xlong,0.578251334867907
medical,5,2,long,0.283693627808546
medical,3,3,short,0.433318468930606
medical,2,2,medium,0.426235891148148
medical,3,3,xlong,0.380045245415645
medical,5,5,medium,0.811414672220036
medical,5,5,short,0.110471142121442
medical,5,5,long,0.0781141856585223
medical,5,3,medium,0.774067858205244
medical,2,2,short,0.573764108851852
medical,5,3,long,0.225932141794756
other,2,2,short,0.301785155236147
other,5,3,medium,0.149731126035187
other,5,3,long,0.0574302716121814
other,2,2,long,0.0671274642611193
other,2,2,medium,0.631087380502734
other,5,3,xlong,0.792838602352632
other,3,3,long,0.361405121686366
other,2,5,long,0.52105599526827
other,5,2,long,0.699483978698065
other,3,3,xlong,0.249379838913856
other,3,3,short,0.389215039399778
other,5,5,long,0.252001018756301
other,5,5,medium,0.223564941301117
other,5,2,medium,0.100325208337488
other,5,5,short,0.409817921734474
other,5,5,xlong,0.114616118208108
other,3,5,medium,0.332053995750298
other,3,5,long,0.141813501468585
other,2,5,short,0.0909679963150516
other,2,5,xlong,0.387976008416678
other,5,2,xlong,0.200190812964447
other,3,5,xlong,0.526132502781117
school,5,5,medium,0.367536583290103
school,5,5,short,0.406724572599705
school,5,5,xlong,0.0695162466939331
school,5,5,long,0.156222597416259
school,3,5,long,1.0
school,3,3,short,0.295141267596686
school,3,3,medium,0.170765065706607
school,3,3,long,0.476486471992352
school,3,3,xlong,0.0576071947043546
school,2,5,medium,0.204593416058956
school,2,5,xlong,0.795406583941044
school,5,2,xlong,0.158464029499249
school,2,2,medium,1.0
school,5,2,long,0.841535970500751
work,2,2,short,0.362829291751949
work,2,2,long,0.244368518376795
work,5,5,long,0.163850922768004
work,2,5,long,0.426877193431198
work,2,5,xlong,0.573122806568802
work,3,2,xlong,1.0
work,2,2,medium,0.392802189871256
work,6,5,xlong,1.0
work,5,5,xlong,0.363779605230015
work,5,3,medium,0.493562399815389
work,5,5,short,0.344447678695264
work,5,3,long,0.506437600184611
work,3,3,xlong,0.248398609023897
work,3,3,long,0.520953198081195
work,3,3,short,0.170076353054615
work,3,3,medium,0.0605718398402938
work,3,5,medium,0.369327648534008
work,3,5,xlong,0.326589042747108
work,3,5,long,0.304083308718884
work,5,2,xlong,0.69244517973555
work,5,2,long,0.20789658864009
work,5,2,medium,0.09965823162436
work,5,5,medium,0.127921793306718
work,6,6,long,1.0
