Mode,MicrotypeID,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile,CostPerMeter
auto,1,637390.072337514,7831155.53862925,0.05425435802216156
auto,2,536206.983083343,5955848.48099308,0.04564169869715527
auto,3,580862.768404934,6530659.5088861,0.04944277918106257
auto,4,478105.416057934,4495720.12077636,0.04069611928534423
auto,5,265182.846041235,1344342.96768209,0.02257224530920912
auto,6,260610.406411581,1320991.61516873,0.0221830412919702
bike,2,385000.0,4161000.0,0.03277102789180488
bike,4,341000.0,3003000.0,0.029025767561312893
bike,5,192000.0,1043000.0,0.016342954169419575
bike,6,192000.0,1043000.0,0.016342954169419575
bike,1,453000.0,5743000.0,0.038559157493474314
bike,3,385000.0,4161000.0,0.03277102789180488
bus,6,260610.406411581,1320991.61516873,0.0221830412919702
bus,4,478105.416057934,4495720.12077636,0.04069611928534423
bus,2,536206.983083343,5955848.48099308,0.04564169869715527
bus,1,637390.072337514,7831155.53862925,0.05425435802216156
bus,5,265182.846041235,1344342.96768209,0.02257224530920912
bus,3,580862.768404934,6530659.5088861,0.04944277918106257
