FromMicrotypeID,ToMicrotypeID,DistanceBinID,ThroughMicrotypeID,Portion
2,5,medium,5,0.456008850206286
2,2,medium,2,1.0
2,5,long,2,0.405789868918577
2,5,long,5,0.594210131081423
2,5,medium,2,0.543991149793714
2,5,xlong,2,0.335017947789758
2,5,xlong,5,0.664982052210242
2,2,xlong,2,0.502718935740558
2,2,xlong,5,0.497281064259442
2,2,short,2,1.0
2,2,long,2,0.674736872001172
2,2,long,5,0.325263127998828
2,3,xlong,2,0.158136912181618
2,3,xlong,5,0.741275739126943
2,3,xlong,3,0.100587348691439
3,2,xlong,2,0.1775943780846
3,5,long,5,0.697439867293058
3,2,xlong,3,0.141230986146645
3,2,xlong,5,0.681174635768755
3,5,xlong,5,0.782199205483644
3,5,xlong,2,0.117807711019152
3,3,long,3,1.0
3,5,medium,3,0.6450446627105
3,3,short,3,1.0
3,3,medium,3,1.0
3,5,long,3,0.302560132706942
3,5,xlong,3,0.099993083497204
3,5,medium,5,0.3549553372895
5,5,medium,5,1.0
5,6,long,5,0.678451978861022
5,6,long,6,0.321548021138978
5,5,long,5,1.0
5,3,medium,3,0.6450446627105
5,2,xlong,3,0.04381745655431
5,2,xlong,5,0.719433850995379
5,2,medium,2,0.543148487563094
5,2,xlong,2,0.221871301815915
5,5,short,5,1.0
5,5,xlong,5,0.642303760378054
5,5,xlong,3,0.268396599785972
5,3,medium,5,0.3549553372895
5,3,xlong,5,0.290345349314376
5,5,xlong,2,0.0054895147087914
5,2,long,5,0.50251368279417
5,2,long,2,0.49748631720583
5,3,long,5,0.371488726392777
5,3,long,3,0.628511273607223
5,2,medium,5,0.456851512436906
5,3,xlong,3,0.588791610447433
6,5,long,5,0.678451978861022
6,6,xlong,6,1.0
6,5,long,6,0.321548021138978
