ModesAllowed,SubnetworkID,Mode
Auto-Bus-Bike,120,auto
Auto-Bus-Bike,140,auto
Auto-Bus-Bike,135,bike
Auto-Bus-Bike,135,bus
Auto-Bus-Bike,135,auto
Auto-Bus-Bike,130,bike
Auto-Bus-Bike,140,bus
Auto-Bus-Bike,130,auto
Auto-Bus-Bike,145,auto
Auto-Bus-Bike,145,bus
Auto-Bus-Bike,130,bus
Auto-Bus-Bike,140,bike
Auto-Bus-Bike,120,bus
Auto-Bus-Bike,125,bus
Auto-Bus-Bike,125,auto
Auto-Bus-Bike,145,bike
Auto-Bus-Bike,120,bike
Auto-Bus-Bike,125,bike
Bike,138,bike
Bike,143,bike
Bike,148,bike
Bike,123,bike
Bike,128,bike
Bike,133,bike
Bus,122,bus
Bus,147,bus
Bus,132,bus
Bus,137,bus
Bus,142,bus
Bus,127,bus
Rail,144,rail
Rail,134,rail
Rail,139,rail
Rail,129,rail
Rail,124,rail
Rail,149,rail
Walk,136,walk
Walk,131,walk
Walk,126,walk
Walk,146,walk
Walk,121,walk
Walk,141,walk
