HomeMicrotypeID,TimePeriodID,PopulationGroupTypeID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
2,15,LowIncVehSenior,leisure,2,2,0.378939267081624
2,7,HighIncVeh,home,2,5,1.0
2,13,LowIncVehSenior,medical,5,2,1.0
2,17,HighIncVeh,home,5,2,0.20206069210524
2,12,HighIncVeh,home,5,5,1.0
2,15,LowIncVeh,leisure,2,2,0.0510553613576187
2,9,LowIncVeh,home,2,2,1.0
2,21,LowIncVehSenior,home,2,2,1.0
2,10,HighIncVeh,leisure,2,5,1.0
2,8,HighIncVeh,leisure,2,2,0.0833194224598887
2,16,LowIncVeh,home,5,2,0.897847909551419
2,18,LowIncVehSenior,leisure,2,2,1.0
2,3,LowIncVeh,home,5,2,1.0
2,15,LowIncVehSenior,home,2,2,1.0
2,13,HighIncVeh,home,5,2,0.491244172685588
2,16,LowIncVeh,work,2,5,1.0
2,7,LowIncVeh,work,2,5,0.838006330971475
2,14,HighIncVeh,leisure,2,2,1.0
2,9,HighIncVeh,home,2,2,1.0
2,9,HighIncVeh,other,2,2,1.0
2,11,HighIncVeh,other,5,2,1.0
2,8,LowIncVeh,leisure,2,5,0.0905774304559132
2,15,HighIncVeh,home,2,2,1.0
2,13,HighIncVeh,home,2,5,0.254377913657206
2,13,HighIncVeh,leisure,2,5,1.0
2,13,HighIncVeh,home,2,2,0.254377913657206
2,8,LowIncVeh,leisure,5,2,0.0905774304559132
2,9,HighIncVeh,leisure,2,2,0.0993255083433422
2,15,LowIncVeh,home,2,2,0.311777780710988
2,17,HighIncVeh,other,5,2,0.118528274362365
2,12,LowIncVehSenior,leisure,2,5,1.0
2,11,HighIncVehSenior,leisure,2,5,0.10809897589235
2,19,LowIncVeh,leisure,2,2,0.451612309129116
2,15,HighIncVeh,leisure,5,5,1.0
2,17,HighIncVeh,other,2,5,0.703399242074926
2,18,HighIncVeh,other,5,5,1.0
2,18,HighIncVeh,home,5,2,1.0
2,8,HighIncVeh,other,5,5,0.747934404738829
2,14,HighIncVeh,work,5,5,1.0
2,8,HighIncVeh,leisure,2,5,0.581359152070983
2,14,HighIncVehSenior,home,2,2,1.0
2,14,HighIncVehSenior,leisure,2,2,0.137910659096926
2,11,HighIncVehSenior,home,5,2,1.0
2,10,HighIncVehSenior,leisure,2,5,0.199201946566446
2,21,LowIncVeh,home,2,2,0.139127385219524
2,8,HighIncVeh,school,5,5,0.840145827443791
2,20,HighIncVeh,home,5,2,0.789318580281469
2,5,HighIncVeh,work,2,5,1.0
2,12,HighIncVehSenior,home,5,2,0.500036214901189
2,11,LowIncVehSenior,leisure,2,2,0.349960742486137
2,12,HighIncVeh,leisure,5,5,1.0
2,17,HighIncVeh,home,2,2,0.438033653406225
2,16,HighIncVehSenior,home,2,2,1.0
2,8,HighIncVeh,school,2,2,0.159854172556209
2,8,HighIncVeh,other,2,5,0.126032797630585
2,8,HighIncVeh,other,2,2,0.126032797630585
2,6,LowIncVeh,work,2,2,1.0
2,16,HighIncVehSenior,leisure,2,2,0.197430808854582
2,8,LowIncVeh,leisure,5,5,0.0905774304559132
2,12,LowIncVehSenior,home,2,2,1.0
2,16,LowIncVehSenior,home,2,2,0.349960742486137
3,15,HighIncVeh,other,3,3,0.258782955647872
3,16,HighIncVeh,medical,3,3,1.0
3,8,HighIncVeh,home,3,3,0.281107414722265
3,15,LowIncVeh,other,3,3,1.0
3,20,HighIncVeh,home,5,3,0.268998438828909
3,7,HighIncVeh,leisure,3,3,1.0
3,4,HighIncVeh,work,3,3,1.0
3,18,HighIncVeh,leisure,3,5,0.439285784120137
3,7,HighIncVeh,work,3,3,0.361048400326054
3,6,HighIncVeh,home,3,3,1.0
3,10,HighIncVehSenior,leisure,3,5,0.0998298534942406
3,10,HighIncVehSenior,work,3,3,0.603708852308298
3,9,HighIncVehSenior,home,3,3,0.379042220722973
3,10,HighIncVehSenior,home,3,3,0.235092164226829
3,9,HighIncVeh,leisure,3,3,0.767419621731829
3,13,HighIncVehSenior,leisure,3,3,1.0
3,11,HighIncVeh,work,3,3,0.336920093605438
3,10,HighIncVehSenior,other,3,3,1.0
3,9,HighIncVehSenior,leisure,3,3,0.192247314627672
3,8,HighIncVeh,leisure,3,5,0.200367390432409
3,17,HighIncVehSenior,home,5,3,0.0931929745950228
3,16,HighIncVeh,work,3,3,1.0
3,13,HighIncVeh,home,3,3,0.970015340834692
3,12,HighIncVeh,home,3,3,1.0
3,14,HighIncVeh,work,3,3,0.722435370719821
3,8,HighIncVeh,leisure,3,3,0.417013696998657
3,11,HighIncVeh,home,3,3,0.319301223097149
3,8,HighIncVeh,other,3,3,1.0
3,23,LowIncVeh,home,3,3,1.0
3,12,HighIncVeh,leisure,3,5,0.0165151291492549
3,16,LowIncVeh,other,3,3,1.0
3,9,HighIncVeh,home,3,3,1.0
3,11,HighIncVehSenior,home,5,3,0.126903282603828
3,20,LowIncVehSenior,leisure,3,3,1.0
3,8,HighIncVehSenior,leisure,3,3,0.491930744858238
3,20,LowIncVehSenior,home,3,3,1.0
3,10,HighIncVeh,other,3,3,1.0
3,15,LowIncVehSenior,other,3,3,1.0
3,22,LowIncVeh,home,3,3,1.0
3,14,HighIncVeh,other,3,5,0.380520590865162
3,8,HighIncVeh,home,5,3,0.718892585277735
3,13,HighIncVeh,leisure,3,3,0.0095425893726519
3,6,HighIncVeh,leisure,3,5,0.850882186411441
3,15,LowIncVehSenior,home,3,3,1.0
3,13,LowIncNoVehSenior,leisure,3,3,1.0
3,9,HighIncVeh,work,3,3,0.805743109471565
3,8,HighIncVehSenior,home,3,3,0.31501037092041
3,7,HighIncVeh,other,3,3,1.0
3,14,HighIncVeh,leisure,3,5,0.138292945731753
3,16,LowIncVeh,leisure,3,3,0.401073669033814
3,14,HighIncVeh,other,3,3,0.380520590865162
3,16,HighIncVeh,other,3,3,1.0
3,18,HighIncVehSenior,leisure,3,5,0.260671234676917
3,17,HighIncVehSenior,home,3,3,0.112273617172013
3,15,HighIncVeh,work,3,3,0.130565915135081
3,7,HighIncVeh,school,3,5,0.312424990397858
3,6,HighIncVehSenior,work,3,3,1.0
3,15,HighIncVehSenior,leisure,3,3,0.347092364633702
3,7,HighIncVeh,home,3,3,0.754726880359983
3,6,HighIncVeh,leisure,3,3,0.149117813588559
3,16,HighIncVehSenior,home,3,3,0.850612086616319
3,15,HighIncVeh,home,5,3,0.277913370807767
3,20,LowIncVeh,work,3,3,1.0
3,19,LowIncVehSenior,home,3,3,1.0
3,8,LowIncVeh,work,3,3,1.0
3,20,HighIncVehSenior,home,3,3,0.653719253558833
3,11,HighIncVehSenior,leisure,3,3,1.0
3,12,LowIncVeh,work,5,3,1.0
3,12,HighIncVehSenior,home,3,3,0.369921590519874
3,13,HighIncVehSenior,home,3,3,0.330566279588102
3,14,HighIncVeh,home,3,3,1.0
3,14,HighIncVeh,leisure,3,3,0.0713900261237035
3,16,HighIncVehSenior,leisure,3,5,0.10998302974497
3,12,HighIncVeh,leisure,3,3,0.751393248103484
3,16,HighIncVehSenior,leisure,3,3,0.592823355424355
3,18,HighIncVeh,home,3,3,1.0
3,14,HighIncVeh,other,5,3,0.238958818269677
3,17,HighIncVeh,home,3,3,0.89127804324946
3,8,HighIncVehSenior,leisure,3,5,0.508069255141762
3,10,HighIncVeh,work,3,3,1.0
3,10,HighIncVeh,school,3,3,1.0
3,16,HighIncVeh,leisure,3,3,0.913934308298266
3,6,HighIncVeh,work,3,3,0.639151273020562
3,21,HighIncVeh,home,3,3,1.0
3,21,HighIncVehSenior,home,5,3,1.0
3,8,HighIncVeh,work,3,5,0.102091794824503
3,16,HighIncVeh,home,3,3,0.545629750186656
3,15,HighIncVeh,home,3,3,0.458299974091197
3,20,HighIncVeh,home,3,3,0.521699551511431
3,7,HighIncVeh,school,3,3,0.687575009602142
3,11,HighIncVeh,leisure,3,3,1.0
3,20,HighIncVeh,work,3,3,0.376520345241283
3,10,HighIncVeh,leisure,3,3,0.008902896112868
3,11,HighIncVeh,home,5,3,0.680698776902851
3,12,HighIncVehSenior,leisure,5,3,0.209305686096209
3,10,HighIncVehSenior,home,5,3,0.23413794057189
3,9,HighIncVehSenior,home,5,3,0.220032863053777
3,16,LowIncVeh,home,3,3,0.394738414744008
3,18,LowIncVeh,home,3,3,1.0
3,17,LowIncVehSenior,home,2,3,1.0
3,8,LowIncVeh,other,3,3,1.0
3,15,LowIncVehSenior,leisure,3,3,1.0
3,13,LowIncVehSenior,leisure,5,5,1.0
3,20,LowIncVeh,home,3,3,1.0
3,16,HighIncVehSenior,home,5,3,0.149387913383681
3,14,HighIncVehSenior,leisure,3,3,0.882286380952955
3,9,HighIncVehSenior,leisure,3,5,0.382924062099974
3,8,HighIncVeh,school,3,3,1.0
3,9,LowIncVeh,work,3,3,1.0
3,12,HighIncVehSenior,leisure,3,5,0.209305686096209
3,12,LowIncVeh,leisure,3,3,1.0
3,16,LowIncVehSenior,home,3,3,1.0
3,13,LowIncVeh,home,3,3,0.29509225835545
3,14,LowIncVehSenior,home,5,3,1.0
3,16,HighIncVeh,school,3,3,1.0
3,17,LowIncVeh,leisure,3,3,1.0
3,12,LowIncVehSenior,leisure,3,5,0.255029520503489
3,10,HighIncVehSenior,leisure,3,3,0.673934173492826
3,11,HighIncVehSenior,home,3,3,0.729320855755885
3,17,HighIncVehSenior,leisure,3,3,0.425461317727165
3,15,HighIncVeh,leisure,3,3,0.671103527623818
3,19,LowIncVeh,home,3,3,1.0
3,11,LowIncVeh,work,3,5,1.0
3,14,HighIncVehSenior,home,3,3,1.0
3,8,HighIncVehSenior,medical,3,3,1.0
3,17,HighIncVeh,leisure,3,3,0.727177119266167
3,8,HighIncVeh,work,3,3,0.158142883467601
3,16,LowIncVehSenior,leisure,3,3,0.478708997153318
3,15,LowIncVeh,leisure,3,3,1.0
5,7,HighIncVehSenior,other,5,5,0.415954451264184
5,12,HighIncVeh,medical,5,2,1.0
5,14,HighIncVeh,other,2,5,0.432549892481381
5,12,HighIncVehSenior,home,5,5,0.432766286171753
5,17,HighIncVehSenior,home,5,5,0.430232659621123
5,10,HighIncVehSenior,leisure,5,5,0.402665151417554
5,7,HighIncVeh,leisure,5,5,0.477606669100108
5,12,HighIncVeh,work,5,2,0.247034962239333
5,14,HighIncVehSenior,leisure,5,5,0.21941560006636
5,14,HighIncVeh,leisure,5,5,0.11427576079393
5,12,HighIncVehSenior,medical,2,2,0.32110220182582
5,14,HighIncVehSenior,work,5,5,0.551230916886023
5,18,LowIncVeh,home,2,5,0.12012675345324
5,12,HighIncVeh,leisure,2,5,0.0803163710832796
5,13,HighIncVeh,other,5,5,0.167462188906456
5,13,LowIncVeh,work,5,2,1.0
5,10,HighIncVehSenior,home,2,5,0.38100080792771
5,11,HighIncVehSenior,other,5,5,1.0
5,7,HighIncVeh,work,5,5,0.232406855054186
5,20,HighIncVeh,home,5,5,0.720386141004754
5,9,HighIncVeh,leisure,5,2,0.188302854606156
5,15,HighIncVeh,home,5,5,0.175473820152215
5,10,HighIncVeh,leisure,2,2,0.270627069299668
5,13,HighIncVehSenior,other,5,2,0.500058028592628
5,10,HighIncVeh,home,2,5,0.819690466801756
5,8,HighIncVehSenior,medical,5,2,0.598647733443234
5,12,HighIncVeh,work,2,2,0.230650528518089
5,13,HighIncVeh,leisure,5,5,0.111995968007422
5,14,HighIncVehSenior,home,5,5,0.479909859149504
