PopulationGroupTypeID,TripPurposeID,Mode,Intercept,BetaWaitAccessTime,BetaTravelTime,BetaMonetaryCost,BikeShare_Bike,Intercept_Pooled,BetaWaitAccessTime_Pooled,BetaTravelTime_Pooled,BetaMonetaryCost_Pooled,BikeShare_Bike_Pooled,Intercept_Pooled_EW,BetaWaitAccessTime_Pooled_EW,BetaTravelTime_Pooled_EW,BetaMonetaryCost_Pooled_EW,BikeShare_Bike_Pooled_EW,BetaTravelTimeMixed,BetaWaitTime,BetaAccessTime,BetaWaitTime_Pooled,BetaAccessTime_Pooled,BetaWaitTime_Pooled_EW,BetaAccessTime_Pooled_EW
LowIncNoVeh,work,auto,-3.281,-0.091,-0.027,-0.026,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,work,auto,0.0,-0.091,-0.027,-0.026,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,work,auto,-3.281,-0.127,-0.067,-0.015,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,work,auto,0.0,-0.127,-0.067,-0.015,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,work,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,work,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,work,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,work,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,work,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,work,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,work,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,work,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,work,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,work,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,work,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,work,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,work,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,work,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,work,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
