SubnetworkID,Dedicated,Length,MFD,MicrotypeID,ModesAllowed,Type,a,avgLinkLength,capacityFlow,criticalDensity,densityMax,smoothingFactor,vMax,waveSpeed
120,False,0.0,modified-quadratic,1,Auto-Bus-Bike,Road,-100.0,50.0,,0.118,0.15,,,
121,True,0.0,fixed,1,Walk,Sidewalk,,,,,,,1.35,
122,True,0.0,bottleneck,1,Bus,Road,,50.0,0.4,,,,17.0,
123,True,0.0,fixed,1,Bike,Road,,,,,0.15,,5.0,
124,True,,fixed,1,Rail,Rail,,,,,,,20.0,
125,False,126672.72372518,modified-quadratic,2,Auto-Bus-Bike,Road,-182.0,50.0,,0.085,0.15,,,
126,True,25334.544745036,fixed,2,Walk,Sidewalk,,,,,,,1.35,
127,True,0.0,bottleneck,2,Bus,Road,,50.0,0.4,,,,17.0,
128,True,0.0,fixed,2,Bike,Road,,,,,0.15,,5.0,
129,True,,fixed,2,Rail,Rail,,,,,,,20.0,
130,False,415240.54047034,bottleneck,3,Auto-Bus-Bike,Road,,50.0,0.344,,,,14.8,
131,True,83048.108094068,fixed,3,Walk,Sidewalk,,,,,,,1.35,
132,True,0.0,bottleneck,3,Bus,Road,,50.0,0.4,,,,17.0,
133,True,0.0,fixed,3,Bike,Road,,,,,0.15,,5.0,
134,True,,fixed,3,Rail,Rail,,,,,,,20.0,
135,False,0.0,bottleneck,4,Auto-Bus-Bike,Road,,50.0,0.305,,,,14.5,
136,True,0.0,fixed,4,Walk,Sidewalk,,,,,,,1.35,
137,True,0.0,bottleneck,4,Bus,Road,,50.0,0.4,,,,17.0,
138,True,0.0,fixed,4,Bike,Road,,,,,0.15,,5.0,
139,True,,fixed,4,Rail,Rail,,,,,,,20.0,
140,False,1118664.1505028706,bottleneck,5,Auto-Bus-Bike,Road,,50.0,0.292,,,,15.5,
141,True,223732.8301005741,fixed,5,Walk,Sidewalk,,,,,,,1.35,
142,True,0.0,bottleneck,5,Bus,Road,,50.0,0.4,,,,17.0,
143,True,0.0,fixed,5,Bike,Road,,,,,0.15,,5.0,
144,True,,fixed,5,Rail,Rail,,,,,,,20.0,
145,False,578010.5061197999,bottleneck,6,Auto-Bus-Bike,Road,,50.0,0.325,,,,19.4,
146,True,115602.10122395998,fixed,6,Walk,Sidewalk,,,,,,,1.35,
147,True,0.0,bottleneck,6,Bus,Road,,50.0,0.4,,,,17.0,
148,True,0.0,fixed,6,Bike,Road,,,,,0.15,,5.0,
149,True,,fixed,6,Rail,Rail,,,,,,,20.0,
