MicrotypeID,ActivityID,DensityKmSq,TripPurposeID
1,pharm,0.72642,medical
1,schools,0.56132,school
1,snap,2.64151,other
1,parks,0.62736,leisure
1,urgentcare,0.04953,medical
1,creditunion,0.47877,other
1,banks,0.97406,other
1,childcare,0.99057,other
1,hosp,0.09906,medical
2,pharm,0.30403,medical
2,schools,0.34721,school
2,snap,1.02111,other
2,urgentcare,0.03346,medical
2,creditunion,0.06692,other
2,childcare,0.49976,other
2,parks,0.25726,leisure
2,banks,0.3123,other
2,hosp,0.02663,medical
3,hosp,0.00233,medical
3,schools,0.02919,school
3,parks,0.01621,leisure
3,snap,0.10662,other
3,creditunion,0.01178,other
3,pharm,0.03228,medical
3,urgentcare,0.00308,medical
3,childcare,0.05489,other
3,banks,0.03089,other
4,snap,0.08625,other
4,creditunion,0.01555,other
4,childcare,0.05564,other
4,banks,0.04361,other
4,pharm,0.03755,medical
4,urgentcare,0.00225,medical
4,hosp,0.00293,medical
4,schools,0.02474,school
4,parks,0.01692,leisure
5,pharm,0.00162,medical
5,parks,0.00087,leisure
5,schools,0.00204,school
5,hosp,0.00014,medical
5,creditunion,0.00037,other
5,snap,0.0052,other
5,banks,0.0015,other
5,urgentcare,0.00012,medical
5,childcare,0.00248,other
6,snap,0.00081,other
6,childcare,0.00028,other
6,schools,0.00086,school
6,hosp,9e-05,medical
6,parks,0.0002,leisure
6,urgentcare,1e-05,medical
6,pharm,0.00019,medical
6,banks,0.00045,other
6,creditunion,4e-05,other
