Mode,MicrotypeID,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile,CostPerMeter
auto,1,532206.539819095,5912792.86850707,0.045301182754837736
auto,2,525588.536719055,5833396.77106041,0.04473786128943653
auto,3,581528.156954439,6529773.17347647,0.049499416756944956
auto,4,536421.17435357,5962257.30816434,0.04565993056232616
auto,5,529603.486745363,5882348.93465735,0.0450796120408556
auto,6,516746.471707388,5753369.06175813,0.043985228668349544
bike,5,385000.0,4161000.0,0.03277102789180488
bike,2,385000.0,4161000.0,0.03277102789180488
bike,6,385000.0,4161000.0,0.03277102789180488
bike,4,385000.0,4161000.0,0.03277102789180488
bike,3,385000.0,4161000.0,0.03277102789180488
bike,1,385000.0,4161000.0,0.03277102789180488
bus,6,516746.471707388,5753369.06175813,0.043985228668349544
bus,4,536421.17435357,5962257.30816434,0.04565993056232616
bus,2,525588.536719055,5833396.77106041,0.04473786128943653
bus,1,532206.539819095,5912792.86850707,0.045301182754837736
bus,5,529603.486745363,5882348.93465735,0.0450796120408556
bus,3,581528.156954439,6529773.17347647,0.049499416756944956
