HomeMicrotypeID,TimePeriodID,PopulationGroupTypeID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
1,5,LowIncVeh,leisure,1,1,0.5
1,18,HighIncVeh,leisure,3,3,0.192456256710625
1,18,HighIncVeh,leisure,1,3,0.192456256710625
1,17,LowIncNoVehSenior,home,2,1,1.0
1,15,HighIncVeh,home,2,1,1.0
1,20,HighIncVeh,leisure,2,5,1.0
1,21,HighIncVeh,home,5,1,0.556843023243359
1,5,LowIncVeh,leisure,1,3,0.5
1,7,LowIncVeh,medical,3,3,1.0
1,10,LowIncNoVeh,leisure,3,3,1.0
1,7,LowIncVeh,home,3,1,1.0
1,15,LowIncVehSenior,leisure,3,3,1.0
1,12,LowIncNoVeh,home,3,1,1.0
1,17,LowIncVehSenior,other,3,2,1.0
1,13,HighIncVeh,school,1,2,1.0
1,10,HighIncVeh,leisure,1,3,0.217432753617675
1,16,HighIncVeh,home,2,1,1.0
1,19,HighIncVeh,leisure,1,2,1.0
1,20,HighIncVeh,home,2,1,1.0
1,14,LowIncVehSenior,leisure,1,4,0.447823951472578
1,4,LowIncNoVeh,medical,1,3,1.0
1,7,LowIncNoVeh,leisure,1,3,1.0
1,6,LowIncNoVeh,home,3,1,1.0
1,17,LowIncVehSenior,leisure,2,2,1.0
1,10,LowIncVehSenior,leisure,1,2,0.333333333333333
1,11,HighIncVeh,home,2,1,1.0
1,14,LowIncVeh,leisure,1,4,0.302883914105076
1,19,LowIncVehSenior,home,2,1,1.0
1,14,LowIncVeh,leisure,4,2,0.302883914105076
1,10,HighIncVeh,leisure,2,2,0.391283623191162
1,18,LowIncVehSenior,leisure,2,2,1.0
1,20,LowIncVehSenior,home,2,1,1.0
1,20,LowIncVeh,home,2,1,1.0
1,10,LowIncVehSenior,leisure,2,2,0.666666666666667
1,14,LowIncVehSenior,leisure,4,2,0.447823951472578
1,8,LowIncVehSenior,medical,1,3,1.0
1,11,LowIncVehSenior,leisure,3,2,0.607459742600316
1,11,LowIncVehSenior,home,2,1,0.906596581547856
1,21,HighIncVeh,home,3,1,0.174232001409972
1,7,LowIncNoVeh,home,3,1,1.0
1,17,LowIncNoVehSenior,leisure,1,2,1.0
1,8,HighIncVeh,work,1,2,1.0
1,21,HighIncVeh,home,1,1,0.268924975346669
1,16,HighIncVeh,leisure,1,2,1.0
1,10,HighIncVeh,leisure,1,2,0.391283623191162
1,10,HighIncVeh,home,3,1,1.0
1,17,LowIncVeh,home,3,1,1.0
1,17,LowIncVehSenior,home,5,1,1.0
1,11,LowIncVeh,leisure,1,1,0.404612069974475
1,11,LowIncVeh,leisure,1,3,0.595387930025525
1,13,LowIncVehSenior,home,3,1,0.345040225856824
1,13,LowIncVehSenior,leisure,2,3,0.184604549956153
1,12,LowIncVeh,leisure,3,3,0.848157152753777
1,13,LowIncVeh,other,1,3,1.0
1,11,LowIncVeh,home,1,1,1.0
1,12,LowIncVeh,leisure,1,1,0.0759214236231117
1,16,LowIncVehSenior,other,2,1,1.0
1,11,LowIncVehSenior,leisure,2,2,0.329955842583055
1,17,HighIncVeh,home,2,1,0.702792563886652
1,11,LowIncVehSenior,leisure,2,1,0.0625844148166292
1,9,LowIncVeh,leisure,3,1,0.221705185202288
1,14,LowIncVehSenior,medical,1,2,0.391577724808166
1,14,LowIncVeh,leisure,3,3,0.394232171789848
1,13,LowIncVehSenior,home,1,1,0.654959774143176
1,16,LowIncVehSenior,leisure,3,3,0.341928334182275
1,18,LowIncVehSenior,home,2,1,1.0
1,13,LowIncVehSenior,leisure,1,3,0.464976729893645
1,16,LowIncVehSenior,leisure,1,5,0.257686205661624
1,16,LowIncVeh,home,3,1,1.0
1,13,LowIncVeh,home,3,1,1.0
1,9,LowIncVeh,other,1,3,1.0
1,12,LowIncVeh,leisure,1,2,0.0759214236231117
1,12,LowIncVehSenior,leisure,1,2,1.0
1,9,LowIncVehSenior,school,1,2,1.0
1,13,LowIncVehSenior,leisure,1,1,0.350418720150202
1,11,LowIncVehSenior,home,1,1,0.093403418452144
1,10,LowIncVeh,home,1,1,1.0
2,19,HighIncVeh,other,2,3,0.2157407257736
2,17,HighIncVeh,other,2,2,0.517404548459351
2,15,HighIncVeh,other,5,2,0.0824847641467107
2,13,LowIncVehSenior,leisure,5,5,0.337286319630009
2,12,LowIncVehSenior,leisure,2,5,0.177735095213803
2,13,LowIncVeh,leisure,2,2,0.500118644619755
2,23,LowIncVeh,work,2,5,1.0
2,17,LowIncVehSenior,leisure,5,5,0.107091114245843
2,13,LowIncVehSenior,leisure,2,2,0.119646794373867
2,19,HighIncVeh,home,3,2,0.251946027253402
2,14,HighIncVeh,leisure,5,5,0.011009053486847
2,21,HighIncVeh,home,3,2,0.207233694518053
2,13,LowIncVeh,leisure,5,5,0.140190738214577
2,17,HighIncVeh,leisure,5,2,0.008194718603735
2,15,HighIncVeh,medical,5,5,0.182869987358177
2,15,HighIncVeh,other,2,2,0.434985221197497
2,1,HighIncVeh,home,5,2,0.0809173988946135
2,13,HighIncVeh,leisure,2,5,0.0583956321501559
2,16,HighIncVeh,leisure,5,5,0.0147941884340241
2,11,HighIncVeh,work,2,5,0.0964746829856833
2,18,HighIncVeh,leisure,5,5,0.0050953277098927
2,15,HighIncVeh,leisure,5,5,0.0506943038251209
2,18,LowIncVehSenior,school,2,5,1.0
2,9,HighIncVeh,home,2,2,0.469851627277063
2,20,HighIncVeh,leisure,5,2,0.0320679830349268
2,21,HighIncVeh,home,5,2,0.0920671801781041
2,16,HighIncVeh,work,5,5,0.196154899647697
2,18,HighIncVeh,leisure,2,5,0.0540090884577447
2,15,HighIncVeh,work,2,5,0.226385549663132
2,14,LowIncVehSenior,leisure,2,2,0.354146230037058
2,18,LowIncVehSenior,leisure,5,2,0.072655572628483
2,21,LowIncVehSenior,home,5,2,0.746032073870532
2,15,LowIncVehSenior,home,2,2,0.296598173416542
2,16,HighIncVeh,leisure,3,5,0.0529314316688199
2,12,HighIncVehSenior,home,4,2,0.156192139241226
2,17,HighIncVeh,leisure,2,2,0.168221016422829
2,18,LowIncVeh,leisure,2,5,0.122049331142517
2,10,HighIncVeh,home,3,2,0.415188242050475
2,18,HighIncVeh,leisure,2,4,0.0224248009762927
2,17,LowIncNoVehSenior,home,2,2,1.0
2,16,LowIncNoVehSenior,leisure,2,2,1.0
2,16,LowIncVeh,home,5,2,0.171864775608377
2,15,LowIncVeh,leisure,2,5,0.174156158587323
2,10,LowIncVeh,work,2,5,0.469047438485529
2,21,LowIncVeh,home,5,2,0.135762357892388
2,17,LowIncVehSenior,home,3,2,0.0316843196250526
2,11,LowIncVehSenior,leisure,2,3,0.0426229703150105
2,9,LowIncVeh,school,2,2,0.572602158467451
2,18,LowIncVeh,school,2,2,1.0
2,20,LowIncVeh,leisure,2,2,0.426550139388939
2,7,HighIncVehSenior,work,2,5,0.33751254961573
2,15,HighIncVehSenior,home,5,2,0.0938903121600347
2,18,HighIncVeh,work,3,5,0.141286540836676
2,17,LowIncVehSenior,home,5,2,0.0797336023655389
2,17,LowIncVehSenior,medical,2,5,1.0
2,15,LowIncVeh,leisure,2,2,0.318992545594182
2,15,LowIncVeh,other,5,2,0.0842179813230243
2,16,LowIncVehSenior,home,2,2,0.502281882646277
2,18,HighIncVeh,home,2,2,0.209341067100276
2,9,HighIncVeh,work,2,5,0.0128859815269647
2,12,HighIncVeh,other,2,2,0.11163851714368
2,21,HighIncVeh,leisure,2,2,0.233793932137013
2,18,HighIncVeh,leisure,2,2,0.304535709194606
2,20,LowIncVehSenior,leisure,2,5,1.0
2,9,HighIncVeh,leisure,5,3,0.146659845516673
2,18,LowIncVehSenior,leisure,5,5,0.072655572628483
2,21,HighIncVeh,work,2,3,1.0
2,16,LowIncVeh,school,2,5,0.499469673167214
2,16,LowIncVeh,leisure,5,5,0.158987326266258
2,13,LowIncVehSenior,home,5,2,0.0797054888051187
2,17,LowIncVehSenior,leisure,2,5,0.107091114245843
2,14,LowIncVehSenior,leisure,5,2,0.227723264699323
2,12,LowIncVeh,school,2,5,0.615129870028911
2,19,LowIncVeh,leisure,5,2,0.28309117892788
2,14,LowIncVeh,leisure,5,5,0.103725405383458
2,15,LowIncVeh,leisure,3,2,0.0726783930839032
2,13,LowIncVeh,leisure,2,5,0.087660808293318
2,12,LowIncVehSenior,school,2,5,1.0
2,4,LowIncVeh,work,2,2,0.414249093826376
2,14,LowIncVeh,leisure,5,2,0.10357388360068
2,17,HighIncVeh,leisure,2,3,0.0392002130235868
2,11,HighIncVeh,leisure,3,2,0.0369070671375722
2,8,HighIncVeh,school,2,2,0.370717958795962
2,19,HighIncVeh,home,2,2,0.550607079107465
2,6,LowIncVeh,school,2,2,0.202947059058553
