MicrotypeID,Population,PopulationGroupTypeID
1,1652,LowIncNoVehSenior
1,5244,LowIncNoVeh
1,8361,LowIncVeh
1,7619,LowIncVehSenior
1,4433,HighIncVeh
2,13542,LowIncNoVehSenior
2,726906,HighIncVeh
2,98484,LowIncVehSenior
2,503463,LowIncVeh
2,22832,LowIncNoVeh
2,67826,HighIncVehSenior
3,10923,LowIncNoVehSenior
3,42025,LowIncVehSenior
3,8288,LowIncNoVeh
3,110487,LowIncVeh
3,25254,HighIncVehSenior
3,310958,HighIncVeh
4,1467,LowIncVeh
4,2633,LowIncVehSenior
4,2412,HighIncVehSenior
4,13523,HighIncVeh
5,442528,HighIncVeh
5,40839,LowIncVehSenior
5,3111,LowIncNoVehSenior
5,66476,HighIncVehSenior
5,6554,LowIncNoVeh
5,197339,LowIncVeh
6,5194,LowIncVeh
6,5170,LowIncVehSenior
6,5269,HighIncVehSenior
6,3906,HighIncVeh
