MicrotypeID,ActivityID,DensityKmSq,TripPurposeID
F_2,parks,0.25726,other
F_5,parks,0.00087,other
F_6,parks,0.00020,other
C_5,parks,0.00434,other
C_3,parks,0.01082,other
C_4,parks,0.00817,other
C_6,parks,0.00110,other
D_6,parks,0.00069,other
D_5,parks,0.00286,other
D_3,parks,0.01294,other
E_6,parks,0.00054,other
C_2,parks,0.13130,other
F_4,parks,0.01692,other
F_3,parks,0.01621,other
E_5,parks,0.00261,other
D_2,parks,0.11336,other
D_4,parks,0.00543,other
F_1,parks,0.62736,other
E_4,parks,0.01033,other
E_3,parks,0.01613,other
C_1,parks,0.39304,other
B_6,parks,0.00133,other
B_3,parks,0.04373,other
B_5,parks,0.00905,other
B_1,parks,0.48920,other
B_2,parks,0.20822,other
B_4,parks,0.02786,other
A_5,parks,0.02694,other
A_2,parks,0.32280,other
A_3,parks,0.11120,other
A_1,parks,0.60207,other
A_4,parks,0.06086,other
A_6,parks,0.00429,other
E_2,parks,0.10445,other
E_1,parks,0.63348,other
D_1,parks,0.71005,other
F_2,banks,0.31230,other
F_5,banks,0.00150,other
F_6,banks,0.00045,other
C_5,banks,0.01067,other
C_3,banks,0.02836,other
C_4,banks,0.02417,other
C_6,banks,0.00179,other
D_6,banks,0.00135,other
D_5,banks,0.00793,other
D_3,banks,0.03150,other
E_6,banks,0.00086,other
C_2,banks,0.31281,other
F_4,banks,0.04361,other
F_3,banks,0.03089,other
E_5,banks,0.00682,other
D_2,banks,0.26982,other
D_4,banks,0.01031,other
F_1,banks,0.97406,other
E_4,banks,0.02159,other
E_3,banks,0.02598,other
C_1,banks,1.81920,other
B_6,banks,0.00194,other
B_3,banks,0.06864,other
B_5,banks,0.01343,other
B_1,banks,0.94254,other
B_2,banks,0.29079,other
B_4,banks,0.04986,other
A_5,banks,0.02971,other
A_2,banks,0.41861,other
A_3,banks,0.14958,other
A_1,banks,1.36878,other
A_4,banks,0.09604,other
A_6,banks,0.00351,other
E_2,banks,0.24137,other
E_1,banks,0.98981,other
D_1,banks,1.30175,other
F_2,hosp,0.02663,medical
F_5,hosp,0.00014,medical
F_6,hosp,0.00009,medical
C_5,hosp,0.00106,medical
C_3,hosp,0.00296,medical
C_4,hosp,0.00156,medical
C_6,hosp,0.00016,medical
D_6,hosp,0.00016,medical
D_5,hosp,0.00113,medical
D_3,hosp,0.00335,medical
E_6,hosp,0.00010,medical
C_2,hosp,0.03345,medical
F_4,hosp,0.00293,medical
F_3,hosp,0.00233,medical
E_5,hosp,0.00128,medical
D_2,hosp,0.03223,medical
D_4,hosp,0.00086,medical
F_1,hosp,0.09906,medical
E_4,hosp,0.00258,medical
E_3,hosp,0.00335,medical
C_1,hosp,0.17219,medical
B_6,hosp,0.00011,medical
B_3,hosp,0.00637,medical
B_5,hosp,0.00097,medical
B_1,hosp,0.08637,medical
B_2,hosp,0.02651,medical
B_4,hosp,0.00303,medical
A_5,hosp,0.00163,medical
A_2,hosp,0.02642,medical
A_3,hosp,0.01215,medical
A_1,hosp,0.08439,medical
A_4,hosp,0.00450,medical
A_6,hosp,0.00027,medical
E_2,hosp,0.01755,medical
E_1,hosp,0.05939,medical
D_1,hosp,0.02959,medical
F_2,childcare,0.49976,other
F_5,childcare,0.00248,other
F_6,childcare,0.00028,other
C_5,childcare,0.01417,other
C_3,childcare,0.03682,other
C_4,childcare,0.02607,other
C_6,childcare,0.00191,other
D_6,childcare,0.00095,other
D_5,childcare,0.00824,other
D_3,childcare,0.03498,other
E_6,childcare,0.00052,other
C_2,childcare,0.45224,other
F_4,childcare,0.05564,other
F_3,childcare,0.05489,other
E_5,childcare,0.00794,other
D_2,childcare,0.33935,other
D_4,childcare,0.01024,other
F_1,childcare,0.99057,other
E_4,childcare,0.03949,other
E_3,childcare,0.04012,other
C_1,childcare,1.42617,other
B_6,childcare,0.00203,other
B_3,childcare,0.08924,other
B_5,childcare,0.01826,other
