TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,Portion
home,A_1,A_1,short,0.475041171842042
home,A_1,A_1,xlong,0.1332478434982
home,A_1,A_1,medium,0.203770352041696
home,A_1,A_1,long,0.187940632618062
leisure,A_1,A_1,short,0.55982325956673
leisure,A_1,A_1,medium,0.207457336477727
leisure,A_1,A_1,xlong,0.0788011813427299
leisure,A_1,A_1,long,0.153918222612813
medical,A_1,A_1,long,0.239147921726626
medical,A_1,A_1,medium,0.208425500458515
medical,A_1,A_1,short,0.231316220404323
medical,A_1,A_1,xlong,0.321110357410536
other,A_1,A_1,short,0.487078419596111
other,A_1,A_1,medium,0.220972082012281
other,A_1,A_1,xlong,0.0936780153306863
other,A_1,A_1,long,0.198271483060922
school,A_1,A_1,short,0.543610995684708
school,A_1,A_1,medium,0.168584977976906
school,A_1,A_1,long,0.175115134692429
school,A_1,A_1,xlong,0.112688891645957
work,A_1,A_1,short,0.407108981628606
work,A_1,A_1,medium,0.151052467216665
work,A_1,A_1,long,0.207697400546874
work,A_1,A_1,xlong,0.234141150607854
home,A_1,A_2,xlong,0.37491586223865
home,A_1,A_2,long,0.260900217428258
home,A_1,A_2,medium,0.198525622972691
home,A_1,A_2,short,0.1656582973604
leisure,A_1,A_2,medium,0.248713270450139
leisure,A_1,A_2,xlong,0.24463924491154
leisure,A_1,A_2,short,0.211465041825183
leisure,A_1,A_2,long,0.295182442813138
medical,A_1,A_2,medium,0.138536171627897
medical,A_1,A_2,short,0.0225445175373792
medical,A_1,A_2,long,0.360324263209575
medical,A_1,A_2,xlong,0.478595047625149
other,A_1,A_2,xlong,0.214296371630474
other,A_1,A_2,long,0.273086859466584
other,A_1,A_2,short,0.240429152126306
other,A_1,A_2,medium,0.272187616776636
school,A_1,A_2,xlong,0.251419722300762
school,A_1,A_2,long,0.2290734372175
school,A_1,A_2,short,0.248991433077485
school,A_1,A_2,medium,0.270515407404253
work,A_1,A_2,xlong,0.445502122194989
work,A_1,A_2,short,0.107825592181257
work,A_1,A_2,long,0.311589944891013
work,A_1,A_2,medium,0.13508234073274
home,A_1,A_3,medium,0.245535013422365
home,A_1,A_3,xlong,0.33818753384358
home,A_1,A_3,short,0.171183129080918
home,A_1,A_3,long,0.245094323653137
leisure,A_1,A_3,xlong,0.26361443601961
leisure,A_1,A_3,long,0.280134945636176
leisure,A_1,A_3,short,0.224645582286
leisure,A_1,A_3,medium,0.231605036058213
medical,A_1,A_3,medium,0.131111878000028
medical,A_1,A_3,long,0.201986045851899
medical,A_1,A_3,short,0.0452212563586985
medical,A_1,A_3,xlong,0.621680819789374
other,A_1,A_3,medium,0.186941231370975
other,A_1,A_3,xlong,0.449996892525916
other,A_1,A_3,long,0.245984851188976
other,A_1,A_3,short,0.117077024914133
school,A_1,A_3,long,0.282514960974918
school,A_1,A_3,medium,0.365285396662771
school,A_1,A_3,xlong,0.240168108817603
school,A_1,A_3,short,0.112031533544708
work,A_1,A_3,xlong,0.531281398490869
work,A_1,A_3,short,0.0409985019606515
work,A_1,A_3,long,0.306315965602258
work,A_1,A_3,medium,0.121404133946221
home,A_1,A_4,xlong,0.547306675708359
home,A_1,A_4,short,0.0813614093067983
home,A_1,A_4,long,0.17309163768828
home,A_1,A_4,medium,0.198240277296563
leisure,A_1,A_4,xlong,0.440940256856677
leisure,A_1,A_4,medium,0.111455425590182
leisure,A_1,A_4,short,0.305541269882334
leisure,A_1,A_4,long,0.142063047670807
other,A_1,A_4,long,0.406973767782759
other,A_1,A_4,xlong,0.479222080667461
other,A_1,A_4,short,0.10448829078565
other,A_1,A_4,medium,0.00931586076413046
