FromMicrotypeID,ToMicrotypeID,DistanceBinID,ThroughMicrotypeID,Portion
B_2,A_2,xlong,B_2,0.0390044967247771
B_2,A_2,xlong,B_5,0.124912579261422
B_2,A_2,xlong,A_5,0.104561419138204
B_2,A_2,xlong,A_3,0.225122635452692
B_2,A_2,xlong,A_2,0.0378287802830264
B_2,A_2,xlong,A_1,0.0157250338792231
B_2,A_2,xlong,A_4,0.0207066305639617
A_2,B_5,xlong,A_2,0.0334210168446261
A_2,B_5,xlong,A_4,0.0049849144819067
A_2,B_5,xlong,A_1,0.042781304151189
A_2,B_5,xlong,A_3,0.228185702032343
A_2,B_5,xlong,A_5,0.225752763163491
A_2,B_5,xlong,B_2,0.0101492882997643
A_2,B_5,xlong,B_5,0.145063379755997
B_5,B_5,medium,B_5,0.996571784645259
B_2,A_2,xlong,A_6,0.0109593447479096
A_2,B_5,xlong,A_6,0.0168915968046611
A_1,A_1,short,A_1,0.991478269345901
C_5,C_6,xlong,C_5,0.324608150514915
C_5,C_6,xlong,C_6,0.581453754484215
C_6,C_1,long,C_6,0.260012688638136
C_6,C_1,long,C_2,0.507871464392493
C_6,C_1,long,C_1,0.133976275091695
C_1,C_6,long,C_1,0.144299113006935
C_1,C_6,long,C_6,0.407824510838146
C_6,C_2,long,C_6,0.368474801254635
C_6,C_2,long,C_2,0.26502785968188
B_5,B_2,long,B_5,0.396601816066744
B_5,B_2,long,B_2,0.44791692448875
B_2,B_5,long,B_2,0.344568811228793
B_2,B_5,long,B_5,0.518714868978667
B_2,B_4,xlong,B_2,0.132761715737218
B_2,B_4,xlong,B_5,0.24538103429355
B_2,B_4,xlong,B_3,0.239534763510576
B_2,B_4,xlong,B_4,0.078543202193261
B_4,B_5,xlong,B_4,0.0855902698380835
B_4,B_5,xlong,B_5,0.320304429255797
B_4,B_5,xlong,B_3,0.177205033862401
B_4,B_5,xlong,B_2,0.171902465339102
A_1,A_1,xlong,A_1,0.213233040010293
A_2,A_3,xlong,A_2,0.144974732005136
