OriginMicrotypeID,DestinationMicrotypeID,TransitLayer,Portion
A_5,A_5,bus_norail_bike,0.0171575317262639
A_5,A_2,bus_norail_nobike,0.855369384852337
A_5,A_3,bus_norail_nobike,0.786000279960763
A_5,A_3,bus_norail_bike,0.0399601483559405
A_5,A_1,bus_norail_bike,0.0626630439726857
A_5,A_2,bus_norail_bike,0.0266654874254475
A_5,B_3,bus_norail_nobike,0.651825002589198
A_2,A_2,bus_norail_bike,0.0770450133014694
A_2,A_3,bus_norail_bike,0.074019602804607
A_2,A_1,bus_norail_bike,0.131884446958456
A_2,A_1,bus_norail_nobike,0.77183413680763
A_2,A_3,bus_norail_nobike,0.806818033999702
A_3,A_2,bus_norail_bike,0.0861845709563359
A_3,A_3,bus_norail_bike,0.0710857110993859
A_3,A_1,bus_norail_bike,0.133165305364625
A_3,A_5,bus_norail_bike,0.0396695809989494
A_3,A_2,bus_norail_nobike,0.797821458993727
A_3,A_3,bus_norail_nobike,0.755345476238233
A_3,A_1,bus_norail_nobike,0.732117918048157
A_1,A_3,bus_norail_bike,0.117948182304522
A_1,A_1,bus_norail_bike,0.301035019139495
A_1,A_3,bus_norail_nobike,0.755258109932506
A_1,A_5,bus_norail_nobike,0.713818863349607
A_1,A_2,bus_norail_bike,0.148679594922672
A_1,A_1,bus_norail_nobike,0.641261601615045
A_1,A_3,nobus_norail_nobike,0.0751975936843543
A_1,A_5,bus_norail_bike,0.0648957644791252
A_1,A_2,bus_norail_nobike,0.734674724094268
A_1,F_3,bus_norail_nobike,0.997726166570097
A_3,A_3,bus_rail_bike,0.00748935942473134
A_3,B_1,bus_rail_nobike,0.0492994791934447
A_3,A_5,bus_norail_nobike,0.755158738259265
A_3,F_5,bus_norail_nobike,0.631040800650521
A_3,F_2,nobus_norail_nobike,0.0739147814250146
A_3,C_2,bus_norail_nobike,1
A_3,A_1,bus_rail_bike,0.00461935093560614
A_3,A_3,bus_rail_nobike,0.0599812995636884
A_1,A_5,nobus_norail_nobike,0.184473308610776
A_1,B_2,bus_norail_nobike,0.925792607087794
A_1,A_1,bus_rail_bike,0.00245255484675386
A_1,A_3,bus_rail_bike,0.00591160915760296
A_1,B_5,bus_rail_nobike,0.0174013676891813
A_1,A_4,bus_norail_nobike,0.80977499927421
A_1,B_3,bus_norail_nobike,1
A_3,C_5,bus_norail_nobike,0.884584589144663
A_3,C_3,bus_norail_nobike,1
A_2,A_4,bus_norail_nobike,0.790902194590975
A_2,F_2,bus_norail_nobike,0.766451554833578
A_1,B_1,bus_norail_nobike,1
A_5,A_1,bus_norail_nobike,0.734877950032864
A_5,A_5,bus_norail_nobike,0.721745147953867
A_3,A_3,nobus_norail_nobike,0.0820976683232201
A_2,A_5,bus_norail_nobike,0.825537605618855
A_2,A_2,bus_norail_nobike,0.835098911313946
A_1,B_5,bus_norail_nobike,0.968665813868374
A_3,A_3,nobus_rail_nobike,0.0190319024916491
A_1,F_5,bus_norail_nobike,0.638375151546812
A_3,A_2,bus_rail_nobike,0.0417298469374157
A_1,A_1,bus_rail_nobike,0.010994579255082
A_3,A_1,bus_rail_nobike,0.0228865968485583
A_3,A_5,bus_rail_nobike,0.0647785054635569
A_3,A_4,bus_norail_nobike,0.733981154971336
A_3,B_6,nobus_norail_nobike,0.00995199932859551
A_3,B_2,bus_norail_nobike,0.793298854269806
A_3,B_5,nobus_rail_nobike,0.0165294874980021
A_3,B_5,bus_rail_nobike,0.0763592050720155
A_1,A_3,bus_rail_nobike,0.0295836513530353
A_1,A_2,bus_rail_nobike,0.0212256027115771
A_1,F_1,bus_norail_nobike,1
A_2,B_2,bus_norail_nobike,0.953556458541592
A_1,C_5,bus_norail_nobike,0.583260916511135
A_1,B_6,bus_norail_nobike,0.337359679519291
A_2,A_4,bus_norail_bike,0.0566746070648477
A_3,A_5,bus_rail_bike,0.00138586103278428
A_3,F_3,bus_norail_nobike,0.835039631777851
A_1,A_4,bus_rail_bike,0.0175184809849704
A_2,B_3,bus_norail_nobike,0.881009334439453
A_2,C_5,bus_norail_nobike,1
A_2,F_3,bus_norail_nobike,0.984520454079272
A_3,B_3,bus_rail_nobike,0.0939211866569329
A_1,F_2,bus_norail_nobike,0.909822637644579
A_2,A_5,bus_norail_bike,0.0257213899222349
A_2,C_2,bus_norail_nobike,0.802566306031696
