ModesAllowed,SubnetworkID,Mode
Auto-Bus-Bike-Freight,0,auto
Auto-Bus-Bike-Freight,0,bus
Auto-Bus-Bike-Freight,0,bike
Auto-Bus-Bike-Freight,0,freight_combo
Auto-Bus-Bike-Freight,0,freight_single
Walk,1,walk
Bus,2,bus
Bike,3,bike
Rail,4,rail
Auto-Bus-Bike-Freight,5,auto
Auto-Bus-Bike-Freight,5,bus
Auto-Bus-Bike-Freight,5,bike
Auto-Bus-Bike-Freight,5,freight_combo
Auto-Bus-Bike-Freight,5,freight_single
Walk,6,walk
Bus,7,bus
Bike,8,bike
Rail,9,rail
Auto-Bus-Bike-Freight,10,auto
Auto-Bus-Bike-Freight,10,bus
Auto-Bus-Bike-Freight,10,bike
Auto-Bus-Bike-Freight,10,freight_combo
Auto-Bus-Bike-Freight,10,freight_single
Walk,11,walk
Bus,12,bus
Bike,13,bike
Rail,14,rail
Auto-Bus-Bike-Freight,15,auto
Auto-Bus-Bike-Freight,15,bus
Auto-Bus-Bike-Freight,15,bike
Auto-Bus-Bike-Freight,15,freight_combo
Auto-Bus-Bike-Freight,15,freight_single
Walk,16,walk
Bus,17,bus
Bike,18,bike
Rail,19,rail
Auto-Bus-Bike-Freight,20,auto
Auto-Bus-Bike-Freight,20,bus
Auto-Bus-Bike-Freight,20,bike
Auto-Bus-Bike-Freight,20,freight_combo
Auto-Bus-Bike-Freight,20,freight_single
Walk,21,walk
Bus,22,bus
Bike,23,bike
Rail,24,rail
Auto-Bus-Bike-Freight,25,auto
Auto-Bus-Bike-Freight,25,bus
Auto-Bus-Bike-Freight,25,bike
Auto-Bus-Bike-Freight,25,freight_combo
Auto-Bus-Bike-Freight,25,freight_single
Walk,26,walk
Bus,27,bus
Bike,28,bike
Rail,29,rail
Auto-Bus-Bike-Freight,30,auto
Auto-Bus-Bike-Freight,30,bus
Auto-Bus-Bike-Freight,30,bike
Auto-Bus-Bike-Freight,30,freight_combo
Auto-Bus-Bike-Freight,30,freight_single
Walk,31,walk
Bus,32,bus
Bike,33,bike
Rail,34,rail
Auto-Bus-Bike-Freight,35,auto
Auto-Bus-Bike-Freight,35,bus
Auto-Bus-Bike-Freight,35,bike
Auto-Bus-Bike-Freight,35,freight_combo
Auto-Bus-Bike-Freight,35,freight_single
Walk,36,walk
Bus,37,bus
Bike,38,bike
Rail,39,rail
Auto-Bus-Bike-Freight,40,auto
Auto-Bus-Bike-Freight,40,bus
Auto-Bus-Bike-Freight,40,bike
Auto-Bus-Bike-Freight,40,freight_combo
Auto-Bus-Bike-Freight,40,freight_single
Walk,41,walk
Bus,42,bus
Bike,43,bike
Rail,44,rail
Auto-Bus-Bike-Freight,45,auto
Auto-Bus-Bike-Freight,45,bus
Auto-Bus-Bike-Freight,45,bike
Auto-Bus-Bike-Freight,45,freight_combo
Auto-Bus-Bike-Freight,45,freight_single
Walk,46,walk
Bus,47,bus
Bike,48,bike
Rail,49,rail
Auto-Bus-Bike-Freight,50,auto
Auto-Bus-Bike-Freight,50,bus
Auto-Bus-Bike-Freight,50,bike
Auto-Bus-Bike-Freight,50,freight_combo
Auto-Bus-Bike-Freight,50,freight_single
Walk,51,walk
Bus,52,bus
Bike,53,bike
Rail,54,rail
Auto-Bus-Bike-Freight,55,auto
Auto-Bus-Bike-Freight,55,bus
Auto-Bus-Bike-Freight,55,bike
Auto-Bus-Bike-Freight,55,freight_combo
Auto-Bus-Bike-Freight,55,freight_single
Walk,56,walk
Bus,57,bus
Bike,58,bike
Rail,59,rail
Auto-Bus-Bike-Freight,60,auto
Auto-Bus-Bike-Freight,60,bus
Auto-Bus-Bike-Freight,60,bike
Auto-Bus-Bike-Freight,60,freight_combo
Auto-Bus-Bike-Freight,60,freight_single
Walk,61,walk
Bus,62,bus
Bike,63,bike
Rail,64,rail
Auto-Bus-Bike-Freight,65,auto
Auto-Bus-Bike-Freight,65,bus
Auto-Bus-Bike-Freight,65,bike
Auto-Bus-Bike-Freight,65,freight_combo
Auto-Bus-Bike-Freight,65,freight_single
Walk,66,walk
Bus,67,bus
Bike,68,bike
Rail,69,rail
Auto-Bus-Bike-Freight,70,auto
Auto-Bus-Bike-Freight,70,bus
Auto-Bus-Bike-Freight,70,bike
Auto-Bus-Bike-Freight,70,freight_combo
Auto-Bus-Bike-Freight,70,freight_single
Walk,71,walk
Bus,72,bus
Bike,73,bike
Rail,74,rail
Auto-Bus-Bike-Freight,75,auto
Auto-Bus-Bike-Freight,75,bus
Auto-Bus-Bike-Freight,75,bike
Auto-Bus-Bike-Freight,75,freight_combo
Auto-Bus-Bike-Freight,75,freight_single
Walk,76,walk
Bus,77,bus
Bike,78,bike
Rail,79,rail
Auto-Bus-Bike-Freight,80,auto
Auto-Bus-Bike-Freight,80,bus
Auto-Bus-Bike-Freight,80,bike
Auto-Bus-Bike-Freight,80,freight_combo
Auto-Bus-Bike-Freight,80,freight_single
Walk,81,walk
Bus,82,bus
Bike,83,bike
Rail,84,rail
Auto-Bus-Bike-Freight,85,auto
Auto-Bus-Bike-Freight,85,bus
Auto-Bus-Bike-Freight,85,bike
Auto-Bus-Bike-Freight,85,freight_combo
Auto-Bus-Bike-Freight,85,freight_single
Walk,86,walk
Bus,87,bus
Bike,88,bike
Rail,89,rail
Auto-Bus-Bike-Freight,90,auto
Auto-Bus-Bike-Freight,90,bus
Auto-Bus-Bike-Freight,90,bike
Auto-Bus-Bike-Freight,90,freight_combo
Auto-Bus-Bike-Freight,90,freight_single
Walk,91,walk
Bus,92,bus
Bike,93,bike
Rail,94,rail
Auto-Bus-Bike-Freight,95,auto
Auto-Bus-Bike-Freight,95,bus
Auto-Bus-Bike-Freight,95,bike
Auto-Bus-Bike-Freight,95,freight_combo
Auto-Bus-Bike-Freight,95,freight_single
Walk,96,walk
Bus,97,bus
Bike,98,bike
Rail,99,rail
Auto-Bus-Bike-Freight,100,auto
Auto-Bus-Bike-Freight,100,bus
Auto-Bus-Bike-Freight,100,bike
Auto-Bus-Bike-Freight,100,freight_combo
Auto-Bus-Bike-Freight,100,freight_single
Walk,101,walk
Bus,102,bus
Bike,103,bike
Rail,104,rail
Auto-Bus-Bike-Freight,105,auto
Auto-Bus-Bike-Freight,105,bus
Auto-Bus-Bike-Freight,105,bike
