HomeMicrotypeID,TimePeriodID,PopulationGroupID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
C_5,7,HighIncVeh,leisure,A_2,A_2,0.101685550284382
C_5,9,HighIncVehSenior,leisure,C_5,C_5,0.510416317848298
C_5,10,HighIncVehSenior,home,C_5,C_5,0.762450356325024
C_5,13,HighIncVeh,work,A_1,A_1,0.137706983938231
C_5,11,HighIncVeh,leisure,A_1,A_1,0.04405834892097
F_4,9,HighIncVeh,other,B_2,B_2,0.63792334023946
F_4,16,HighIncVeh,home,A_2,A_1,0.297805378459775
C_5,20,HighIncVeh,home,B_3,C_5,0.00319344030465508
C_5,9,HighIncVeh,leisure,A_2,A_2,0.0028343955347405
C_5,6,HighIncVeh,work,C_5,C_3,0.12419615880473
C_5,10,HighIncVeh,other,A_2,A_3,0.017222686361559
C_5,15,HighIncVeh,home,C_3,C_5,0.0608412158642285
C_6,7,HighIncVeh,other,C_5,B_1,0.0196895146840877
C_6,11,HighIncVeh,leisure,B_1,B_1,0.00514238493569737
C_6,17,HighIncVeh,leisure,B_4,B_1,0.00811085039350159
C_6,11,HighIncVehSenior,leisure,B_1,B_1,0.011269416037005
C_6,13,HighIncVeh,leisure,B_1,B_5,0.0111232107809328
C_6,19,HighIncVeh,home,B_1,B_4,0.00994709071492578
C_6,6,HighIncVeh,leisure,C_5,C_5,0.0584548963556544
C_6,6,HighIncVehSenior,leisure,C_5,C_5,0.154846862531597
C_6,15,HighIncVeh,home,B_5,B_4,0.00337654447138112
C_6,7,HighIncVehSenior,leisure,C_5,B_1,0.0708805726584165
C_6,17,HighIncVehSenior,leisure,B_4,B_1,0.0441976732520093
C_6,15,HighIncVehSenior,home,B_5,B_4,0.0164573701616007
C_6,13,HighIncVehSenior,other,B_1,B_1,0.252843497137997
C_6,13,HighIncVeh,other,B_1,B_1,0.0224435474522449
C_6,13,HighIncVehSenior,leisure,B_1,B_5,0.014487837239294
C_6,19,HighIncVehSenior,home,B_1,B_4,0.102297229629241
D_6,16,LowIncVehSenior,leisure,D_6,D_6,0.0958825299669369
D_6,15,LowIncVehSenior,leisure,F_2,D_6,0.138971196291798
D_6,15,LowIncVehSenior,leisure,F_3,F_2,0.138971196291798
D_6,11,LowIncVehSenior,leisure,D_6,F_3,0.0378307608622386
D_6,16,LowIncVehSenior,home,D_6,D_6,0.172336307009445
D_3,12,LowIncVehSenior,leisure,F_2,D_6,1
D_3,13,LowIncVehSenior,home,D_6,D_3,1
D_3,11,LowIncVehSenior,leisure,D_3,F_3,0.5
D_3,11,LowIncVehSenior,leisure,F_3,F_2,0.5
D_3,16,LowIncVehSenior,home,D_3,D_3,1
D_3,16,LowIncVehSenior,leisure,D_3,D_3,1
B_2,10,LowIncVehSenior,home,B_2,F_5,0.0237013853389798
B_2,17,LowIncVehSenior,leisure,F_5,F_5,0.068370336495339
B_2,18,LowIncVehSenior,home,F_5,F_5,0.102695093865739
B_2,10,LowIncVehSenior,leisure,B_2,F_5,0.014036738549676
B_3,14,LowIncVeh,leisure,B_3,B_3,0.240515323638496
B_3,14,LowIncVeh,leisure,A_2,A_1,0.0252420611879873
B_3,15,LowIncVeh,leisure,A_1,A_3,0.030468574619199
B_3,15,LowIncVeh,home,B_3,B_3,0.500959066843528
B_3,13,LowIncVeh,leisure,A_3,A_2,0.0433172491499975
B_2,16,LowIncVeh,leisure,F_2,F_2,0.0162094190217256
B_2,20,LowIncVeh,other,F_2,F_2,0.147632736612826
B_2,19,LowIncVeh,leisure,F_2,F_2,0.0241233745376517
B_2,8,HighIncVeh,leisure,B_3,B_3,0.0419881828946978
B_2,12,HighIncVeh,home,F_2,A_3,0.0175627736896079
B_2,16,HighIncVeh,home,B_3,B_2,0.175220825988161
B_2,13,HighIncVeh,leisure,A_3,A_3,0.0152692694287268
B_2,9,HighIncVeh,leisure,B_3,D_2,0.0182018441788187
B_2,18,HighIncVeh,leisure,A_2,A_3,0.012141907392798
B_2,4,HighIncVeh,work,B_2,B_3,0.271549538756887
B_2,8,HighIncVeh,leisure,B_3,B_2,0.0846693496879062
B_2,22,HighIncVeh,home,A_3,A_3,0.0451771742312232
B_2,7,HighIncVeh,other,B_2,B_2,0.574204002513022
B_2,14,HighIncVeh,home,A_3,A_3,0.0132137178679575
B_2,8,HighIncVeh,leisure,B_2,B_3,0.198749502745085
B_2,7,LowIncVehSenior,school,B_2,B_2,1
B_2,11,LowIncVehSenior,home,B_5,B_2,0.184888236442837
B_2,16,LowIncVeh,leisure,B_5,E_5,0.0290567023266556
B_2,9,LowIncVehSenior,leisure,B_2,B_5,0.114953659926178
B_5,13,HighIncVeh,leisure,B_5,F_4,0.0747173445344517
B_5,16,HighIncVeh,leisure,B_2,B_4,0.0812130603087087
B_5,16,HighIncVeh,home,B_4,B_5,0.0775565956770167
B_5,14,HighIncVeh,medical,B_5,B_2,0.821507172989513
