"Mode","MicrotypeID","LaneDedicationPerLaneMile","ROWConstructionPerLaneMile"
"hv","A_1",682365.619370722,9328176.46617008
"hv","A_2",676942.027301986,9267549.9634209
"hv","A_3",740800.737196743,9986682.08126881
"hv","A_4",541079.886883729,6021080.42377925
"hv","A_5",666387.99620586,9160735.48393685
"hv","A_6",665177.003725106,9166279.32850031
"hv","B_1",472609.260602248,4422806.34801608
"hv","B_2",535952.690189199,5949589.59104888
"hv","B_3",582430.848589635,6539707.28149337
"hv","B_4",678481.312854209,9294542.06218109
"hv","B_5",464669.616355291,4348265.77136342
"hv","B_6",264922.350010615,1338833.69996549
"hv","C_1",535872.773980551,5953383.77128554
"hv","C_2",532729.340430835,5914794.21882682
"hv","C_3",513308.661681844,4928226.90468457
"hv","C_4",471403.334707969,4424585.53162321
"hv","C_5",463115.603646004,4334584.78705145
"hv","C_6",460791.899472257,4327070.5501616
"hv","D_1",649567.993856707,8968989.02329202
"hv","D_2",469221.4923136,4387631.16664089
"hv","D_3",680887.678366242,8273369.94606658
"hv","D_4",403008.071113168,2016670.24252729
"hv","D_5",264891.322849964,1342588.96718776
"hv","D_6",392765.335450202,1969462.04857035
"hv","E_1",637390.072337514,7831155.53862925
"hv","E_2",536206.983083343,5955848.48099308
"hv","E_3",580862.768404934,6530659.5088861
"hv","E_4",478105.416057934,4495720.12077636
"hv","E_5",265182.846041235,1344342.96768209
"hv","E_6",260610.406411581,1320991.61516873
"hv","F_1",532206.539819095,5912792.86850707
"hv","F_2",525588.536719055,5833396.77106041
"hv","F_3",581528.156954439,6529773.17347647
"hv","F_4",536421.17435357,5962257.30816434
"hv","F_5",529603.486745363,5882348.93465735
"hv","F_6",516746.471707388,5753369.06175813
"bus","A_1",682365.619370722,9328176.46617008
"bus","A_2",676942.027301986,9267549.9634209
"bus","A_3",740800.737196743,9986682.08126881
"bus","A_4",541079.886883729,6021080.42377925
"bus","A_5",666387.99620586,9160735.48393685
"bus","A_6",665177.003725106,9166279.32850031
"bus","B_1",472609.260602248,4422806.34801608
"bus","B_2",535952.690189199,5949589.59104888
"bus","B_3",582430.848589635,6539707.28149337
"bus","B_4",678481.312854209,9294542.06218109
"bus","B_5",464669.616355291,4348265.77136342
"bus","B_6",264922.350010615,1338833.69996549
"bus","C_1",535872.773980551,5953383.77128554
"bus","C_2",532729.340430835,5914794.21882682
"bus","C_3",513308.661681844,4928226.90468457
"bus","C_4",471403.334707969,4424585.53162321
"bus","C_5",463115.603646004,4334584.78705145
"bus","C_6",460791.899472257,4327070.5501616
"bus","D_1",649567.993856707,8968989.02329202
"bus","D_2",469221.4923136,4387631.16664089
"bus","D_3",680887.678366242,8273369.94606658
"bus","D_4",403008.071113168,2016670.24252729
"bus","D_5",264891.322849964,1342588.96718776
"bus","D_6",392765.335450202,1969462.04857035
"bus","E_1",637390.072337514,7831155.53862925
"bus","E_2",536206.983083343,5955848.48099308
"bus","E_3",580862.768404934,6530659.5088861
"bus","E_4",478105.416057934,4495720.12077636
"bus","E_5",265182.846041235,1344342.96768209
"bus","E_6",260610.406411581,1320991.61516873
"bus","F_1",532206.539819095,5912792.86850707
"bus","F_2",525588.536719055,5833396.77106041
"bus","F_3",581528.156954439,6529773.17347647
"bus","F_4",536421.17435357,5962257.30816434
"bus","F_5",529603.486745363,5882348.93465735
"bus","F_6",516746.471707388,5753369.06175813
"bike","D_5",192000,1043000
"bike","B_6",192000,1043000
"bike","E_6",192000,1043000
"bike","E_5",192000,1043000
"bike","D_4",285000,1546000
"bike","D_6",285000,1546000
"bike","B_1",341000,3003000
"bike","E_4",341000,3003000
"bike","C_3",341000,3003000
"bike","C_5",341000,3003000
"bike","D_2",341000,3003000
"bike","B_5",341000,3003000
"bike","C_6",341000,3003000
"bike","C_4",341000,3003000
"bike","F_4",385000,4161000
"bike","E_2",385000,4161000
"bike","C_2",385000,4161000
"bike","F_6",385000,4161000
"bike","F_2",385000,4161000
"bike","A_4",385000,4161000
"bike","C_1",385000,4161000
"bike","F_5",385000,4161000
"bike","F_1",385000,4161000
"bike","B_2",385000,4161000
"bike","B_3",385000,4161000
"bike","E_3",385000,4161000
"bike","F_3",385000,4161000
"bike","D_3",453000,5743000
"bike","E_1",453000,5743000
"bike","A_1",481000,6769000
"bike","A_3",481000,6769000
"bike","A_5",481000,6769000
"bike","A_2",481000,6769000
"bike","D_1",481000,6769000
"bike","A_6",481000,6769000
"bike","B_4",481000,6769000
