MicrotypeID,LengthNetworkLaneMiles,ModesAllowed,vMax,Type
A_1,12017.0534789512,,,
A_2,14572.97961709,,,
A_3,20656.12663931,,,
A_4,1843.938014469,,,
A_5,10293.685874229,,,
A_6,940.844496,,,
B_1,2245.7203804,,,
B_2,8040.49587096,,,
B_3,6463.96522664,,,
B_4,771.846540546,,,
B_5,13706.33119479,,,
B_6,13101.60335449,,,
C_1,94.7980039,,,
C_2,1679.21115978,,,
C_3,1996.8721767,,,
C_4,301.6696162,,,
C_5,10004.16995836,,,
C_6,4597.435702,,,
D_1,0,,,
D_2,50.317608,,,
D_3,0,,,
D_4,130.81357,,,
D_5,2211.640234401,,,
D_6,3994.64999,,,
E_1,0,,,
E_2,78.710977,,,
E_3,258.019151,,,
E_4,0,,,
E_5,695.10740459,,,
E_6,359.15997,,,
F_1,201.7742142,,,
F_2,4918.27472911,,,
F_3,5233.8172151,,,
F_4,185.71440524168,,,
F_5,8296.7004473701,,,
F_6,3581.116574,,,
