MicrotypeID,PerStartCost,DailyCostPerVehicle,geotype,DirectionalRouteMiles,SeniorFareDiscount,Headway,VehicleCapacity,VehicleSize,StopSpacingKM,PopulationMicrotypeID,VehicleRevenueHoursPerDay,VehicleRevenueMilesPerDay,CoveragePortion,StopSpacing,PassengerWait,PassengerWaitDedicated,MinStopTime,VehicleOperatingCostPerHour
A_1,2.4427197,2004,A,50669.475510671,0.5,266.0112596047564,40.0,3.0,,5669015,150014.444229223,1645735.85743199,0.8432928354595827,400.0,6.0,3.0,7.0,100.2
A_2,2.0591331,2004,A,53575.0033828997,0.5,266.0112596047564,40.0,3.0,,5994092,158616.687385522,1740106.90342965,0.7352649189198248,400.0,6.0,3.0,7.0,100.2
A_3,2.0707642,2004,A,34733.4536942611,0.5,266.0112596047562,40.0,3.0,,3886057,102833.504779593,1128136.60731619,0.33630171135919545,400.0,6.0,3.0,7.0,100.2
A_4,1.9143464,2004,A,5657.40313399433,0.5,266.011259604756,40.0,3.0,,632963,16749.5751312462,183751.481611484,0.6136218343135027,400.0,6.0,3.0,7.0,100.2
A_5,1.9132631,2004,A,15699.853883988,0.5,266.01125960475525,40.0,3.0,,1756535,46481.7295057746,509928.556254359,0.3050385270312889,400.0,6.0,3.0,7.0,100.2
A_6,2.1553511,2004,A,144.750394185818,0.5,266.01125960475576,40.0,3.0,,16195,428.554859052634,4701.46792892788,0.0307703121613028,400.0,6.0,3.0,7.0,100.2
B_1,1.914624,1761,B,21148.0943097663,0.5,403.44779638890043,40.0,3.0,,919322,34377.9280822045,452895.111763728,1.8834129568703895,400.0,6.0,3.0,7.0,88.05
B_2,1.8620512,1761,B,64590.3198025798,0.5,403.4477963889023,40.0,3.0,,2807785,104996.759351231,1383228.18488355,1.6066252837928015,400.0,6.0,3.0,7.0,88.05
B_3,1.860165,1761,B,23938.3199359501,0.5,403.447796388902,40.0,3.0,,1040615,38913.6642343632,512648.937725858,0.7406698240669018,400.0,6.0,3.0,7.0,88.05
B_4,1.8798035,1761,B,3201.53736054735,0.5,403.4477963889018,40.0,3.0,,139173,5204.35645506651,68562.2354185946,0.8295787290262646,400.0,6.0,3.0,7.0,88.05
B_5,1.9333829,1761,B,32250.8196681811,0.5,403.44779638890185,40.0,3.0,,1401965,52426.3010607468,690664.528167317,0.47059740801302336,400.0,6.0,3.0,7.0,88.05
B_6,1.5637879,1761,B,9208.06892297539,0.5,403.44779638890094,40.0,3.0,,400281,14968.4565698122,197194.571903965,0.1405640008147511,400.0,6.0,3.0,7.0,88.05
C_1,1.8755957,1370,C,373.402706191663,0.5,386.844532546654,40.0,3.0,,7799,575.515750941609,8339.782806952,0.7877860098943772,400.0,6.0,3.0,7.0,68.5
C_2,1.7746306,1370,C,22945.4263275835,0.5,386.844532546654,40.0,3.0,,479245,35365.1809283256,512475.857330134,2.7328815907333146,400.0,6.0,3.0,7.0,68.5
C_3,1.7461449,1370,C,9215.41983292044,0.5,386.84453254665357,40.0,3.0,,192476,14203.4837387149,205822.289466713,0.9229854509916302,400.0,6.0,3.0,7.0,68.5
C_4,1.6027705,1370,C,2553.58806702556,0.5,386.84453254665425,40.0,3.0,,53335,3935.77799416217,57033.2499049602,1.6929700108297219,400.0,6.0,3.0,7.0,68.5
C_5,1.6410918,1370,C,21023.9751921964,0.5,386.8445325466538,40.0,3.0,,439113,32403.698928481,469561.10369395,0.4203042387265259,400.0,6.0,3.0,7.0,68.5
C_6,1.4173441,1370,C,3200.32787408249,0.5,386.8445325466541,40.0,3.0,,66843,4932.58101553917,71477.8948794836,0.13922230049635137,400.0,6.0,3.0,7.0,68.5
F_1,2.0983346,1529,F,201.737688729918,0.5,354.0047227170659,40.0,3.0,,27309,359.045472192477,4923.70163100783,0.1999637957008265,400.0,6.0,3.0,7.0,76.45
F_2,2.3135352,1529,F,10586.2829121343,0.5,354.00472271706656,40.0,3.0,,1433053,18841.0850291789,258373.627500848,0.43048766062118576,400.0,6.0,3.0,7.0,76.45
F_3,2.4400459,1529,F,3752.22940880408,0.5,354.0047227170646,40.0,3.0,,507935,6678.08275360086,91578.614667178,0.1433840447457196,400.0,6.0,3.0,7.0,76.45
F_4,2.4130937,1529,F,148.00302441334,0.5,354.0047227170654,40.0,3.0,,20035,263.410452062554,3612.22901524193,0.15938776986172484,400.0,6.0,3.0,7.0,76.45
F_5,2.4109081,1529,F,5590.99800440045,0.5,354.0047227170657,40.0,3.0,,756847,9950.65687108498,136456.435912094,0.134776422021424,400.0,6.0,3.0,7.0,76.45
F_6,2.1450151,1529,F,144.338961517956,0.5,354.0047227170651,40.0,3.0,,19539,256.889284893947,3522.80223253367,0.008061114936380509,400.0,6.0,3.0,7.0,76.45
