TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,Portion
home,1,1,short,0.507708627195019
home,1,1,xlong,0.120219568356751
home,1,1,medium,0.190073481239513
home,1,1,long,0.181998323208718
medical,1,1,short,0.365036077960029
medical,1,1,long,0.237486374499701
medical,1,1,xlong,0.155993533435909
medical,1,1,medium,0.241484014104362
other,1,1,xlong,0.0961745092086637
other,1,1,short,0.494085465165712
other,1,1,medium,0.23919444496554798
other,1,1,long,0.170545580660076
school,1,1,long,0.15089697287101503
school,1,1,medium,0.20177319598246998
school,1,1,short,0.554907272955511
school,1,1,xlong,0.0924225581910046
social,1,1,short,0.6464888742070269
social,1,1,xlong,0.0631170249794993
social,1,1,medium,0.155415125293545
social,1,1,long,0.13497897551992902
work,1,1,xlong,0.201865601465793
work,1,1,long,0.239559282679776
work,1,1,short,0.411540810271403
work,1,1,medium,0.14703430558302802
home,1,2,long,0.21660617999476
home,1,2,xlong,0.411507077312996
home,1,2,medium,0.20208947481493897
home,1,2,short,0.16979726787730404
medical,1,2,xlong,0.43139384012001597
medical,1,2,medium,0.0960703180962947
medical,1,2,long,0.388820909359787
medical,1,2,short,0.0837149324239028
other,1,2,long,0.222749122799059
other,1,2,medium,0.188601387694792
other,1,2,xlong,0.30656524391017
other,1,2,short,0.282084245595979
school,1,2,xlong,0.25810424268078397
school,1,2,long,0.286260227670575
school,1,2,short,0.3540843621660829
school,1,2,medium,0.101551167482559
social,1,2,xlong,0.275229667540847
social,1,2,long,0.306568108712174
social,1,2,short,0.208263990705934
social,1,2,medium,0.20993823304104398
work,1,2,xlong,0.449186913043496
work,1,2,long,0.27603365708988103
work,1,2,medium,0.160080541744778
work,1,2,short,0.11469888812184499
home,1,3,short,0.162250766646875
home,1,3,xlong,0.35998771580828703
home,1,3,medium,0.188738770467591
home,1,3,long,0.289022747077247
medical,1,3,xlong,0.601648521633553
medical,1,3,long,0.159851278459786
medical,1,3,short,0.0704841397976448
medical,1,3,medium,0.168016060109016
other,1,3,medium,0.160317607844834
other,1,3,xlong,0.39350242401789204
other,1,3,long,0.324995314355933
other,1,3,short,0.121184653781341
school,1,3,xlong,0.19244229035642396
school,1,3,medium,0.31622494421254105
school,1,3,long,0.220594457572795
school,1,3,short,0.27073830785824
social,1,3,xlong,0.305005728169987
social,1,3,medium,0.20789784618115198
social,1,3,short,0.24552666531815698
social,1,3,long,0.24156976033070396
work,1,3,long,0.318992315288366
work,1,3,xlong,0.41203544433511896
work,1,3,short,0.0930200030022136
work,1,3,medium,0.17595223737430102
home,1,4,xlong,0.675532514885166
home,1,4,long,0.15861318984797598
home,1,4,medium,0.0838477560046339
home,1,4,short,0.0820065392622239
medical,1,4,short,0.148140588624687
medical,1,4,medium,0.15798218868447597
medical,1,4,xlong,0.564166618920912
medical,1,4,long,0.12971060376992402
other,1,4,xlong,0.769776313149634
other,1,4,long,0.115853824562758
other,1,4,short,0.0214560887983466
other,1,4,medium,0.0929137734892613
school,1,4,long,0.17060093702998
school,1,4,short,0.13738154783286802
school,1,4,xlong,0.228950900975005
school,1,4,medium,0.46306661416214706
social,1,4,xlong,0.5284413301326379
social,1,4,long,0.23062806743570802
social,1,4,medium,0.154996869982318
social,1,4,short,0.0859337324493365
work,1,4,xlong,0.52998441538063
work,1,4,long,0.344937052202394
work,1,4,medium,0.0907780876939353
work,1,4,short,0.0343004447230413
home,1,5,xlong,0.391453379331251
home,1,5,long,0.11029718401850098
home,1,5,short,0.402491063673636
home,1,5,medium,0.0957583729766115
other,1,5,medium,0.123083970668343
other,1,5,short,0.654267329586196
other,1,5,xlong,0.22264869974546106
school,1,5,short,1.0
social,1,5,medium,0.517615524561219
social,1,5,xlong,0.409535071286029
social,1,5,long,0.0728494041527513
work,1,5,xlong,1.0
home,1,6,xlong,0.46485158674558796
home,1,6,long,0.0172904050378251
home,1,6,short,0.517858008216587
medical,1,6,medium,1.0
other,1,6,long,0.0834576004774211
other,1,6,xlong,0.9165423995225792
social,1,6,long,0.0860175895962836
social,1,6,xlong,0.264536476498513
social,1,6,medium,0.325918579323373
social,1,6,short,0.32352735458183
work,1,6,xlong,1.0
home,2,1,xlong,0.29761878244684803
home,2,1,long,0.29904271268939303
home,2,1,short,0.24554802711905102
home,2,1,medium,0.157790477744708
medical,2,1,xlong,0.42522230877882505
medical,2,1,medium,0.11116339810778098
medical,2,1,long,0.354497635719848
medical,2,1,short,0.10911665739354501
other,2,1,xlong,0.35607743610551595
other,2,1,long,0.26504985786795
other,2,1,medium,0.24207508631628397
other,2,1,short,0.136797619710249
school,2,1,medium,0.15151024291183401
school,2,1,short,0.228301871188939
school,2,1,xlong,0.36918934442030105
school,2,1,long,0.25099854147892603
social,2,1,xlong,0.22911955142457396
social,2,1,short,0.29693224283092795
social,2,1,medium,0.232767617635437
social,2,1,long,0.241180588109061
work,2,1,xlong,0.624609585277522
work,2,1,long,0.175223086158919
work,2,1,medium,0.13424184936364802
work,2,1,short,0.0659254791999108
home,2,2,long,0.179628793444192
home,2,2,xlong,0.120863444836398
home,2,2,short,0.449706208672159
home,2,2,medium,0.249801553047251
medical,2,2,long,0.34002813551335104
medical,2,2,xlong,0.0956113334902062
medical,2,2,medium,0.287611096660674
medical,2,2,short,0.276749434335768
other,2,2,short,0.48168579005978
other,2,2,medium,0.27472747369884
other,2,2,xlong,0.0758865830662755
other,2,2,long,0.167700153175104
school,2,2,medium,0.20311500324277199
school,2,2,short,0.518097910525258
school,2,2,xlong,0.0717847371893712
school,2,2,long,0.207002349042598
social,2,2,long,0.154628227470867
social,2,2,short,0.489520733666851
social,2,2,medium,0.263978784641457
social,2,2,xlong,0.0918722542208251
work,2,2,xlong,0.298460322800224
work,2,2,short,0.251742822312581
work,2,2,long,0.264875984798589
work,2,2,medium,0.18492087008860603
home,2,3,medium,0.30016558015771994
home,2,3,xlong,0.250904910563505
home,2,3,short,0.152607812167901
home,2,3,long,0.29632169711087497
medical,2,3,long,0.5121469982497721
medical,2,3,medium,0.11609083362246302
medical,2,3,xlong,0.24793985880445302
medical,2,3,short,0.123822309323312
other,2,3,short,0.25127502307050104
other,2,3,medium,0.32008710646751004
other,2,3,xlong,0.22874915776224397
other,2,3,long,0.199888712699745
school,2,3,medium,0.17611113540179202
school,2,3,short,0.245277470354947
school,2,3,xlong,0.23020098536657396
school,2,3,long,0.348410408876687
social,2,3,long,0.320299222039586
social,2,3,medium,0.30274468023057005
social,2,3,xlong,0.225653193084182
social,2,3,short,0.15130290464566198
work,2,3,xlong,0.438624337622899
work,2,3,medium,0.157857936989411
work,2,3,long,0.357274708745966
work,2,3,short,0.0462430166417246
home,2,4,short,0.09087357068567499
home,2,4,xlong,0.29500980459224396
home,2,4,long,0.358740787163185
home,2,4,medium,0.25537583755889603
medical,2,4,medium,0.232358353666212
medical,2,4,xlong,0.18724689271896
medical,2,4,long,0.395582528116173
medical,2,4,short,0.184812225498655
other,2,4,long,0.344653967863496
other,2,4,medium,0.313809381401037
other,2,4,xlong,0.27885883433096303
other,2,4,short,0.0626778164045047
school,2,4,xlong,0.164312717170839
school,2,4,long,0.454224612741926
school,2,4,medium,0.273609816568463
school,2,4,short,0.107852853518772
social,2,4,medium,0.26792253396300303
social,2,4,long,0.40852056580808105
social,2,4,short,0.10576696398868499
social,2,4,xlong,0.21778993624023102
work,2,4,medium,0.20534282734352202
work,2,4,xlong,0.4030065099998
work,2,4,long,0.317137693253966
work,2,4,short,0.0745129694027116
home,2,5,long,0.215461933439056
home,2,5,xlong,0.13263651967975099
home,2,5,short,0.13945089027632998
home,2,5,medium,0.512450656604863
medical,2,5,medium,1.0
other,2,5,long,0.48528019107836895
other,2,5,xlong,0.017826653415939
other,2,5,medium,0.44348409586504994
other,2,5,short,0.0534090596406412
school,2,5,medium,0.0937278254869734
school,2,5,xlong,0.0828709254937548
school,2,5,short,0.441085463105035
school,2,5,long,0.38231578591423704
social,2,5,short,0.18346600051502002
social,2,5,medium,0.233222799009827
social,2,5,long,0.423258916967038
social,2,5,xlong,0.16005228350811498
work,2,5,long,0.7018186118045101
work,2,5,short,0.13177433219162102
work,2,5,medium,0.166407056003869
home,2,6,xlong,0.451803271017683
home,2,6,short,0.0527417042370761
home,2,6,long,0.473077022142807
home,2,6,medium,0.022378002602434
other,2,6,long,0.7538709003015078
