FromMicrotypeID,ToMicrotypeID,DistanceBinID,ThroughMicrotypeID,Portion
1,4,short,3,0.0198588794253181
1,5,medium,2,0.239191466158969
1,6,long,5,0.0038634998122589
1,1,long,1,0.55796483579205
1,2,xlong,4,0.0548166282165851
1,2,long,1,0.255145486031581
1,2,long,5,0.0198540098628111
1,1,xlong,2,0.104681226476271
1,2,long,2,0.472050395869109
1,2,medium,5,0.0049152893568927
1,3,medium,4,0.0050387821919614
1,1,medium,5,2.13716132512514e-05
1,5,short,3,0.0
1,4,medium,1,0.34880003499036
1,4,medium,2,0.326797906360321
1,4,long,6,0.0023615389367857
1,1,xlong,3,0.5657431679218591
1,3,short,5,0.0005614364758296
1,4,medium,3,0.0139614156871714
1,5,long,6,0.0019260028301697
1,2,short,5,8.54484763515639e-05
1,4,long,1,0.234738158942964
1,1,xlong,1,0.245828207529168
1,2,medium,1,0.3888450236727
1,2,medium,2,0.552505029862951
1,5,short,5,0.3922337141024529
1,1,medium,1,0.8953723393539991
1,5,medium,5,0.421174870739621
1,6,medium,1,0.670582107188759
1,2,short,2,0.5227356020405499
1,2,short,1,0.4739675676680679
1,4,short,4,0.45868001768394
1,4,short,1,0.490133559761784
1,1,xlong,4,0.034265408049444
1,4,medium,4,0.307605921926492
1,4,long,2,0.152921217721075
1,2,long,4,0.0198189384120954
1,5,xlong,3,0.416376654189215
1,3,long,5,0.0073237331565082
1,3,medium,5,0.0012203252894062
1,3,medium,3,0.457422892852991
1,3,medium,2,0.0871624891438378
1,3,medium,1,0.4471057085560711
1,5,xlong,6,0.0116613432731533
1,5,xlong,4,0.0776396950506263
1,2,medium,6,0.0002154801104006
1,6,xlong,6,0.291846236982161
1,6,xlong,3,0.291772639299153
1,6,xlong,1,0.0635702293054169
1,1,long,6,0.0249781860218436
1,2,long,6,0.0069176620380008
1,6,medium,6,0.329417892811242
1,2,short,3,0.0031188182729458
1,1,long,5,0.0024482592365271
1,3,long,1,0.255525337757594
1,3,long,2,0.157005486663957
1,5,xlong,2,0.135317770192
1,5,xlong,5,0.2364996723420999
1,1,xlong,5,0.0323313727117093
1,1,xlong,6,0.0134394038293565
1,5,long,3,0.206642001719732
1,3,xlong,6,0.0113931133556587
1,3,medium,6,0.0020498019657333
1,1,medium,2,0.0504985243614229
1,1,long,4,0.0055093037157987
1,2,medium,4,0.0039777773067939
1,4,xlong,6,0.0047257711980007
1,3,long,3,0.5626101942034829
1,3,xlong,1,0.10212075767034
1,3,xlong,2,0.113223363640552
1,3,xlong,3,0.664181365890689
1,5,xlong,1,0.077926982645145
1,4,long,4,0.325721395712632
1,5,medium,1,0.30861301851149
1,4,xlong,5,0.0815069378269073
1,4,short,2,0.0313275431289573
1,1,short,3,0.0017391192697188
1,1,short,4,1.9531562303704e-06
1,1,short,1,0.9948570862766608
1,3,short,4,0.0006720390152601
1,3,short,2,0.0193765961747989
1,5,medium,4,0.0093039698672134
1,6,long,2,0.113176579961399
1,2,long,3,0.226213507786403
1,6,short,6,0.431045973707332
1,6,xlong,2,0.0522956814926416
1,4,long,3,0.233712860041023
1,5,short,1,0.5155906464025971
1,2,short,4,9.25635420845514e-05
1,1,short,2,0.0034018412973895
1,1,medium,6,0.0010746556514949
1,3,long,6,0.0060884494597901
1,6,xlong,4,0.0344058011908876
1,2,xlong,1,0.131508415867131
1,2,medium,3,0.0495413996902617
1,3,xlong,5,0.036788825329886
1,3,long,4,0.0114467987586678
1,2,xlong,3,0.456519056683238
1,2,xlong,2,0.251885264496864
1,2,xlong,5,0.0614296440335676
1,2,xlong,6,0.0107497960612935
1,6,xlong,5,0.2661094117297399
1,1,medium,4,8.26280476268703e-05
1,3,short,3,0.442092931826455
1,6,short,1,0.568954026292668
1,1,medium,3,0.0529504809722056
1,5,medium,3,0.021716674722707
1,5,long,1,0.165472959952802
1,5,long,2,0.276548120003086
1,5,long,5,0.303207661423411
1,4,medium,5,0.0028347210356559
1,3,xlong,4,0.040202473941917
1,6,long,3,0.101732074030808
1,4,xlong,1,0.0648633312171336
1,4,xlong,2,0.0839385588108275
1,4,xlong,3,0.489803217718155
1,4,xlong,4,0.192200609975731
1,5,short,2,0.0921756394949503
1,4,long,5,0.0504353194452855
1,5,long,4,0.0462032540707983
1,6,long,1,0.217809116189603
1,1,long,3,0.260480766920832
1,6,long,6,0.563418730005932
1,1,long,2,0.148618648312949
1,3,short,1,0.5372969965076559
2,2,xlong,4,0.0783983587793451
2,6,medium,6,0.399003284432318
2,6,medium,2,0.600996715567682
2,2,long,1,0.0475204795463069
2,5,long,1,0.0064145451270396
2,4,short,2,0.4784072418816289
2,1,short,2,0.456266207665299
2,3,medium,6,0.0019208535207626
2,5,short,4,0.0009520970250149
2,1,short,1,0.532706881584639
2,3,medium,1,0.054177260530063
2,4,xlong,3,0.381238532837861
2,4,long,1,0.0159547160996164
2,4,long,3,0.123225990829148
2,1,long,4,0.0084341052473232
2,2,medium,3,0.0261961529926374
2,3,xlong,6,0.0063060540260095
2,2,xlong,6,0.0098586033116511
2,4,medium,5,0.0275477036878972
2,1,medium,3,0.0470002467340235
2,3,long,5,0.0419342750961884
2,1,xlong,4,0.0627213838817706
2,1,medium,1,0.523277194561443
2,5,xlong,1,0.0170024817773765
2,5,short,3,0.0014046407053642
2,1,medium,2,0.4216507969735829
2,6,xlong,6,0.266573816321322
2,6,xlong,5,0.19237401747068
2,2,xlong,1,0.0443749175570328
2,3,short,3,0.4667938466275579
2,3,short,2,0.495944090219543
2,1,xlong,6,0.009553717826785
2,6,xlong,2,0.138958778576083
2,3,long,4,0.0374858601850776
2,1,medium,5,0.0062467694016729
2,5,long,3,0.142052202532017
2,5,xlong,3,0.339827975835355
2,5,xlong,4,0.0982898298526373
2,2,medium,5,0.003179574714421
2,3,xlong,4,0.0658565950614786
2,2,medium,4,0.0074257132488168
2,4,long,5,0.118982977173668
2,2,long,4,0.0457500587452968
2,1,long,3,0.245487929720982
2,4,short,3,0.0045873441724982
2,4,xlong,1,0.0232997650845027
2,6,long,1,0.0016746706066479
2,2,short,3,5.96042141566328e-05
2,4,xlong,5,0.133619492094065
2,1,short,5,0.0009449272096783
2,6,xlong,4,0.0907276545325819
2,3,short,4,0.0002824094383311
2,5,xlong,2,0.147459590090532
2,5,xlong,5,0.3540025533324029
2,5,long,4,0.0496234980936704
2,3,xlong,2,0.1633385703592169
2,2,long,5,0.0486925844147103
2,3,xlong,1,0.0359936203391599
2,3,medium,4,0.0104008557523116
2,2,medium,2,0.9488310458126692
2,2,medium,1,0.0143675132314561
2,4,medium,3,0.036657803261485
2,4,xlong,6,0.007187895495886
2,4,short,1,0.0218020559394672
2,1,short,3,0.0100148043443516
2,1,xlong,3,0.5003955785348739
2,1,long,2,0.33445079456133
2,2,short,1,0.0011185004902617
2,3,xlong,3,0.6114968180111241
2,1,short,4,6.717919603235749e-05
2,4,xlong,4,0.275202050485067
2,5,medium,5,0.484705450483671
2,6,xlong,1,0.0176862746708704
2,2,short,2,0.998789595067844
2,5,long,2,0.356005029295298
2,6,long,2,0.236356157213651
2,6,long,4,0.178936811865534
2,6,long,6,0.406164095198921
2,5,long,5,0.4427686066539489
2,5,short,2,0.6054364858215009
2,5,short,5,0.39220677644812
2,1,medium,4,0.0017313903960034
2,4,long,4,0.3856605721030179
2,4,long,2,0.35617574379455
2,1,long,6,0.0185003851653364
2,5,long,6,0.0031361182980267
2,2,long,6,0.0003890364257091
2,4,xlong,2,0.159430812208106
2,1,long,1,0.38344100306926
2,5,medium,2,0.4575493067446121
2,4,short,5,0.000255054911442
2,4,medium,2,0.481052312981281
2,3,xlong,5,0.0954851623475684
2,4,medium,1,0.0153293707529974
2,3,long,6,0.0017810445376425
2,2,short,4,3.2300227738055606e-05
2,6,long,5,0.0341827206343008
2,6,long,3,0.142685544480944
2,1,xlong,2,0.1826336553967699
2,4,short,4,0.4949483030949629
2,3,short,5,0.0040524433863126
2,6,xlong,3,0.293679458428463
2,1,xlong,5,0.067244493949692
2,5,xlong,6,0.0128317195422457
2,1,xlong,1,0.15921043411522
2,4,medium,4,0.43941280931634
2,3,short,1,0.0329272103282556
2,1,medium,6,9.36019332743352e-05
2,3,long,3,0.5151497432705201
2,2,xlong,3,0.447482612607503
2,5,medium,1,0.0066180203268284
2,2,xlong,2,0.291644265050357
2,5,medium,4,0.0204031276839851
2,5,medium,3,0.0307240947609036
2,2,long,3,0.20162282544202
2,1,long,5,0.0096857822357687
2,3,medium,5,0.0117066489026385
2,2,xlong,5,0.11671620418336
