MicrotypeID,Population,PopulationGroupID
1,1918499,HighIncNoVeh
1,9519197,HighIncVeh
1,979604,HighIncVehSenior
1,4707282,LowIncVeh
1,170864,HighIncNoVehSenior
1,569529,LowIncNoVehSenior
1,2347326,LowIncNoVeh
1,978549,LowIncVehSenior
2,208494,LowIncNoVehSenior
2,5025508,LowIncVeh
2,1815600,HighIncVehSenior
2,18265,HighIncNoVehSenior
2,586471,LowIncNoVeh
2,195118,HighIncNoVeh
2,1179254,LowIncVehSenior
2,15984304,HighIncVeh
3,735947,LowIncVehSenior
3,1199980,HighIncVehSenior
3,170706,HighIncNoVeh
3,3410064,LowIncVeh
3,33293,HighIncNoVehSenior
3,9135720,HighIncVeh
3,194626,LowIncNoVehSenior
3,574124,LowIncNoVeh
4,374545,LowIncVehSenior
4,39830,LowIncNoVehSenior
4,6317644,HighIncVeh
4,550,HighIncNoVehSenior
4,36820,HighIncNoVeh
4,132741,LowIncNoVeh
4,826918,LowIncVeh
4,818476,HighIncVehSenior
5,715,HighIncNoVehSenior
5,8208347,HighIncVeh
5,114691,LowIncNoVeh
5,1553547,LowIncVeh
5,1105263,HighIncVehSenior
5,20727,HighIncNoVeh
5,511221,LowIncVehSenior
5,19525,LowIncNoVehSenior
6,72876,LowIncVehSenior
6,471537,HighIncVeh
6,62036,HighIncVehSenior
6,194418,LowIncVeh
6,84,LowIncNoVehSenior
