cost_group,f_sys,MicrotypeID,fsys_weight,microtype,Location,Functional Class,Category,Resurface Existing Lane (RESURFACING),"Add Lane, If No Obstacles (Normal Cost)","Add Lane, If Obstacle Code A",cost_class,restripe,add_obsA,add_noobs,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile,Unnamed: 17
7,1,1,0.023434171,1,URBAN,Interstate,Major Urbanized,844000,3651000,11172000,urban_major,844000,11172000,3651000,686908.0256,9379566.408,0.07810914299999999
7,2,1,0.021109766000000002,1,URBAN,Other Freeway and Expressway,Major Urbanized,799000,3504000,10612000,urban_major,799000,10612000,3504000,686908.0256,9379566.408,0.07810914299999999
7,3,1,0.329900193,1,URBAN,Other Principal Arterial,Major Urbanized,755000,3361000,10154000,urban_major,755000,10154000,3361000,686908.0256,9379566.408,0.07810914299999999
7,4,1,0.357283334,1,URBAN,Minor Arterial,Major Urbanized,684000,3021000,9262000,urban_major,684000,9262000,3021000,686908.0256,9379566.408,0.07810914299999999
7,5,1,0.266103468,1,URBAN,Major Collector,Major Urbanized,585000,2594000,8337000,urban_major,585000,8337000,2594000,686908.0256,9379566.408,0.07810914299999999
7,6,1,0.002153151,1,URBAN,Minor Collector,Major Urbanized,524000,2320000,7508000,urban_major,524000,7508000,2320000,686908.0256,9379566.408,0.07810914299999999
7,7,1,1.59e-05,1,URBAN,Local,Major Urbanized,481000,2142000,6769000,urban_major,481000,6769000,2142000,686908.0256,9379566.408,0.07810914299999999
7,1,2,0.014662574,2,URBAN,Interstate,Major Urbanized,844000,3651000,11172000,urban_major,844000,11172000,3651000,681127.8278,9315888.127,0.07745187
7,2,2,0.019133018,2,URBAN,Other Freeway and Expressway,Major Urbanized,799000,3504000,10612000,urban_major,799000,10612000,3504000,681127.8278,9315888.127,0.07745187
7,3,2,0.309757278,2,URBAN,Other Principal Arterial,Major Urbanized,755000,3361000,10154000,urban_major,755000,10154000,3361000,681127.8278,9315888.127,0.07745187
7,4,2,0.362802102,2,URBAN,Minor Arterial,Major Urbanized,684000,3021000,9262000,urban_major,684000,9262000,3021000,681127.8278,9315888.127,0.07745187
