SubnetworkID,MicrotypeID,ModesAllowed,Dedicated,Length,MFD,Type,capacityFlow,densityMax,smoothingFactor,vMax,waveSpeed,avgLinkLength
0,1,Auto-Bus-Bike,False,84540858.67112567,loder,Road,0.18,0.15,0.13,17.0,3.78,50.0
1,1,Bike,True,0.0,fixed,Road,,,,4.2,,50.0
2,1,Bus,True,0.0,bottleneck,Road,0.6,,,16.0,,50.0
3,1,Rail,True,3714366.129324239,fixed,Rail,,,,20.0,,50.0
4,1,Walk,True,67632686.93690054,fixed,Sidewalk,,,,1.4,,50.0
5,2,Auto-Bus-Bike,False,197225120.11964712,loder,Road,0.18,0.15,0.13,17.0,3.78,50.0
6,2,Bike,True,0.0,fixed,Road,,,,4.2,,50.0
7,2,Bus,True,0.0,bottleneck,Road,0.6,,,16.0,,50.0
8,2,Rail,True,8665233.799837481,fixed,Rail,,,,20.0,,50.0
9,2,Walk,True,157780096.09571767,fixed,Sidewalk,,,,1.4,,50.0
10,3,Auto-Bus-Bike,False,289513133.13039124,bottleneck,Road,0.4,,,28.0,,50.0
11,3,Bike,True,0.0,fixed,Road,,,,4.2,,50.0
12,3,Bus,True,0.0,bottleneck,Road,0.6,,,16.0,,50.0
13,3,Rail,True,12719976.974415865,fixed,Rail,,,,20.0,,50.0
14,3,Walk,True,231610506.50431296,fixed,Sidewalk,,,,1.4,,50.0
15,4,Auto-Bus-Bike,False,114795851.46420357,bottleneck,Road,0.4,,,20.0,,50.0
16,4,Bike,True,0.0,fixed,Road,,,,4.2,,50.0
17,4,Bus,True,0.0,bottleneck,Road,0.6,,,16.0,,50.0
18,4,Rail,True,5043641.963991618,fixed,Rail,,,,20.0,,50.0
19,4,Walk,True,91836681.17136286,fixed,Sidewalk,,,,1.4,,50.0
20,5,Auto-Bus-Bike,False,213540639.16589808,bottleneck,Road,0.4,,,20.0,,50.0
21,5,Bike,True,0.0,fixed,Road,,,,4.2,,50.0
22,5,Bus,True,0.0,bottleneck,Road,0.6,,,16.0,,50.0
23,5,Rail,True,9382068.384679915,fixed,Rail,,,,20.0,,50.0
24,5,Walk,True,170832511.3327185,fixed,Sidewalk,,,,1.4,,50.0
25,6,Auto-Bus-Bike,False,52576764.63531233,bottleneck,Road,0.4,,,20.0,,50.0
26,6,Bike,True,0.0,fixed,Road,,,,4.2,,50.0
27,6,Bus,True,0.0,bottleneck,Road,0.6,,,16.0,,50.0
28,6,Rail,True,2309999.6477508727,fixed,Rail,,,,20.0,,50.0
29,6,Walk,True,42061411.70824986,fixed,Sidewalk,,,,1.4,,50.0
