FromMicrotypeID,ToMicrotypeID,DistanceBinID,ThroughMicrotypeID,Portion
1,3,long,1,0.23832245532770105
1,6,medium,6,0.38412027560381
1,6,medium,2,0.184898763814287
1,6,medium,1,0.304669702255226
1,3,xlong,4,0.0387346535211534
1,2,long,6,0.00699011962234024
1,4,xlong,5,0.0493340601989257
1,6,long,1,0.140515168171228
1,5,long,3,0.119593323514859
1,6,xlong,4,0.0439750066951382
1,2,medium,4,0.00603650985631604
1,5,medium,5,0.5192724792432379
1,5,medium,2,0.0943155430373594
1,5,medium,1,0.37053455442924
1,4,medium,4,0.33748300347658394
1,3,long,4,0.0352260181329978
1,4,medium,2,0.234738383198466
1,6,long,2,0.12017886127159402
1,4,long,5,0.0164689555322411
1,4,short,1,0.515936963656511
1,2,short,4,6.38185046467644e-05
1,1,long,5,0.007699881581538609
1,5,medium,3,0.0036346404985807797
1,6,xlong,1,0.0641227396865625
1,6,xlong,3,0.130901380921394
1,6,long,6,0.469676449091598
1,6,xlong,5,0.0861109097621569
1,3,xlong,1,0.0795256210424676
1,3,xlong,2,0.0899670800340783
1,3,xlong,3,0.6100773935858349
1,3,xlong,5,0.0569193933830119
1,3,long,5,0.008474986259677741
1,3,xlong,6,0.0683269290159959
1,6,xlong,6,0.5472494957670611
1,4,medium,5,0.0619800196506366
1,4,medium,1,0.333422182361058
1,5,long,2,0.23302205531959105
1,5,xlong,1,0.0524800528776475
1,2,xlong,4,0.0357718990837779
1,2,long,5,0.0137391389808356
1,2,medium,1,0.365485703357805
1,2,medium,2,0.580856132617764
1,1,long,3,0.206096397340837
1,5,xlong,2,0.109237103510541
1,1,long,1,0.6492683682334089
1,1,xlong,1,0.169312013852196
1,1,xlong,2,0.0870385428669526
1,1,xlong,3,0.3929451534818789
1,3,short,1,0.46820885267195
1,2,long,4,0.00742274171482645
1,4,long,4,0.362581803463944
1,3,short,3,0.509051041497526
1,5,xlong,6,0.164806776735703
1,5,xlong,5,0.249528910203446
1,5,xlong,4,0.0292279374802523
1,4,long,3,0.208449915789478
1,4,long,2,0.260838006027918
1,6,xlong,2,0.0902615036939949
1,5,long,1,0.209163281570897
1,5,long,4,0.0151961547545729
1,5,long,5,0.41461693152417695
1,5,short,5,0.6038272354763421
1,5,short,1,0.3887462337377779
1,2,xlong,5,0.0784552789645787
1,2,xlong,6,0.109753675343532
1,1,short,1,0.998700312822108
1,2,medium,3,0.0391010906741221
1,1,medium,2,0.0383977471068762
1,1,long,2,0.13617785671261598
1,5,xlong,3,0.25569007481497696
1,4,short,3,0.061917843890267
1,4,short,2,0.306708113167269
1,4,long,1,0.15082824554676502
1,5,long,6,0.0084082533159026
1,4,medium,3,0.0323764113132552
1,1,medium,3,0.0357331161483508
1,4,xlong,6,0.0175295362352177
1,2,short,6,0.000800258282010247
1,6,long,4,0.00322668220150446
1,5,short,2,0.007426530785880241
1,2,xlong,2,0.2301592542443649
1,4,xlong,4,0.29026287674454304
1,2,xlong,3,0.388802035006533
1,2,xlong,1,0.0938124346162689
1,1,medium,5,0.00737411965284389
1,3,medium,6,0.000658985693816244
1,3,medium,4,0.00377586713790009
1,4,long,6,0.00035589038561764
1,1,short,3,0.00128037078772673
1,3,medium,5,0.00402363168007386
1,3,medium,3,0.471679325636054
1,3,medium,2,0.114275131807167
1,1,long,6,3.705707955578221e-05
1,4,short,4,0.115436825307926
1,3,medium,1,0.405587058044989
1,1,medium,4,1.1644724838561702e-06
1,5,medium,4,0.0122421530409164
1,1,long,4,0.000719866384184853
1,4,xlong,2,0.136109679008864
1,3,short,2,0.0227401058305244
1,6,long,5,0.210577400634206
1,4,xlong,1,0.0682935508567868
1,3,long,3,0.5548836179657739
1,1,xlong,5,0.113744606897313
1,1,xlong,4,0.0333595214048966
1,4,short,5,2.53978027059267e-07
1,2,long,2,0.536238643482869
1,6,medium,3,0.126311258326677
1,4,xlong,3,0.428503267049998
1,2,short,2,0.5387049701653279
1,2,short,1,0.452818184995995
1,1,xlong,6,0.107259573420776
1,2,short,3,0.00548217997122614
1,2,long,1,0.252196863447889
1,1,medium,1,0.9184933805929608
1,2,long,3,0.183335399549457
1,2,short,5,0.00213058808079485
1,5,medium,6,6.297506664895639e-07
1,2,medium,5,0.00749056667480163
1,3,long,2,0.160293040586203
1,6,long,3,0.0558254386298686
1,1,short,2,1.40626538520251e-05
1,1,short,4,5.25373631278895e-06
1,3,long,6,0.00279975432659089
1,2,medium,6,0.00102999681919127
2,5,xlong,6,0.104531747963275
2,5,long,3,0.120167704453849
2,6,long,2,0.33700775207478195
2,3,xlong,4,0.0411261166603149
2,5,short,5,0.4510742787016671
2,2,long,1,0.0490177340315617
2,2,medium,1,0.0127603166207217
2,5,short,2,0.539314147008888
2,4,long,5,0.0755148534429959
2,6,long,6,0.487292044535503
2,3,long,5,0.0320024762178407
2,3,medium,4,0.00400002385209129
2,1,xlong,6,0.110408055403785
2,5,short,1,0.00619967800167892
2,1,medium,6,0.000133723389539318
2,3,medium,6,4.30230262153902e-05
2,2,short,3,1.3741392619916499e-05
2,5,medium,2,0.4265724152132209
2,5,medium,1,0.0151544843112986
2,5,medium,5,0.516263503701953
2,2,medium,6,6.036787162083629e-05
2,6,short,6,0.156345928731004
2,2,xlong,5,0.105339127954795
2,1,xlong,4,0.0315837575657635
2,1,xlong,5,0.0985847623189921
2,6,xlong,2,0.101751913910387
2,6,xlong,3,0.15402654884037698
2,6,xlong,4,0.0331247578914499
2,6,xlong,6,0.498419964560265
2,6,xlong,5,0.13298239312298502
2,2,xlong,4,0.0327388460545071
2,6,short,2,0.843654071268997
2,2,long,5,0.0465131727764798
2,3,short,4,7.30163999961232e-06
2,1,long,6,0.0010901325797135599
2,4,medium,3,0.0298594282377618
2,5,medium,3,0.0178099447391425
2,6,long,4,0.0333727778872223
2,6,medium,3,0.0297505462011126
2,4,long,6,0.0072922408026489405
2,5,xlong,1,0.0123902861509584
2,5,long,1,0.0128595501317081
2,2,medium,5,0.00248462942528573
2,2,long,6,0.00568118160468414
2,2,short,1,6.361948912562111e-05
2,1,short,3,0.007406967560240179
2,4,medium,1,0.0122210721002572
2,5,long,6,0.017888202474246998
2,6,long,5,0.0631965279084108
2,2,medium,4,0.0005577616024553232
2,5,short,4,0.00341189628776683
2,6,medium,2,0.590347999592935
2,6,medium,6,0.3798989646854761
2,1,short,4,1.5749107801436402e-05
2,5,medium,4,0.0241763853441619
2,1,medium,3,0.0480871931098178
2,3,long,6,0.0084206957495223
2,3,medium,5,0.00905832147874412
2,3,short,5,0.000580504747905616
2,3,medium,1,0.0193841613948673
2,3,xlong,5,0.0792756547904881
2,3,long,4,0.0295491090603205
2,6,xlong,1,0.0118229507435645
2,6,long,3,0.0598452019170913
2,2,xlong,6,0.0945482714414888
2,4,short,5,0.00010947696962074
2,1,short,5,0.00112013008400259
2,3,xlong,6,0.0713299910578554
2,4,short,3,0.0108920094683197
2,3,short,1,0.0032865982827266897
2,2,long,4,0.0268625103540673
2,1,medium,5,0.00292864118205076
2,4,xlong,6,0.0477407227889986
2,4,medium,5,0.0177089441432725
2,5,xlong,4,0.0439983728146683
2,4,short,2,0.520794794521498
2,4,short,4,0.445072370191579
2,1,medium,4,0.00725982014965892
2,4,short,1,0.0231313488489828
2,6,long,1,0.0185751326169912
2,6,medium,5,2.48952047703138e-06
2,1,medium,1,0.462446899452554
2,1,short,1,0.485359077028341
2,2,long,2,0.6845404848507939
2,3,long,1,0.0373659663884424
2,3,long,2,0.3638334727307821
2,1,xlong,2,0.130106955450416
2,2,xlong,1,0.0284266258295113
2,4,long,2,0.319909177768823
2,4,long,1,0.0131816562515803
2,4,xlong,2,0.132432925049975
2,4,long,3,0.160533865047935
2,4,long,4,0.422805466396831
2,1,xlong,3,0.35591913827279403
2,3,long,3,0.528810449051365
2,5,long,4,0.0268740882525761
2,3,xlong,2,0.141346832433023
2,3,medium,3,0.4916015990652899
2,3,medium,2,0.475912871182792
2,3,xlong,1,0.0197998744310244
2,4,xlong,5,0.083220691827766
2,4,xlong,3,0.319619504536247
2,4,xlong,4,0.260809602342746
2,3,xlong,3,0.6005991393701721
2,5,long,2,0.33730701675503
2,2,xlong,2,0.264092210119915
2,2,short,2,0.999922639118254
2,5,xlong,2,0.133631526154863
2,5,long,5,0.48490178903138
2,2,xlong,3,0.37581775542804
2,2,long,3,0.187325948080791
2,1,medium,2,0.479078258581452
2,5,xlong,5,0.34423112125023103
2,5,xlong,3,0.33135542283353603
2,1,long,3,0.2305166937104081
2,2,medium,3,0.0248361397103063
2,4,medium,4,0.43542772054149503
2,2,medium,2,0.95930078476961
2,4,xlong,1,0.0105088897829331
2,3,short,2,0.499049007030352
2,3,short,3,0.497076588299017
2,4,medium,2,0.5047828349772129
2,1,long,4,0.0064818424037091605
2,1,xlong,1,0.0820350432528652
2,1,short,2,0.506098076219615
2,1,long,1,0.334212902698813
2,1,long,2,0.411573675671036
2,1,long,5,0.0160776089409946
3,6,xlong,2,0.0446383192566165
3,1,long,4,0.0161729418891561
3,2,short,1,0.0126855262612928
3,4,xlong,1,0.00451909689862298
3,3,long,1,0.0252437630737476
3,4,medium,5,0.0129510831067631
3,1,short,3,0.4401923078130379
3,1,short,1,0.5372867368209121
3,1,medium,2,0.0796594540619655
3,4,xlong,5,0.0731213147531316
3,4,xlong,2,0.0464954737925658
3,6,medium,1,0.0
3,6,long,1,0.0101619319300124
3,1,medium,3,0.42778794598713504
3,3,short,3,0.999709101988458
3,3,long,2,0.0806619025831921
3,6,xlong,1,0.0119527732399543
3,3,xlong,2,0.046506325968866
3,5,medium,3,0.471611121516976
3,4,long,6,0.00508529618976591
3,4,long,5,0.0331331714599588
3,2,medium,3,0.4238564854048421
3,3,medium,5,0.000404736415310381
3,2,short,5,7.2110812928837e-05
3,4,long,2,0.0884940992964831
3,3,long,3,0.835984818133614
3,4,short,3,0.569182130791848
3,2,long,1,0.0529946695239179
3,3,short,1,0.000290898011542314
3,3,long,6,0.00440634274787556
3,5,medium,4,0.0183117265599606
3,2,xlong,1,0.0269751826792882
3,6,long,5,0.0555203088244271
3,6,long,4,0.0175476829901535
3,5,short,5,0.560139977921765
3,5,short,3,0.436787141313921
3,4,xlong,6,0.0492517098397217
3,2,medium,5,0.00859895312379863
3,5,long,6,0.0114353214421491
3,6,medium,2,0.0143360828430023
3,6,xlong,5,0.09175532371297
3,2,xlong,2,0.192793096727793
3,4,short,4,0.428923538009293
3,2,xlong,3,0.43411153544113
3,6,medium,6,0.377719201522519
3,1,medium,4,0.005048476219438661
3,4,long,4,0.454542591440653
3,4,medium,3,0.4735174459851889
3,4,medium,4,0.43135836407039096
3,3,long,4,0.0182635168187047
3,3,long,5,0.0354396566428662
3,1,long,6,0.0031453859246506
3,1,medium,1,0.484629597111761
3,5,medium,5,0.421571723999421
3,5,medium,6,6.49561574732831e-05
3,2,medium,6,0.00019366428858499
3,4,long,1,0.008184659840899021
3,5,medium,2,0.0778301830921732
3,6,medium,3,0.607944715634479
3,1,short,2,0.0225209553660503
3,1,xlong,6,0.0991247122937133
3,2,long,4,0.0225168704455936
3,2,medium,4,0.00331936391977936
3,2,xlong,4,0.049158590919972
3,1,xlong,3,0.519886248683086
3,5,xlong,2,0.0653161920405842
3,4,xlong,3,0.412821067980384
3,5,xlong,4,0.0743005859441043
3,5,xlong,1,0.007331101587780479
3,5,xlong,3,0.326884909328748
3,4,xlong,4,0.36884916063229
3,5,xlong,5,0.337197065357828
3,4,medium,1,0.00127614512497294
3,6,short,6,0.701441240487227
3,4,medium,2,0.08089696171268401
3,6,short,3,0.298558759512774
3,6,xlong,4,0.024369981546933
3,5,short,4,0.00307288076431359
3,3,medium,4,0.000886975651384149
3,2,xlong,5,0.104563211541529
3,1,medium,6,0.000370981607846546
3,1,xlong,5,0.0555609934616987
3,3,xlong,6,0.108163185349045
3,3,medium,3,0.985745375508287
3,1,medium,5,0.00250354501185279
3,4,long,3,0.410281020984365
3,3,xlong,5,0.0761408189135272
3,1,long,3,0.439047339494271
3,1,long,2,0.144062898336373
3,5,long,4,0.0421528023673616
3,6,long,3,0.367133722929125
3,3,medium,2,0.0030913163252079398
3,1,long,5,0.007090756974040021
3,6,long,2,0.064321982504874
3,1,long,1,0.389661647098992
3,6,xlong,3,0.245559243136744
3,6,xlong,6,0.5552908723752211
3,6,long,6,0.485314370821408
3,1,xlong,4,0.0447032180745386
3,5,medium,1,0.0106102886739963
3,3,medium,1,0.00987159609981105
3,2,short,4,0.00122320245524665
3,3,xlong,3,0.527617163165781
3,5,xlong,6,0.12349545568657498
3,5,long,1,0.00603574471819234
3,2,long,2,0.470143269465653
3,3,xlong,1,0.0168176684883383
3,2,long,5,0.0271772107120544
3,5,long,3,0.417127592497501
3,5,long,5,0.433765647310797
3,2,xlong,6,0.12479136385884
3,3,xlong,4,0.0737633210103898
3,2,long,6,0.007590932896588819
3,2,medium,2,0.5288298992552419
