ModesAllowed,SubnetworkID,ModeTypeID
Auto-Bus-Bike,30,auto
Auto-Bus-Bike,55,bike
Auto-Bus-Bike,50,bike
Auto-Bus-Bike,45,bike
Auto-Bus-Bike,40,bike
Auto-Bus-Bike,35,bike
Auto-Bus-Bike,30,bike
Auto-Bus-Bike,55,bus
Auto-Bus-Bike,45,bus
Auto-Bus-Bike,50,bus
Auto-Bus-Bike,35,bus
Auto-Bus-Bike,30,bus
Auto-Bus-Bike,55,auto
Auto-Bus-Bike,50,auto
Auto-Bus-Bike,45,auto
Auto-Bus-Bike,40,auto
Auto-Bus-Bike,35,auto
Auto-Bus-Bike,40,bus
Bike,36,bike
Bike,46,bike
Bike,41,bike
Bike,31,bike
Bike,56,bike
Bike,51,bike
Bus,57,bus
Bus,32,bus
Bus,37,bus
Bus,47,bus
Bus,52,bus
Bus,42,bus
Rail,33,rail
Rail,38,rail
Rail,48,rail
Rail,53,rail
Rail,58,rail
Rail,43,rail
Walk,54,walk
Walk,49,walk
Walk,44,walk
Walk,39,walk
Walk,34,walk
Walk,59,walk
