MicrotypeID,Population,PopulationGroupTypeID
1,392457,LowIncVehSenior
1,72086,HighIncNoVeh
1,1607,HighIncNoVehSenior
1,2627631,LowIncVeh
1,309861,HighIncVehSenior
1,169949,LowIncNoVehSenior
1,2436904,HighIncVeh
1,803893,LowIncNoVeh
2,13176,HighIncNoVehSenior
2,1596672,LowIncVehSenior
2,1326299,HighIncVehSenior
2,12071083,HighIncVeh
2,231029,LowIncNoVehSenior
2,7202864,LowIncVeh
2,862754,LowIncNoVeh
2,26126,HighIncNoVeh
3,8033053,HighIncVeh
3,836767,HighIncVehSenior
3,4579153,LowIncVeh
3,35476,HighIncNoVeh
3,1098081,LowIncVehSenior
3,87871,LowIncNoVehSenior
3,485650,LowIncNoVeh
3,13504,HighIncNoVehSenior
4,1892,HighIncNoVeh
4,4583,HighIncNoVehSenior
4,384180,LowIncVehSenior
4,20983,LowIncNoVehSenior
4,4470204,HighIncVeh
4,601076,HighIncVehSenior
4,131320,LowIncNoVeh
4,1045923,LowIncVeh
5,39159,LowIncNoVehSenior
5,8377,HighIncNoVeh
5,3425501,LowIncVeh
5,131657,LowIncNoVeh
5,1183996,HighIncVehSenior
5,839,HighIncNoVehSenior
5,953358,LowIncVehSenior
5,9461355,HighIncVeh
6,1310704,LowIncVeh
6,315668,HighIncVehSenior
6,50922,LowIncNoVeh
6,3144279,HighIncVeh
6,452051,LowIncVehSenior
6,7300,LowIncNoVehSenior
6,10752,HighIncNoVeh
