Mode,MicrotypeID,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile
bike,4,481000.0,6769000.0
bike,2,385000.0,4161000.0
bike,5,341000.0,3003000.0
bike,1,341000.0,3003000.0
bike,6,192000.0,1043000.0
bike,3,385000.0,4161000.0
bus,6,264922.350010615,1338833.69996549
bus,5,464669.61635529104,4348265.77136342
bus,4,678481.312854209,9294542.06218109
bus,3,582430.848589635,6539707.28149337
bus,1,472609.26060224796,4422806.34801608
bus,2,535952.6901891989,5949589.59104888
hv,6,264922.350010615,1338833.69996549
hv,5,464669.61635529104,4348265.77136342
hv,4,678481.312854209,9294542.06218109
hv,3,582430.848589635,6539707.28149337
hv,2,535952.6901891989,5949589.59104888
hv,1,472609.26060224796,4422806.34801608
