TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,Portion
home,1,1,short,0.8869025307710459
home,4,6,short,0.0292928076715346
home,4,6,medium,0.0200779224605303
home,4,6,long,0.27791542534485697
home,4,6,xlong,0.672713844523078
home,2,3,long,0.391621273247637
home,2,3,xlong,0.268075119970478
home,2,3,short,0.10292430246126401
home,6,3,long,0.183359781219989
home,6,3,medium,0.10497159770469199
home,6,3,xlong,0.6713085638514699
home,5,1,medium,0.11335927035967899
home,4,5,short,0.0404697064710294
home,4,5,long,0.38745076354349206
home,4,5,xlong,0.358360671763508
home,6,3,short,0.0403600572238481
home,2,4,xlong,0.362835351129649
home,2,4,medium,0.22086221056324803
home,2,4,long,0.384033558974223
home,2,4,short,0.0322688793328804
home,4,4,xlong,0.139519194482245
home,4,4,long,0.25744524383689
home,4,4,medium,0.22756951237464898
home,4,5,medium,0.213718858221971
home,4,4,short,0.3754660493062171
home,5,1,long,0.3652120577497511
home,5,1,short,0.16867352605243602
home,1,6,long,0.21055272943508302
home,1,6,short,0.173334764832495
home,1,6,medium,0.0776180954128441
home,5,3,short,0.0842379208441105
home,5,3,xlong,0.415474759967779
home,5,3,medium,0.167855438685374
home,5,3,long,0.33243188050273703
home,6,6,medium,0.182618468509685
home,6,6,long,0.23824196539574802
home,6,6,short,0.31562694130610397
home,5,1,xlong,0.352755145838133
home,2,1,short,0.185898605886356
home,2,1,long,0.259654097986669
home,2,1,xlong,0.13378933360384698
home,5,2,xlong,0.257372718019992
home,5,2,long,0.400855967138931
home,5,2,short,0.11606143205638
home,5,2,medium,0.225709882784696
home,2,2,long,0.190535494187266
home,2,2,medium,0.284955841384922
home,2,2,short,0.46003694046138704
home,2,2,xlong,0.0644717239664253
home,2,1,medium,0.420657962523129
home,1,6,xlong,0.538494410319578
home,2,5,xlong,0.325210384108972
home,2,5,medium,0.213650758016502
home,3,2,medium,0.316203093029835
home,3,2,short,0.0858373879843258
home,3,6,short,0.00945778300928015
home,3,6,medium,0.0268979130620317
home,3,6,xlong,0.588276951702213
home,3,6,long,0.37536735222647494
home,6,4,long,0.154461898450303
home,6,4,xlong,0.8277423489166709
