FromMicrotypeID,ToMicrotypeID,DistanceBinID,ThroughMicrotypeID,Portion
4,5,xlong,4,0.34559261463371904
4,5,xlong,5,0.490752661355109
3,5,xlong,3,0.377750321495614
3,5,xlong,4,0.0469256292469
3,5,xlong,5,0.47015917076241603
5,4,xlong,5,0.47799065754469605
5,4,xlong,4,0.330777393751847
4,4,long,4,0.806080352573827
4,4,long,3,0.0659790147357662
3,4,medium,3,0.46724517873471094
3,4,medium,4,0.4568728750431839
4,4,xlong,4,0.841283213282713
4,4,xlong,3,0.0365702888360972
3,4,long,3,0.41822992732906394
3,4,long,4,0.3989405898363979
4,3,long,4,0.32460664620998
4,3,long,3,0.43099242904097707
4,3,medium,4,0.49276264189038
4,3,medium,3,0.434001550936355
5,4,long,5,0.48547439230058403
5,4,long,4,0.375496258513776
5,5,xlong,5,0.828814116972207
5,3,xlong,5,0.462975857532625
5,3,xlong,3,0.369701845555346
5,5,xlong,6,0.0580396576437788
5,4,medium,5,0.49463540133272604
5,4,medium,4,0.40372040241147794
4,5,long,4,0.40310354466235293
4,5,long,5,0.4414700457979579
5,5,long,5,0.903895341236022
5,5,medium,5,0.961461800699438
5,6,long,5,0.420140050986994
5,6,long,6,0.545537244955291
6,5,long,6,0.5594119197269971
6,5,long,5,0.40305159043646904
6,6,long,6,0.9721990247081851
6,6,long,5,0.0097006513019131
3,6,long,3,0.383736210805945
3,6,long,5,0.0762961905170206
3,6,long,6,0.516337405544286
3,6,medium,3,0.565218946970367
3,6,medium,6,0.39798680750850396
6,6,long,3,0.0149502670540659
6,3,long,6,0.508324921582068
6,3,long,5,0.0595527641514878
6,3,long,3,0.381564836204089
6,3,medium,6,0.325860884885077
6,3,medium,3,0.596946605016578
5,5,xlong,2,0.0303641546241911
5,5,xlong,3,0.0520561029070665
5,5,long,2,0.0317207249474884
2,5,long,2,0.38414924805182504
2,5,long,5,0.50904879830357
5,2,long,5,0.47426211035930105
5,2,long,2,0.39095726955849497
5,3,medium,5,0.504725726985036
5,3,medium,3,0.426583669503794
5,5,short,5,0.9966508880225741
5,2,medium,5,0.504338450167221
5,2,medium,2,0.47119386787322604
3,5,long,3,0.432294042510306
3,5,long,2,0.0750045442285812
3,5,long,5,0.463035979124521
2,5,medium,2,0.48413827708081203
2,5,medium,5,0.472753288737308
5,2,xlong,5,0.513262865083851
5,2,xlong,2,0.273491509897271
2,2,medium,2,0.945256406552348
2,2,long,2,0.8574738500015959
4,2,medium,4,0.422856154967656
4,2,medium,2,0.46382997307535
2,2,long,4,0.0279712853986143
2,4,medium,2,0.4677430468853161
2,4,medium,4,0.44823208367810397
2,6,medium,2,0.430351681471389
2,6,medium,6,0.54333406509265
6,2,medium,6,0.458866326961127
6,2,medium,2,0.524403161780409
5,2,long,6,0.005194405070344879
3,3,medium,3,0.9146407574059309
6,3,xlong,6,0.531818469827849
6,3,xlong,5,0.12118207541838
6,3,xlong,3,0.298302280805937
3,6,xlong,3,0.290965053902061
3,6,xlong,5,0.11314975057157699
3,6,xlong,6,0.554065682431119
5,6,xlong,5,0.369541224979433
5,6,xlong,6,0.580965067556772
5,6,xlong,3,0.0187816604940008
2,6,long,2,0.23692067298192396
2,6,long,6,0.6118563134188969
2,5,short,2,0.460982807734149
2,5,short,5,0.5379254734059921
6,2,long,6,0.5740224862514499
6,2,long,2,0.22136000354872398
5,2,short,5,0.5313341808574891
5,2,short,2,0.468665819142511
6,5,xlong,6,0.567610099882519
6,5,xlong,5,0.377531775682617
6,6,xlong,6,0.9327400344274109
4,6,long,4,0.306289156773776
4,6,long,6,0.5599656756524979
6,4,long,6,0.5743320372751579
6,4,long,4,0.329084407695486
2,2,long,5,0.0297260963178674
2,2,xlong,2,0.629106425180376
2,2,xlong,5,0.147508046854435
3,2,xlong,3,0.41598501543767497
3,2,xlong,5,0.11479597588025801
3,2,xlong,2,0.38337603360931
2,5,xlong,2,0.279004006337354
2,5,xlong,5,0.51481815269155
2,5,xlong,6,0.0543187772423952
3,5,xlong,2,0.0694399154194358
3,5,medium,3,0.44834821645735906
3,5,medium,2,0.0415492332826673
3,5,medium,5,0.4978743650128689
3,5,xlong,6,0.033907467979785
6,5,xlong,2,0.0191533538004671
2,2,xlong,6,0.0588777095424661
3,2,long,3,0.422946250391396
3,2,long,2,0.45712754893720003
3,2,medium,3,0.449824332208346
3,2,medium,2,0.514941247829293
5,2,xlong,6,0.0581503896601138
3,2,xlong,6,0.0304735484505866
6,2,xlong,6,0.5991438660688571
6,2,xlong,2,0.158777606369956
6,2,xlong,5,0.17276317143292003
3,2,long,5,0.0648831396102695
5,2,xlong,3,0.10110960895190599
3,2,long,6,0.004672687734649629
