ModesAllowed,SubnetworkID,Mode
Auto-Bus-Bike,60,auto
Auto-Bus-Bike,80,auto
Auto-Bus-Bike,75,bike
Auto-Bus-Bike,75,bus
Auto-Bus-Bike,75,auto
Auto-Bus-Bike,70,bike
Auto-Bus-Bike,80,bus
Auto-Bus-Bike,70,auto
Auto-Bus-Bike,85,auto
Auto-Bus-Bike,85,bus
Auto-Bus-Bike,70,bus
Auto-Bus-Bike,80,bike
Auto-Bus-Bike,60,bus
Auto-Bus-Bike,65,bus
Auto-Bus-Bike,65,auto
Auto-Bus-Bike,85,bike
Auto-Bus-Bike,60,bike
Auto-Bus-Bike,65,bike
Bike,78,bike
Bike,83,bike
Bike,88,bike
Bike,63,bike
Bike,68,bike
Bike,73,bike
Bus,62,bus
Bus,87,bus
Bus,72,bus
Bus,77,bus
Bus,82,bus
Bus,67,bus
Rail,84,rail
Rail,74,rail
Rail,79,rail
Rail,69,rail
Rail,64,rail
Rail,89,rail
Walk,76,walk
Walk,71,walk
Walk,66,walk
Walk,86,walk
Walk,61,walk
Walk,81,walk
