MicrotypeID,Population,PopulationGroupTypeID
1,3997,HighIncVehSenior
1,92598,HighIncVeh
1,26147,LowIncVehSenior
1,219837,LowIncVeh
1,40070,LowIncNoVeh
1,16095,LowIncNoVehSenior
2,4383004,HighIncVeh
2,139056,LowIncNoVehSenior
2,637178,HighIncVehSenior
2,494581,LowIncNoVeh
2,731508,LowIncVehSenior
2,17085,HighIncNoVeh
2,4507793,LowIncVeh
2,5877,HighIncNoVehSenior
3,2455,HighIncNoVehSenior
3,184739,LowIncNoVeh
3,696689,LowIncVehSenior
3,570823,HighIncVehSenior
3,4854293,HighIncVeh
3,3182470,LowIncVeh
3,64447,HighIncNoVeh
3,55891,LowIncNoVehSenior
4,29135,LowIncNoVehSenior
4,1331625,LowIncVeh
4,408759,LowIncVehSenior
4,91834,LowIncNoVeh
4,563052,HighIncVehSenior
4,2909200,HighIncVeh
5,6447,HighIncNoVehSenior
5,12807,HighIncNoVeh
5,13317223,HighIncVeh
5,648673,LowIncNoVeh
5,7922485,LowIncVeh
5,1783191,HighIncVehSenior
5,2162009,LowIncVehSenior
5,92393,LowIncNoVehSenior
6,31044,LowIncNoVehSenior
6,4199,HighIncNoVeh
6,3216994,LowIncVeh
6,141561,LowIncNoVeh
6,1060856,LowIncVehSenior
6,746081,HighIncVehSenior
6,4531872,HighIncVeh
6,406,HighIncNoVehSenior
