SubnetworkID,MicrotypeID,ModesAllowed,Dedicated,Length,Type,vMax,avgLinkLength,densityMax
70,1,Auto-Bus-Bike,False,1408093.7176571118,Road,16.0,50.0,0.145
71,1,Bike,True,0.0,BikeLane,4.2,50.0,0.145
72,1,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
74,1,Walk,True,1126474.9741256896,Sidewalk,1.4,50.0,0.145
75,2,Auto-Bus-Bike,False,11916913.67153307,Road,16.0,50.0,0.145
76,2,Bike,True,0.0,BikeLane,4.2,50.0,0.145
77,2,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
79,2,Walk,True,9533530.937226458,Sidewalk,1.4,50.0,0.145
80,3,Auto-Bus-Bike,False,31835393.57512645,Road,16.0,50.0,0.145
81,3,Bike,True,0.0,BikeLane,4.2,50.0,0.145
82,3,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
84,3,Walk,True,25468314.860101163,Sidewalk,1.4,50.0,0.145
85,4,Auto-Bus-Bike,False,31474239.545566134,Road,17.0,50.0,0.145
86,4,Bike,True,0.0,BikeLane,4.2,50.0,0.145
87,4,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
89,4,Walk,True,25179391.63645291,Sidewalk,1.4,50.0,0.145
90,5,Auto-Bus-Bike,False,28053038.210038144,Road,18,50.0,0.145
91,5,Bike,True,0.0,BikeLane,4.2,50.0,0.145
92,5,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
94,5,Walk,True,22442430.56803052,Sidewalk,1.4,50.0,0.145
95,6,Auto-Bus-Bike,False,123464821.67075916,Road,18,50.0,0.145
96,6,Bike,True,0.0,BikeLane,4.2,50.0,0.145
97,6,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
99,6,Walk,True,98771857.33660737,Sidewalk,1.4,50.0,0.145
