TimePeriodID,PopulationGroupTypeID,TripPurposeID,TripGenerationRatePerHour
other_time,A,social,0.0214677996785615
other_time,A,home,0.0365595720923476
other_time,A,other,0.00632609962699309
morning_rush,A,school,0.16523225964972
evening_rush,A,social,0.061264444425229
evening_rush,A,home,0.0989543244978623
other_time,A,school,0.00470067674048977
morning_rush,A,home,0.00977099876646321
other_time,A,medical,0.00084364346774788
morning_rush,A,other,0.0281411102922252
morning_rush,A,social,0.0161073615494589
evening_rush,A,other,0.0182455711793604
evening_rush,A,school,0.0113168666797278
morning_rush,A,work,0.000177031639045923
other_time,A,work,0.000204998808941725
evening_rush,B,home,0.10727672722287
other_time,B,social,0.0474575720671201
other_time,B,work,0.010864075889947
other_time,B,home,0.0410638637112267
other_time,B,other,0.00849750994640636
morning_rush,B,home,0.0221634840632848
evening_rush,B,social,0.0853540025149544
morning_rush,B,work,0.0510105822589209
morning_rush,B,other,0.0253278297438816
other_time,B,school,0.00360654008510596
morning_rush,B,social,0.0348027605410972
other_time,B,medical,0.00269527461281101
morning_rush,B,school,0.0159368873849763
evening_rush,B,work,0.00999102221821478
evening_rush,B,other,0.0176430176390552
morning_rush,B,medical,0.00541593344770936
evening_rush,B,medical,0.00114909540194277
evening_rush,B,school,0.00798167573102638
morning_rush,C,other,0.0231730693711235
evening_rush,C,school,0.0126584920833097
other_time,C,home,0.0419872531144116
other_time,C,social,0.0315576317064227
evening_rush,C,social,0.0949873975568884
evening_rush,C,home,0.115680918489332
morning_rush,C,school,0.159856566955608
other_time,C,school,0.00508037022062065
other_time,C,other,0.00641072378766506
evening_rush,C,other,0.0177447612503483
other_time,C,medical,0.00109710472329118
morning_rush,C,work,0.00120886469812896
other_time,C,work,0.000175732863801762
morning_rush,C,social,0.0169169244899267
morning_rush,C,home,0.00532420280959951
evening_rush,C,medical,0.00122398657338546
morning_rush,D,work,0.0879735071413012
other_time,D,social,0.0483414469627183
morning_rush,D,other,0.0284850318126353
other_time,D,home,0.0417044478632245
evening_rush,D,home,0.13608550358973
other_time,D,work,0.0143635176614483
morning_rush,D,social,0.036726070146598
evening_rush,D,social,0.104070855540748
other_time,D,other,0.00842876069042159
morning_rush,D,home,0.023290902182112
evening_rush,D,other,0.024654669006855
morning_rush,D,school,0.0148777573543996
evening_rush,D,school,0.00815457150120518
other_time,D,medical,0.00180153273211133
other_time,D,school,0.00320004457945834
evening_rush,D,work,0.0100512435627406
evening_rush,D,medical,0.00128996467767026
morning_rush,D,medical,0.00271809004918339
morning_rush,A,medical,0.00103828954526742
evening_rush,A,medical,0.000685695221305774
evening_rush,C,work,0.00040199479823794
morning_rush,C,medical,0.000717363955190704
evening_rush,A,work,0.000121382682342357
