TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,Portion
home,1,1,medium,0.0622493150733148
home,3,3,medium,0.20979891848234802
home,3,4,xlong,0.593590817223339
home,3,4,long,0.26569861867558603
home,3,4,medium,0.139768287486458
home,3,4,short,0.0009422766146170349
home,6,5,medium,0.16307751747371602
home,3,5,long,0.264934412041073
home,3,5,xlong,0.377025885644145
home,3,3,long,0.16955318195019503
home,3,5,medium,0.284725569356326
home,6,2,xlong,0.0781976819846985
home,6,5,xlong,0.5963135772310699
home,6,5,short,0.118679237575166
home,6,5,long,0.121929667720048
home,3,6,long,0.476550053882513
home,3,6,xlong,0.521767407854234
home,3,6,short,0.0016825382632528801
home,4,2,xlong,0.00835987375380678
home,3,5,short,0.0733141329584571
home,3,3,xlong,0.135141149602158
home,3,3,short,0.485506749965299
home,3,2,xlong,0.25388035386359903
home,2,4,medium,0.48740330096731893
home,2,4,long,0.22479981902323498
home,2,5,xlong,0.216077942471405
home,2,5,long,0.480911169293664
home,2,5,medium,0.158085234957903
home,2,5,short,0.14492565327702803
home,6,6,short,0.351466635245006
home,6,6,medium,0.18174322552861702
home,6,6,xlong,0.18493444035903497
home,6,6,long,0.281855698867341
home,2,6,medium,0.11925173708266301
home,2,6,xlong,0.588769439980515
home,2,6,long,0.28535774498485
home,2,6,short,0.00662107795197192
home,3,1,long,0.766339059221933
home,3,1,medium,0.233660940778067
home,3,2,short,0.18178036095938802
home,3,2,medium,0.158505486473836
home,3,2,long,0.405833798703177
home,4,2,long,0.489866154643334
home,4,2,short,0.342945900356988
home,4,2,medium,0.15882807124587198
home,4,3,long,0.856964949153687
home,6,3,xlong,0.11671411888572801
home,5,3,xlong,0.239400157014135
home,5,3,short,0.299236131783928
home,5,3,medium,0.16925373737037197
home,5,3,long,0.292109973831565
home,5,4,xlong,0.538056606798302
home,5,4,long,0.33899757915574297
home,5,4,short,0.0456674488176497
home,5,4,medium,0.0772783652283053
home,5,5,xlong,0.13892671293811498
home,5,5,medium,0.232252736435953
home,5,5,short,0.37846623749175706
home,5,5,long,0.250354313134175
home,5,6,xlong,0.634385600128865
home,5,6,medium,0.0391713026374141
home,5,6,short,0.0352555466725866
home,5,6,long,0.291187550561135
home,6,2,short,0.0916023378967546
home,6,2,long,0.56978927633214
home,6,3,long,0.802614797688057
home,2,4,short,0.161685551896063
home,6,3,medium,0.0806710834262156
home,5,2,medium,0.27651559825118605
home,4,3,short,0.0254382204431307
home,4,3,xlong,0.0842405486437205
home,4,3,medium,0.0333562817594621
home,6,4,xlong,0.682277761711342
home,6,4,long,0.31772223828865803
home,4,4,medium,0.15755224831630701
home,4,4,short,0.5345348418173
home,4,4,long,0.21707943771507895
home,4,4,xlong,0.0908334721513144
home,4,5,long,0.504884936862973
home,4,5,medium,0.14817349636622398
home,4,5,xlong,0.250706393214389
home,4,5,short,0.0962351735564138
home,4,6,xlong,0.360428337289622
home,4,6,long,0.447276319006775
home,4,6,short,0.0017981902259390698
home,4,6,medium,0.19049715347766397
home,5,2,short,0.14315959471280498
home,5,2,long,0.426352700316033
home,5,2,xlong,0.15397210671997597
home,2,4,xlong,0.12611132811338302
home,6,2,medium,0.26041070378640696
home,1,3,long,0.24391825492920702
home,2,2,short,0.45646537306295903
home,1,3,short,0.30677661374016496
home,1,5,long,0.0922869155678186
home,1,3,xlong,0.0630095684309109
home,1,3,medium,0.386295562899717
home,2,3,short,0.0614242075762664
home,2,3,medium,0.0688158425670921
home,2,3,xlong,0.341239498608687
home,2,3,long,0.528520451247955
home,1,4,long,0.527576441851531
home,1,4,short,0.286052791160954
home,2,1,medium,0.515421303614794
home,2,1,short,0.18171009291016899
home,2,1,long,0.302868603475038
home,1,4,xlong,0.186370766987515
home,1,6,xlong,1.0
home,1,5,xlong,0.472880218810236
home,2,2,medium,0.28125277069519206
home,1,2,medium,0.0405844179241389
home,1,5,medium,0.43483286562194506
home,1,2,long,0.365376748197475
home,1,1,short,0.9377506849266851
home,1,2,short,0.0668590089416256
home,2,2,long,0.20674526904241
home,1,2,xlong,0.52717982493676
home,2,2,xlong,0.0555365871994394
leisure,3,6,medium,0.0971991271297338
leisure,2,2,xlong,0.12642498540044503
leisure,2,1,xlong,0.0620423148949944
leisure,6,5,long,0.35315999417896504
leisure,4,3,xlong,0.0754278601481081
leisure,4,3,short,0.36789046893507704
leisure,4,3,medium,0.375465350799757
leisure,4,3,long,0.18121632011705802
leisure,6,5,xlong,0.560913497575071
leisure,6,5,medium,0.0241971017279528
leisure,3,4,short,0.16512713384711902
leisure,3,4,xlong,0.18746317333478
leisure,1,5,long,0.7906701637352571
leisure,1,5,medium,0.20932983626474302
leisure,4,4,short,0.594565143404595
leisure,4,4,medium,0.19707899003617702
leisure,4,4,xlong,0.0665009156633014
leisure,2,2,long,0.218954096401835
leisure,3,6,short,0.12659524847421
leisure,2,2,medium,0.21226281686548798
leisure,3,5,long,0.20613528844877202
leisure,4,1,long,0.37616304325663896
leisure,4,1,xlong,0.0595098863927382
leisure,4,1,medium,0.5643270703506229
leisure,2,1,long,0.17583453990507403
leisure,4,2,medium,0.370096321702052
leisure,3,6,long,0.6745659219407739
leisure,3,5,medium,0.23286331551048997
leisure,3,5,xlong,0.42445152908422706
leisure,3,5,short,0.136549866956511
leisure,4,2,xlong,0.0864250881415453
leisure,4,2,long,0.26250666295227
leisure,4,2,short,0.280971927204132
leisure,6,4,short,0.00269395552983141
leisure,6,4,xlong,0.33546612603683
leisure,2,1,medium,0.40648881100971296
leisure,2,1,short,0.35563433419021795
leisure,3,6,xlong,0.10163970245528302
leisure,2,2,short,0.44235810133223297
leisure,6,6,xlong,0.140725885028156
leisure,1,4,long,1.0
leisure,4,5,xlong,0.437636130002739
leisure,1,2,medium,0.380756829400988
leisure,5,4,xlong,0.24231270011716802
leisure,5,4,long,0.27055255462506195
leisure,5,4,medium,0.41052265266201204
leisure,5,4,short,0.0766120925957587
leisure,1,2,short,0.33752473774531105
leisure,5,5,xlong,0.0742114966325965
leisure,5,5,long,0.17979039398151503
leisure,5,5,medium,0.28299535857298697
leisure,5,5,short,0.463002750812902
leisure,6,2,short,0.180086494806628
leisure,1,1,medium,0.0133791355554636
leisure,5,6,short,0.10074327838726099
leisure,5,6,xlong,0.475637098620521
leisure,5,6,medium,0.0984500467548183
leisure,5,6,long,0.3251695762374
leisure,6,2,long,0.19560157322224497
leisure,6,2,medium,0.234864634696977
leisure,6,2,xlong,0.38944729727415
leisure,1,1,short,0.9866208644445358
leisure,6,1,xlong,1.0
leisure,1,2,long,0.281718432853701
leisure,4,4,long,0.141854950895927
leisure,5,3,xlong,0.11043537441858399
leisure,5,3,short,0.21604164930886702
leisure,4,5,long,0.28161898231955895
leisure,4,5,medium,0.17700219473333298
leisure,4,5,short,0.103742692944369
leisure,6,3,short,0.0202975281651384
leisure,3,4,long,0.11791872099405698
leisure,4,6,long,0.0757783035827483
leisure,4,6,short,0.18376632454418398
leisure,4,6,xlong,0.7404553718730681
leisure,6,3,medium,0.0818766739366318
leisure,5,1,xlong,0.11158928165234899
leisure,5,1,long,0.888410718347651
leisure,6,3,long,0.27842343297811895
leisure,6,3,xlong,0.6194023649201109
leisure,5,2,long,0.36801763763634004
leisure,5,2,medium,0.280560719872611
leisure,5,2,short,0.147336978373095
leisure,5,2,xlong,0.204084664117953
leisure,1,3,medium,0.24719708370984
leisure,1,3,xlong,0.20068057645383303
leisure,1,3,long,0.5521223398363271
leisure,5,3,long,0.36740974122359604
leisure,5,3,medium,0.306113235048953
leisure,3,4,medium,0.529490971824044
leisure,6,4,long,0.661839918433338
leisure,2,3,short,0.0982860322920989
leisure,3,1,medium,0.27651161128433505
leisure,2,3,long,0.340606916672955
leisure,2,4,xlong,0.15540806530964002
leisure,2,4,medium,0.118890537561696
leisure,2,3,xlong,0.335828245424867
leisure,3,3,xlong,0.0838383444299155
leisure,3,3,long,0.21950313405057
leisure,3,3,medium,0.22319815477240498
leisure,3,1,long,0.0145787705882767
leisure,3,3,short,0.473460366747109
leisure,3,2,medium,0.290511813744327
leisure,3,2,long,0.296773020988943
leisure,3,2,xlong,0.19699070086979104
leisure,3,2,short,0.215724464396939
leisure,6,6,short,0.548520916312818
leisure,2,5,medium,0.43284857931452403
leisure,2,5,long,0.161441045956714
leisure,2,5,short,0.29157884780307897
leisure,2,5,xlong,0.11413152692568303
leisure,3,1,short,0.7089096181273891
leisure,2,3,medium,0.22527880561007899
leisure,6,6,long,0.196615252758493
leisure,2,4,long,0.44964228315071597
leisure,2,4,short,0.27605911397794897
leisure,6,6,medium,0.11413794590053301
leisure,2,6,short,0.0384096727026772
leisure,2,6,medium,0.15684996751804
leisure,2,6,xlong,0.30612092239093797
leisure,2,6,long,0.498619437388345
leisure,6,5,short,0.0617294065180111
medical,2,2,medium,0.10683479302377802
medical,3,2,long,1.0
medical,5,3,xlong,0.07087319314449
medical,6,6,medium,0.304769115205272
medical,5,3,long,0.920461317428692
medical,4,4,long,0.145361590546036
medical,5,3,medium,0.00866548942681789
medical,6,3,long,0.42924224352013596
medical,4,2,short,0.38367354683073795
medical,4,2,xlong,0.255882228041953
medical,4,5,xlong,0.548469083944224
medical,4,5,long,0.45153091605577605
medical,4,2,long,0.36044422512730895
medical,2,5,medium,0.0488208147958357
medical,1,4,xlong,1.0
medical,2,5,short,0.07624470130662402
medical,2,5,long,0.87493448389754
medical,5,2,short,0.693565980520943
medical,5,2,long,0.24180958306286998
medical,6,6,long,0.39595756746399
medical,6,6,xlong,0.0381489342687652
medical,4,6,xlong,1.0
medical,2,6,xlong,1.0
medical,5,2,medium,0.0646244364161873
medical,2,3,long,1.0
medical,5,1,xlong,1.0
medical,6,6,short,0.261124383061973
medical,4,4,medium,0.8546384094539641
medical,6,3,xlong,0.570757756479864
medical,5,4,long,0.11574206734317301
medical,2,2,long,0.35713052608305396
medical,5,5,short,0.32918364213786894
medical,5,5,long,0.0900255428887517
medical,2,2,xlong,0.151729719094228
medical,5,6,short,0.0101885418016556
medical,5,6,medium,0.31785334467821097
medical,6,2,xlong,0.0867762877600711
medical,5,6,xlong,0.6217590171123439
medical,5,6,long,0.0501990964077893
medical,3,3,long,0.16307851732726
medical,3,3,medium,0.8369214826727399
medical,3,5,xlong,0.5571029554665071
medical,3,5,medium,0.279965034936509
medical,3,5,long,0.149369474333186
medical,5,4,xlong,0.884257932656827
medical,6,2,long,0.9132237122399292
medical,3,5,short,0.0135625352637979
medical,2,4,long,0.868891086141283
medical,5,5,medium,0.366846115087016
medical,2,4,xlong,0.13110891385871698
medical,2,2,short,0.38430496179894
medical,6,4,medium,1.0
medical,6,5,long,0.531657084592028
medical,6,5,xlong,0.452823069910632
medical,6,5,medium,0.0155198454973409
medical,3,4,long,1.0
medical,5,5,xlong,0.21394469988636397
other,2,6,long,0.569791109871259
other,2,3,short,0.00606012011013821
other,1,4,long,1.0
other,2,6,medium,0.0064710134743127395
other,5,6,short,0.280640476421637
other,5,6,long,0.075254311398592
other,2,6,xlong,0.0559724694667207
other,2,6,short,0.36776540718770795
other,5,6,medium,0.22469495933791198
other,5,6,xlong,0.419410252841859
other,4,6,xlong,1.0
other,2,3,xlong,0.372011093869135
other,5,4,xlong,0.594169984519932
other,5,2,long,0.5990188348932479
other,2,4,xlong,0.152673485939225
other,2,3,long,0.565213244556427
other,4,5,short,0.008455576237595859
